Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Brazil,"18,029,130,105",,,,,,,Japan
,2018,,11.99,11.99,654,,,,Japan
850110 - Motors of an output not exceeding 37.5 W,,14.40,14.40,5,,,,Japan
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,18.00,18.00,1,,,,Japan
850131 - - Of an output not exceeding 750 W,,18.00,18.00,2,,,,Japan
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,18.00,18.00,2,,,,Japan
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,14.00,14.00,2,,,,Japan
850134 - - Of an output exceeding 375 kW,,9.33,9.33,3,,,,Japan
"850140 - Other AC motors, single-phase",,16.00,16.00,4,,,,Japan
850151 - - Of an output not exceeding 750 W,,14.00,14.00,3,,,,Japan
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,14.00,14.00,3,,,,Japan
850153 - - Of an output exceeding 75 kW,,10.50,10.50,4,,,,Japan
850161 - - Of an output not exceeding 75 kVA,,14.00,14.00,1,,,,Japan
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,1,,,,Japan
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,14.00,14.00,1,,,,Japan
850164 - - Of an output exceeding 750 kVA,,14.00,14.00,1,,,,Japan
850211 - - Of an output not exceeding 75 kVA,,14.00,14.00,2,,,,Japan
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,2,,,,Japan
850213 - - Of an output exceeding 375 kVA,,14.00,14.00,3,,,,Japan
850220 - Generating sets with spark-ignition internal combustion piston engines,,9.33,9.33,3,,,,Japan
850231 - - Wind-powered,,0.00,0.00,1,,,,Japan
850239 - - Other,,0.00,0.00,1,,,,Japan
850240 - Electric rotary converters,,14.00,14.00,2,,,,Japan
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,14.00,14.00,2,,,,Japan
850410 - Ballasts for discharge lamps or tubes,,18.00,18.00,1,,,,Japan
850421 - - Having a power handling capacity not exceeding 650 kVA,,14.00,14.00,1,,,,Japan
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,14.00,14.00,1,,,,Japan
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,14.00,14.00,1,,,,Japan
850431 - - Having a power handling capacity not exceeding 1 kVA,,14.40,14.40,5,,,,Japan
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,18.00,18.00,4,,,,Japan
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,14.00,14.00,1,,,,Japan
850434 - - Having a power handling capacity exceeding 500 kVA,,14.00,14.00,1,,,,Japan
850440 - Static converters,,16.22,16.22,9,,,,Japan
850450 - Other inductors,,18.00,18.00,1,,,,Japan
850490 - Parts,,15.20,15.20,5,,,,Japan
850511 - - Of metal,,16.00,16.00,1,,,,Japan
850519 - - Other,,16.00,16.00,2,,,,Japan
"850520 - Electro-magnetic couplings, clutches and brakes",,7.00,7.00,2,,,,Japan
"850590 - Other, including parts",,14.67,14.67,3,,,,Japan
850610 - Manganese dioxide,,16.00,16.00,3,,,,Japan
850630 - Mercuric oxide,,8.00,8.00,2,,,,Japan
850640 - Silver oxide,,8.00,8.00,2,,,,Japan
850650 - Lithium,,8.00,8.00,2,,,,Japan
850660 - Air-zinc,,8.00,8.00,2,,,,Japan
850680 - Other primary cells and primary batteries,,8.00,8.00,2,,,,Japan
850690 - Parts,,14.00,14.00,1,,,,Japan
"850710 - Lead-acid, of a kind used for starting piston engines",,18.00,18.00,2,,,,Japan
850720 - Other lead-acid accumulators,,18.00,18.00,2,,,,Japan
850730 - Nickel-cadmium,,18.00,18.00,3,,,,Japan
850740 - Nickel-iron,,18.00,18.00,1,,,,Japan
850750 - Nickel-metal hydride,,18.00,18.00,1,,,,Japan
850760 - Lithium-ion,,18.00,18.00,1,,,,Japan
850780 - Other accumulators,,18.00,18.00,1,,,,Japan
850790 - Parts,,16.00,16.00,3,,,,Japan
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,20.00,20.00,1,,,,Japan
850819 - - Other,,20.00,20.00,1,,,,Japan
850860 - Other vacuum cleaners,,14.00,14.00,1,,,,Japan
850870 - Parts,,14.00,14.00,1,,,,Japan
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,20.00,20.00,6,,,,Japan
850980 - Other appliances,,20.00,20.00,2,,,,Japan
850990 - Parts,,16.00,16.00,1,,,,Japan
851010 - Shavers,,20.00,20.00,1,,,,Japan
851020 - Hair clippers,,0.00,0.00,1,,,,Japan
851030 - Hair-removing appliances,,20.00,20.00,1,,,,Japan
851090 - Parts,,11.50,11.50,4,,,,Japan
851110 - Sparking plugs,,18.00,18.00,1,,,,Japan
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,18.00,18.00,2,,,,Japan
851130 - Distributors; ignition coils,,18.00,18.00,2,,,,Japan
851140 - Starter motors and dual purpose starter-generators,,18.00,18.00,1,,,,Japan
851150 - Other generators,,18.00,18.00,2,,,,Japan
851180 - Other equipment,,17.50,17.50,4,,,,Japan
851190 - Parts,,16.00,16.00,1,,,,Japan
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,18.00,18.00,1,,,,Japan
851220 - Other lighting or visual signalling equipment,,18.00,18.00,6,,,,Japan
851230 - Sound signalling equipment,,18.00,18.00,1,,,,Japan
"851240 - Windscreen wipers, defrosters and demisters",,18.00,18.00,2,,,,Japan
851290 - Parts,,16.00,16.00,1,,,,Japan
851310 - Lamps,,18.00,18.00,2,,,,Japan
851390 - Parts,,16.00,16.00,1,,,,Japan
851410 - Resistance heated furnaces and ovens,,14.00,14.00,2,,,,Japan
851420 - Furnaces and ovens functioning by induction or dielectric loss,,14.00,14.00,3,,,,Japan
851430 - Other furnaces and ovens,,14.00,14.00,5,,,,Japan
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,14.00,14.00,1,,,,Japan
851490 - Parts,,14.00,14.00,1,,,,Japan
851511 - - Soldering irons and guns,,14.00,14.00,1,,,,Japan
851519 - - Other,,14.00,14.00,1,,,,Japan
851521 - - Fully or partly automatic,,14.00,14.00,1,,,,Japan
851529 - - Other,,14.00,14.00,1,,,,Japan
851531 - - Fully or partly automatic,,7.00,7.00,2,,,,Japan
851539 - - Other,,14.00,14.00,1,,,,Japan
851580 - Other machines and apparatus,,7.00,7.00,2,,,,Japan
851590 - Parts,,14.00,14.00,1,,,,Japan
851610 - Electric instantaneous or storage water heaters and immersion heaters,,20.00,20.00,1,,,,Japan
851621 - - Storage heating radiators,,20.00,20.00,1,,,,Japan
851629 - - Other,,20.00,20.00,1,,,,Japan
851631 - - Hair dryers,,20.00,20.00,1,,,,Japan
851632 - - Other hair-dressing apparatus,,20.00,20.00,1,,,,Japan
851633 - - Hand-drying apparatus,,20.00,20.00,1,,,,Japan
851640 - Electric smoothing irons,,20.00,20.00,1,,,,Japan
851650 - Microwave ovens,,20.00,20.00,1,,,,Japan
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,20.00,20.00,1,,,,Japan
851671 - - Coffee or tea makers,,20.00,20.00,1,,,,Japan
851672 - - Toasters,,20.00,20.00,1,,,,Japan
851679 - - Other,,20.00,20.00,3,,,,Japan
851680 - Electric heating resistors,,16.00,16.00,2,,,,Japan
851690 - Parts,,16.00,16.00,1,,,,Japan
851711 - - Line telephone sets with cordless handsets,,20.00,20.00,1,,,,Japan
851712 - - Telephones for cellular networks or for other wireless networks,,10.67,10.67,15,,,,Japan
851718 - - Other,,18.50,18.50,4,,,,Japan
851761 - - Base stations,,6.91,6.91,11,,,,Japan
"851762 - - Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,11.23,11.23,39,,,,Japan
851769 - - Other,,14.00,14.00,1,,,,Japan
851770 - Parts,,9.00,9.00,6,,,,Japan
851810 - Microphones and stands therefor,,11.00,11.00,2,,,,Japan
"851821 - - Single loudspeakers, mounted in their enclosures",,20.00,20.00,1,,,,Japan
"851822 - - Multiple loudspeakers, mounted in the same enclosure",,20.00,20.00,1,,,,Japan
851829 - - Other,,11.00,11.00,2,,,,Japan
