Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"88,908,049",,,,,,,"Korea, Republic of"
,2018,,6.84,0.00,44,39,42,,"Korea, Republic of"
170112 - - Beet sugar,,,0.00,2,2,2,,"Korea, Republic of"
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,"Korea, Republic of"
170114 - - Other cane sugar,,,0.00,2,2,2,,"Korea, Republic of"
170191 - - Containing added flavouring or colouring matter,,,0.00,1,1,1,,"Korea, Republic of"
170199 - - Other,,,0.00,2,2,2,,"Korea, Republic of"
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,"Korea, Republic of"
170219 - - Other,,,0.00,1,1,1,,"Korea, Republic of"
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,"Korea, Republic of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,0.00,3,3,3,,"Korea, Republic of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,0.00,2,2,2,,"Korea, Republic of"
170250 - Chemically pure fructose,,,0.00,1,1,1,,"Korea, Republic of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,0.00,3,3,3,,"Korea, Republic of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,0.00,8,7,8,,"Korea, Republic of"
170310 - Cane molasses,,0.00,0.00,1,,,,"Korea, Republic of"
170390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,"Korea, Republic of"
170490 - Other,,13.40,0.00,10,9,10,,"Korea, Republic of"
,2017,"6,640,391",6.84,0.00,44,39,42,,"Korea, Republic of"
170112 - - Beet sugar,,,0.00,2,2,2,,"Korea, Republic of"
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,217,,0.00,2,2,2,,"Korea, Republic of"
170114 - - Other cane sugar,"1,771",,0.00,2,2,2,,"Korea, Republic of"
170191 - - Containing added flavouring or colouring matter,"1,317",,0.00,1,1,1,,"Korea, Republic of"
170199 - - Other,"20,686",,0.00,2,2,2,,"Korea, Republic of"
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,"Korea, Republic of"
170219 - - Other,"617,069",,0.00,1,1,1,,"Korea, Republic of"
170220 - Maple sugar and maple syrup,16,8.00,0.00,2,1,2,,"Korea, Republic of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","179,581",,0.00,3,3,3,,"Korea, Republic of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","15,132",,0.00,2,2,2,,"Korea, Republic of"
170250 - Chemically pure fructose,65,,0.00,1,1,1,,"Korea, Republic of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","29,593",,0.00,3,3,3,,"Korea, Republic of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","5,304,081",12.80,0.00,8,7,8,,"Korea, Republic of"
170310 - Cane molasses,"32,817",0.00,0.00,1,,,,"Korea, Republic of"
170390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"170410 - Chewing gum, whether or not sugar-coated","10,660",,0.00,2,2,2,,"Korea, Republic of"
170490 - Other,"427,383",13.40,0.00,10,9,10,,"Korea, Republic of"
,2016,"7,290,024",6.84,0.05,44,39,42,2,"Korea, Republic of"
170112 -- Beet sugar,,,0.00,2,2,2,,"Korea, Republic of"
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,"Korea, Republic of"
170114 -- Other cane sugar,"3,040",,0.00,2,2,2,,"Korea, Republic of"
170191 -- Containing added flavouring or colouring matter,71,,,1,1,1,1,"Korea, Republic of"
170199 -- Other,"12,991",,0.00,2,2,2,1,"Korea, Republic of"
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,"Korea, Republic of"
170219 -- Other,"2,222,409",,0.00,1,1,1,,"Korea, Republic of"
170220 - Maple sugar and maple syrup,,8.00,0.00,2,1,2,,"Korea, Republic of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","154,929",,0.00,3,3,3,,"Korea, Republic of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","8,964",,0.00,2,2,2,,"Korea, Republic of"
170250 - Chemically pure fructose,,,0.00,1,1,1,,"Korea, Republic of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","17,298",,0.00,3,3,3,,"Korea, Republic of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,498,676",12.80,0.00,8,7,8,,"Korea, Republic of"
170310 - Cane molasses,"12,338",0.00,0.00,1,,,,"Korea, Republic of"
170390 - Other,,0.00,0.00,1,,,,"Korea, Republic of"
"170410 - Chewing gum, whether or not sugar-coated","13,184",,0.00,2,2,2,,"Korea, Republic of"
170490 - Other,"346,125",13.40,0.22,10,9,10,,"Korea, Republic of"
,2015,"5,640,595",6.84,0.10,44,39,42,2,"Korea, Republic of"
170112 -- Beet sugar,6,,0.00,2,2,2,,"Korea, Republic of"
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,0.00,2,2,2,,"Korea, Republic of"
170114 -- Other cane sugar,1,,0.00,2,2,2,,"Korea, Republic of"
170191 -- Containing added flavouring or colouring matter,,,,1,1,1,1,"Korea, Republic of"
170199 -- Other,"25,855",,0.00,2,2,2,1,"Korea, Republic of"
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,"Korea, Republic of"
170219 -- Other,"1,003,361",,0.00,1,1,1,,"Korea, Republic of"
170220 - Maple sugar and maple syrup,"1,188",8.00,0.00,2,1,2,,"Korea, Republic of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","238,585",,0.00,3,3,3,,"Korea, Republic of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","10,762",,0.00,2,2,2,,"Korea, Republic of"
170250 - Chemically pure fructose,,,0.00,1,1,1,,"Korea, Republic of"
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",356,,0.00,3,3,3,,"Korea, Republic of"
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,087,036",12.80,0.00,8,7,8,,"Korea, Republic of"
170310 - Cane molasses,488,0.00,0.00,1,,,,"Korea, Republic of"
170390 - Other,"1,629",0.00,0.00,1,,,,"Korea, Republic of"
"170410 - Chewing gum, whether or not sugar-coated","19,148",,0.00,2,2,2,,"Korea, Republic of"
170490 - Other,"252,181",13.40,0.44,10,9,10,,"Korea, Republic of"
,2014,"6,597,255",6.84,0.16,44,39,42,2,"Korea, Republic of"
170112 -- Beet sugar,,,0.00,2,2,2,,"Korea, Republic of"
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,42,,0.00,2,2,2,,"Korea, Republic of"
170114 -- Other cane sugar,,,0.00,2,2,2,,"Korea, Republic of"
170191 -- Containing added flavouring or colouring matter,,,,1,1,1,1,"Korea, Republic of"
170199 -- Other,"39,007",,0.00,2,2,2,1,"Korea, Republic of"
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,"Korea, Republic of"
170219 -- Other,"434,505",,0.00,1,1,1,,"Korea, Republic of"
170220 - Maple sugar and maple syrup,"2,456",8.00,0.00,2,1,2,,"Korea, Republic of"
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","995,735",,0.00,3,3,3,,"Korea, Republic of"
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","6,015",,0.00,2,2,2,,"Korea, Republic of"
170250 - Chemically pure fructose,,,0.00,1,1,1,,"Korea, Republic of"
