Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
India,"12,874,791",,,,,,,Viet Nam
,2018,,20.00,20.00,55,,,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,Viet Nam
950440 - Playing cards,,20.00,20.00,1,,,,Viet Nam
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,Viet Nam
950490 - Other,,20.00,20.00,3,,,,Viet Nam
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,Viet Nam
950590 - Other,,20.00,20.00,2,,,,Viet Nam
950611 - - Skis,,20.00,20.00,1,,,,Viet Nam
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,Viet Nam
950619 - - Other,,20.00,20.00,1,,,,Viet Nam
950621 - - Sailboards,,20.00,20.00,1,,,,Viet Nam
950629 - - Other,,20.00,20.00,1,,,,Viet Nam
"950631 - - Clubs, complete",,20.00,20.00,1,,,,Viet Nam
950632 - - Balls,,20.00,20.00,1,,,,Viet Nam
950639 - - Other,,20.00,20.00,1,,,,Viet Nam
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,Viet Nam
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,Viet Nam
950659 - - Other,,20.00,20.00,2,,,,Viet Nam
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,Viet Nam
950662 - - Inflatable,,20.00,20.00,4,,,,Viet Nam
950669 - - Other,,20.00,20.00,5,,,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,Viet Nam
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,2,,,,Viet Nam
950699 - - Other,,20.00,20.00,9,,,,Viet Nam
950710 - Fishing rods,,20.00,20.00,1,,,,Viet Nam
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,Viet Nam
950730 - Fishing reels,,20.00,20.00,1,,,,Viet Nam
950790 - Other,,20.00,20.00,2,,,,Viet Nam
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,Viet Nam
950890 - Other,,20.00,20.00,1,,,,Viet Nam
,2017,,9.09,9.09,55,,,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,10.00,10.00,4,,,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,Viet Nam
950440 - Playing cards,,10.00,10.00,1,,,,Viet Nam
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,Viet Nam
950490 - Other,,10.00,10.00,3,,,,Viet Nam
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,Viet Nam
950590 - Other,,10.00,10.00,2,,,,Viet Nam
950611 - - Skis,,0.00,0.00,1,,,,Viet Nam
950612 - - Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,Viet Nam
950619 - - Other,,0.00,0.00,1,,,,Viet Nam
950621 - - Sailboards,,0.00,0.00,1,,,,Viet Nam
950629 - - Other,,0.00,0.00,1,,,,Viet Nam
"950631 - - Clubs, complete",,10.00,10.00,1,,,,Viet Nam
950632 - - Balls,,10.00,10.00,1,,,,Viet Nam
950639 - - Other,,10.00,10.00,1,,,,Viet Nam
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,Viet Nam
"950651 - - Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,Viet Nam
950659 - - Other,,10.00,10.00,2,,,,Viet Nam
950661 - - Lawn-tennis balls,,10.00,10.00,1,,,,Viet Nam
950662 - - Inflatable,,10.00,10.00,4,,,,Viet Nam
950669 - - Other,,10.00,10.00,5,,,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,Viet Nam
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,Viet Nam
950699 - - Other,,10.00,10.00,9,,,,Viet Nam
950710 - Fishing rods,,10.00,10.00,1,,,,Viet Nam
"950720 - Fish-hooks, whether or not snelled",,10.00,10.00,1,,,,Viet Nam
950730 - Fishing reels,,10.00,10.00,1,,,,Viet Nam
950790 - Other,,10.00,10.00,2,,,,Viet Nam
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,Viet Nam
950890 - Other,,10.00,10.00,1,,,,Viet Nam
,2016,"1,085,641",9.09,9.09,55,,,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","371,140",10.00,10.00,4,,,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,Viet Nam
950440 - Playing cards,,10.00,10.00,1,,,,Viet Nam
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,Viet Nam
950490 - Other,,10.00,10.00,3,,,,Viet Nam
950510 - Articles for Christmas festivities,"42,826",10.00,10.00,1,,,,Viet Nam
950590 - Other,369,10.00,10.00,2,,,,Viet Nam
950611 -- Skis,,0.00,0.00,1,,,,Viet Nam
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,Viet Nam
950619 -- Other,,0.00,0.00,1,,,,Viet Nam
950621 -- Sailboards,,0.00,0.00,1,,,,Viet Nam
950629 -- Other,"2,088",0.00,0.00,1,,,,Viet Nam
"950631 -- Clubs, complete","127,909",10.00,10.00,1,,,,Viet Nam
950632 -- Balls,,10.00,10.00,1,,,,Viet Nam
950639 -- Other,"1,302",10.00,10.00,1,,,,Viet Nam
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,Viet Nam
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,Viet Nam
950659 -- Other,"102,749",10.00,10.00,2,,,,Viet Nam
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,Viet Nam
950662 -- Inflatable,"394,012",10.00,10.00,4,,,,Viet Nam
950669 -- Other,,10.00,10.00,5,,,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,Viet Nam
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,Viet Nam
950699 -- Other,"24,437",10.00,10.00,9,,,,Viet Nam
950710 - Fishing rods,"12,342",10.00,10.00,1,,,,Viet Nam
"950720 - Fish-hooks, whether or not snelled",,10.00,10.00,1,,,,Viet Nam
950730 - Fishing reels,"1,770",10.00,10.00,1,,,,Viet Nam
950790 - Other,"4,697",10.00,10.00,2,,,,Viet Nam
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,Viet Nam
950890 - Other,,10.00,10.00,1,,,,Viet Nam
,2015,"2,162,497",9.07,9.07,55,1,,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,395,536",10.00,10.00,4,,,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,Viet Nam
950440 - Playing cards,,10.00,10.00,1,,,,Viet Nam
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,Viet Nam
950490 - Other,,10.00,10.00,3,1,,,Viet Nam
950510 - Articles for Christmas festivities,"53,403",10.00,10.00,1,,,,Viet Nam
950590 - Other,,10.00,10.00,2,,,,Viet Nam
950611 -- Skis,,0.00,0.00,1,,,,Viet Nam
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,Viet Nam
950619 -- Other,584,0.00,0.00,1,,,,Viet Nam
950621 -- Sailboards,,0.00,0.00,1,,,,Viet Nam
950629 -- Other,,0.00,0.00,1,,,,Viet Nam
"950631 -- Clubs, complete","198,677",10.00,10.00,1,,,,Viet Nam
950632 -- Balls,"22,196",10.00,10.00,1,,,,Viet Nam
950639 -- Other,908,10.00,10.00,1,,,,Viet Nam
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,Viet Nam
"950651 -- Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,Viet Nam
950659 -- Other,"62,155",10.00,10.00,2,,,,Viet Nam
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,Viet Nam
950662 -- Inflatable,"395,057",10.00,10.00,4,,,,Viet Nam
950669 -- Other,,10.00,10.00,5,,,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,Viet Nam
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,Viet Nam
950699 -- Other,"13,577",10.00,10.00,9,,,,Viet Nam
950710 - Fishing rods,"15,117",10.00,10.00,1,,,,Viet Nam
"950720 - Fish-hooks, whether or not snelled","1,267",10.00,10.00,1,,,,Viet Nam
950730 - Fishing reels,,10.00,10.00,1,,,,Viet Nam
950790 - Other,"4,020",10.00,10.00,2,,,,Viet Nam
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,Viet Nam
950890 - Other,,10.00,10.00,1,,,,Viet Nam
,2014,"2,813,493",9.09,9.09,55,,,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,959,993",10.00,10.00,4,,,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,Viet Nam
950440 - Playing cards,,10.00,10.00,1,,,,Viet Nam
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,Viet Nam
950490 - Other,,10.00,10.00,3,,,,Viet Nam
950510 - Articles for Christmas festivities,"51,753",10.00,10.00,1,,,,Viet Nam
950590 - Other,,10.00,10.00,2,,,,Viet Nam
950611 -- Skis,,0.00,0.00,1,,,,Viet Nam
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,Viet Nam
950619 -- Other,,0.00,0.00,1,,,,Viet Nam
950621 -- Sailboards,,0.00,0.00,1,,,,Viet Nam
950629 -- Other,"2,153",0.00,0.00,1,,,,Viet Nam
"950631 -- Clubs, complete","137,149",10.00,10.00,1,,,,Viet Nam
950632 -- Balls,"36,413",10.00,10.00,1,,,,Viet Nam
950639 -- Other,,10.00,10.00,1,,,,Viet Nam
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,Viet Nam
"950651 -- Lawn-tennis rackets, whether or not strung","10,300",10.00,10.00,1,,,,Viet Nam
950659 -- Other,"125,630",10.00,10.00,2,,,,Viet Nam
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,Viet Nam
950662 -- Inflatable,"446,770",10.00,10.00,4,,,,Viet Nam
950669 -- Other,,10.00,10.00,5,,,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached","33,876",10.00,10.00,1,,,,Viet Nam
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",74,10.00,10.00,2,,,,Viet Nam
950699 -- Other,869,10.00,10.00,9,,,,Viet Nam
950710 - Fishing rods,,10.00,10.00,1,,,,Viet Nam
"950720 - Fish-hooks, whether or not snelled","1,775",10.00,10.00,1,,,,Viet Nam
950730 - Fishing reels,"6,738",10.00,10.00,1,,,,Viet Nam
950790 - Other,,10.00,10.00,2,,,,Viet Nam
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,Viet Nam
950890 - Other,,10.00,10.00,1,,,,Viet Nam
,2013,"1,626,680",9.09,9.09,55,,,,Viet Nam
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","511,425",10.00,10.00,4,,,,Viet Nam
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,Viet Nam
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,Viet Nam
950440 - Playing cards,,10.00,10.00,1,,,,Viet Nam
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,Viet Nam
950490 - Other,,10.00,10.00,3,,,,Viet Nam
950510 - Articles for Christmas festivities,"38,585",10.00,10.00,1,,,,Viet Nam
950590 - Other,,10.00,10.00,2,,,,Viet Nam
950611 -- Skis,,0.00,0.00,1,,,,Viet Nam
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,Viet Nam
950619 -- Other,,0.00,0.00,1,,,,Viet Nam
950621 -- Sailboards,,0.00,0.00,1,,,,Viet Nam
950629 -- Other,"1,615",0.00,0.00,1,,,,Viet Nam
"950631 -- Clubs, complete","479,298",10.00,10.00,1,,,,Viet Nam
950632 -- Balls,"39,232",10.00,10.00,1,,,,Viet Nam
950639 -- Other,,10.00,10.00,1,,,,Viet Nam
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,Viet Nam
"950651 -- Lawn-tennis rackets, whether or not strung","10,034",10.00,10.00,1,,,,Viet Nam
950659 -- Other,"82,429",10.00,10.00,2,,,,Viet Nam
950661 -- Lawn-tennis balls,,10.00,10.00,1,,,,Viet Nam
950662 -- Inflatable,"435,881",10.00,10.00,4,,,,Viet Nam
950669 -- Other,670,10.00,10.00,5,,,,Viet Nam
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,Viet Nam
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,Viet Nam
950699 -- Other,"5,136",10.00,10.00,9,,,,Viet Nam
950710 - Fishing rods,"1,799",10.00,10.00,1,,,,Viet Nam
"950720 - Fish-hooks, whether or not snelled","2,354",10.00,10.00,1,,,,Viet Nam
