Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"9,538,411,538",,,,,,,Brazil
,2018,,6.65,6.65,199,,,,Brazil
870110 - Single axle tractors,,3.00,3.00,1,,,,Brazil
870120 - Road tractors for semi-trailers,,16.00,16.00,2,,,,Brazil
870130 - Track-laying tractors,,0.00,0.00,1,,,,Brazil
870191 - - Not exceeding 18 kW,,3.50,3.50,2,,,,Brazil
870192 - - Exceeding 18 kW but not exceeding 37 kW,,3.50,3.50,2,,,,Brazil
870193 - - Exceeding 37 kW but not exceeding 75 kW,,3.50,3.50,2,,,,Brazil
870194 - - Exceeding 75 kW but not exceeding 130 kW,,3.50,3.50,2,,,,Brazil
870195 - - Exceeding 130 kW,,3.50,3.50,2,,,,Brazil
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,13.00,4,,,,Brazil
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,13.00,13.00,2,,,,Brazil
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,13.00,13.00,2,,,,Brazil
870240 - With only electric motor for propulsion,,10.00,10.00,1,,,,Brazil
870290 - Other,,12.40,12.40,5,,,,Brazil
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,7.50,2,,,,Brazil
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,10.00,10.00,2,,,,Brazil
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,10.00,2,,,,Brazil
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,10.00,10.00,3,,,,Brazil
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,10.00,10.00,2,,,,Brazil
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,10.00,10.00,2,,,,Brazil
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,10.00,3,,,,Brazil
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,10.00,10.00,3,,,,Brazil
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,10.00,2,,,,Brazil
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,10.00,1,,,,Brazil
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,10.00,2,,,,Brazil
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,10.00,1,,,,Brazil
"870380 - Other vehicles, with only electric motor for propulsion",,10.00,10.00,2,,,,Brazil
