Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
080221 -- In shell,,6.00,6.00,1,,,,United States of America
080222 -- Shelled,,6.00,6.00,1,,,,United States of America
080231 -- In shell,"125,216",10.00,10.00,1,,,,United States of America
080232 -- Shelled,"48,287",10.00,10.00,1,,,,United States of America
080241 -- In shell,,10.00,10.00,1,,,,United States of America
080242 -- Shelled,,10.00,10.00,1,,,,United States of America
080251 -- In shell,"1,200,211",10.00,10.00,1,,,,United States of America
080252 -- Shelled,"458,073",10.00,10.00,1,,,,United States of America
080261 -- In shell,,10.00,10.00,1,,,,United States of America
080262 -- Shelled,,10.00,10.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,United States of America
080280 - Areca nuts,,10.00,10.00,1,,,,United States of America
080290 - Other,,10.00,10.00,1,,,,United States of America
080310 - Plantains,,10.00,10.00,1,,,,United States of America
080390 - Other,,10.00,10.00,1,,,,United States of America
080410 - Dates,"59,208",10.00,10.00,2,,,,United States of America
080420 - Figs,,10.00,10.00,2,,,,United States of America
080430 - Pineapples,,10.00,10.00,1,,,,United States of America
080440 - Avocados,,10.00,10.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,United States of America
080510 - Oranges,,10.00,10.00,1,,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,10.00,10.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,United States of America
080590 - Other,,10.00,10.00,1,,,,United States of America
080610 - Fresh,"21,093",10.00,10.00,1,,,,United States of America
080620 - Dried,"636,045",10.00,10.00,1,,,,United States of America
080711 -- Watermelons,,10.00,10.00,1,,,,United States of America
080719 -- Other,,10.00,10.00,1,,,,United States of America
080720 - Papaws (papayas),,10.00,10.00,1,,,,United States of America
080810 - Apples,"146,994",10.00,10.00,1,,,,United States of America
080830 - Pears,"2,984,431",10.00,10.00,1,,,,United States of America
080840 - Quinces,,10.00,10.00,1,,,,United States of America
080910 - Apricots,"62,655",10.00,10.00,1,,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,United States of America
080929 -- Other,"1,136,089",10.00,10.00,1,,,,United States of America
"080930 - Peaches, including nectarines","1,086,091",10.00,10.00,2,,,,United States of America
080940 - Plums and sloes,"411,103",10.00,10.00,1,,,,United States of America
081010 - Strawberries,"49,675",10.00,10.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","352,923",10.00,10.00,1,,,,United States of America
"081030 - Black, white or red currants and gooseberries","4,738",10.00,10.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","514,092",10.00,10.00,1,,,,United States of America
081050 - Kiwifruit,,10.00,10.00,1,,,,United States of America
081060 - Durians,,10.00,10.00,1,,,,United States of America
081070 - Persimmons,,10.00,10.00,1,,,,United States of America
081090 - Other,"949,100",10.00,10.00,1,,,,United States of America
081110 - Strawberries,,10.00,10.00,1,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,United States of America
081190 - Other,,10.00,10.00,1,,,,United States of America
081210 - Cherries,,10.00,10.00,1,,,,United States of America
081290 - Other,,10.00,10.00,1,,,,United States of America
081310 - Apricots,,10.00,10.00,1,,,,United States of America
081320 - Prunes,"61,743",10.00,10.00,2,,,,United States of America
081330 - Apples,"1,485",10.00,10.00,1,,,,United States of America
081340 - Other fruit,"287,285",10.00,10.00,2,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"192,019",10.00,10.00,1,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,10.00,10.00,1,,,,United States of America
,2015,"19,452,763",9.89,9.89,73,,,,United States of America
080111 -- Desiccated,,10.00,10.00,1,,,,United States of America
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,United States of America
080119 -- Other,,10.00,10.00,1,,,,United States of America
080121 -- In shell,,10.00,10.00,1,,,,United States of America
080122 -- Shelled,,10.00,10.00,1,,,,United States of America
080131 -- In shell,,10.00,10.00,1,,,,United States of America
080132 -- Shelled,,10.00,10.00,1,,,,United States of America
080211 -- In shell,,10.00,10.00,1,,,,United States of America
080212 -- Shelled,"7,003,142",10.00,10.00,1,,,,United States of America
080221 -- In shell,,6.00,6.00,1,,,,United States of America
080222 -- Shelled,"273,535",6.00,6.00,1,,,,United States of America
080231 -- In shell,,10.00,10.00,1,,,,United States of America
080232 -- Shelled,"599,797",10.00,10.00,1,,,,United States of America
080241 -- In shell,,10.00,10.00,1,,,,United States of America
080242 -- Shelled,,10.00,10.00,1,,,,United States of America
080251 -- In shell,"635,753",10.00,10.00,1,,,,United States of America
080252 -- Shelled,"96,523",10.00,10.00,1,,,,United States of America
080261 -- In shell,,10.00,10.00,1,,,,United States of America
080262 -- Shelled,,10.00,10.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,United States of America
080280 - Areca nuts,,10.00,10.00,1,,,,United States of America
080290 - Other,,10.00,10.00,1,,,,United States of America
080310 - Plantains,,10.00,10.00,1,,,,United States of America
080390 - Other,,10.00,10.00,1,,,,United States of America
080410 - Dates,"51,381",10.00,10.00,2,,,,United States of America
080420 - Figs,408,10.00,10.00,2,,,,United States of America
080430 - Pineapples,,10.00,10.00,1,,,,United States of America
080440 - Avocados,,10.00,10.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens",,10.00,10.00,3,,,,United States of America
080510 - Oranges,,10.00,10.00,1,,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,10.00,10.00,1,,,,United States of America
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","18,643",10.00,10.00,1,,,,United States of America
080590 - Other,,10.00,10.00,1,,,,United States of America
080610 - Fresh,"65,265",10.00,10.00,1,,,,United States of America
080620 - Dried,"1,034,494",10.00,10.00,1,,,,United States of America
080711 -- Watermelons,,10.00,10.00,1,,,,United States of America
080719 -- Other,,10.00,10.00,1,,,,United States of America
080720 - Papaws (papayas),,10.00,10.00,1,,,,United States of America
080810 - Apples,"220,781",10.00,10.00,1,,,,United States of America
080830 - Pears,"3,371,466",10.00,10.00,1,,,,United States of America
080840 - Quinces,,10.00,10.00,1,,,,United States of America
080910 - Apricots,"53,530",10.00,10.00,1,,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,United States of America
080929 -- Other,"856,527",10.00,10.00,1,,,,United States of America
"080930 - Peaches, including nectarines","1,398,996",10.00,10.00,2,,,,United States of America
080940 - Plums and sloes,"626,627",10.00,10.00,1,,,,United States of America
081010 - Strawberries,"184,875",10.00,10.00,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","144,598",10.00,10.00,1,,,,United States of America
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","501,360",10.00,10.00,1,,,,United States of America
081050 - Kiwifruit,,10.00,10.00,1,,,,United States of America
081060 - Durians,,10.00,10.00,1,,,,United States of America
081070 - Persimmons,,10.00,10.00,1,,,,United States of America
081090 - Other,"1,058,481",10.00,10.00,1,,,,United States of America
081110 - Strawberries,,10.00,10.00,1,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,United States of America
081190 - Other,"271,079",10.00,10.00,1,,,,United States of America
081210 - Cherries,,10.00,10.00,1,,,,United States of America
081290 - Other,,10.00,10.00,1,,,,United States of America
081310 - Apricots,"4,058",10.00,10.00,1,,,,United States of America
081320 - Prunes,"78,401",10.00,10.00,2,,,,United States of America
081330 - Apples,,10.00,10.00,1,,,,United States of America
081340 - Other fruit,"401,880",10.00,10.00,2,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"501,163",10.00,10.00,1,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,10.00,10.00,1,,,,United States of America
,2014,"33,587,479",10.50,10.50,74,,,,United States of America
080111 -- Desiccated,72,32.50,32.50,2,,,,United States of America
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,United States of America
080119 -- Other,,10.00,10.00,1,,,,United States of America
080121 -- In shell,,10.00,10.00,1,,,,United States of America
080122 -- Shelled,,10.00,10.00,1,,,,United States of America
080131 -- In shell,,10.00,10.00,1,,,,United States of America
080132 -- Shelled,,10.00,10.00,1,,,,United States of America
080211 -- In shell,"61,140",10.00,10.00,1,,,,United States of America
080212 -- Shelled,"15,020,884",10.00,10.00,1,,,,United States of America
080221 -- In shell,,6.00,6.00,1,,,,United States of America
