Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
Yemen,0,,,,,,,South Africa
,2016,,10.00,10.00,106,,,,South Africa
610120 - Of cotton,,10.00,10.00,1,,,,South Africa
610130 - Of man-made fibres,,10.00,10.00,1,,,,South Africa
610190 - Of other textile materials,,10.00,10.00,1,,,,South Africa
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610220 - Of cotton,,10.00,10.00,1,,,,South Africa
610230 - Of man-made fibres,,10.00,10.00,1,,,,South Africa
610290 - Of other textile materials,,10.00,10.00,1,,,,South Africa
610310 - Suits,,10.00,10.00,1,,,,South Africa
610322 -- Of cotton,,10.00,10.00,1,,,,South Africa
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610329 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610332 -- Of cotton,,10.00,10.00,1,,,,South Africa
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610339 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610342 -- Of cotton,,10.00,10.00,1,,,,South Africa
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610349 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610419 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610422 -- Of cotton,,10.00,10.00,1,,,,South Africa
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610429 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610432 -- Of cotton,,10.00,10.00,1,,,,South Africa
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610439 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610442 -- Of cotton,,10.00,10.00,1,,,,South Africa
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610444 -- Of artificial fibres,,10.00,10.00,1,,,,South Africa
610449 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610452 -- Of cotton,,10.00,10.00,1,,,,South Africa
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610459 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,South Africa
610462 -- Of cotton,,10.00,10.00,1,,,,South Africa
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,South Africa
610469 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610510 - Of cotton,,10.00,10.00,1,,,,South Africa
610520 - Of man-made fibres,,10.00,10.00,1,,,,South Africa
610590 - Of other textile materials,,10.00,10.00,1,,,,South Africa
610610 - Of cotton,,10.00,10.00,1,,,,South Africa
610620 - Of man-made fibres,,10.00,10.00,1,,,,South Africa
610690 - Of other textile materials,,10.00,10.00,1,,,,South Africa
610711 -- Of cotton,,10.00,10.00,1,,,,South Africa
610712 -- Of man-made fibres,,10.00,10.00,1,,,,South Africa
610719 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610721 -- Of cotton,,10.00,10.00,1,,,,South Africa
610722 -- Of man-made fibres,,10.00,10.00,1,,,,South Africa
610729 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610791 -- Of cotton,,10.00,10.00,1,,,,South Africa
610799 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610811 -- Of man-made fibres,,10.00,10.00,1,,,,South Africa
610819 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610821 -- Of cotton,,10.00,10.00,1,,,,South Africa
610822 -- Of man-made fibres,,10.00,10.00,1,,,,South Africa
610829 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610831 -- Of cotton,,10.00,10.00,1,,,,South Africa
610832 -- Of man-made fibres,,10.00,10.00,1,,,,South Africa
610839 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610891 -- Of cotton,,10.00,10.00,1,,,,South Africa
610892 -- Of man-made fibres,,10.00,10.00,1,,,,South Africa
610899 -- Of other textile materials,,10.00,10.00,1,,,,South Africa
610910 - Of cotton,,10.00,10.00,1,,,,South Africa
610990 - Of other textile materials,,10.00,10.00,1,,,,South Africa
611011 -- Of wool,,10.00,10.00,1,,,,South Africa
