Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
India,"1,822,218",,,,,,,Russian Federation
,2018,,38.17,38.17,103,2,,,Russian Federation
080111 - - Desiccated,,70.00,70.00,1,,,,Russian Federation
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,Russian Federation
080119 - - Other,,70.00,70.00,3,,,,Russian Federation
080121 - - In shell,,30.00,30.00,1,,,,Russian Federation
080122 - - Shelled,,30.00,30.00,1,,,,Russian Federation
080131 - - In shell,,30.00,30.00,1,,,,Russian Federation
080132 - - Shelled,,30.00,30.00,3,,,,Russian Federation
080211 - - In shell,,,,1,1,,,Russian Federation
080212 - - Shelled,,,,1,1,,,Russian Federation
080221 - - In shell,,30.00,30.00,1,,,,Russian Federation
080222 - - Shelled,,30.00,30.00,1,,,,Russian Federation
080231 - - In shell,,30.00,30.00,1,,,,Russian Federation
080232 - - Shelled,,30.00,30.00,1,,,,Russian Federation
080241 - - In shell,,30.00,30.00,1,,,,Russian Federation
080242 - - Shelled,,30.00,30.00,1,,,,Russian Federation
080251 - - In shell,,30.00,30.00,1,,,,Russian Federation
080252 - - Shelled,,30.00,30.00,1,,,,Russian Federation
080261 - - In shell,,30.00,30.00,1,,,,Russian Federation
080262 - - Shelled,,30.00,30.00,1,,,,Russian Federation
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,Russian Federation
080280 - Areca nuts,,100.00,100.00,4,,,,Russian Federation
080290 - Other,,100.00,100.00,1,,,,Russian Federation
080310 - Plantains,,30.00,30.00,2,,,,Russian Federation
080390 - Other,,30.00,30.00,2,,,,Russian Federation
080410 - Dates,,30.00,30.00,4,,,,Russian Federation
080420 - Figs,,30.00,30.00,2,,,,Russian Federation
080430 - Pineapples,,30.00,30.00,1,,,,Russian Federation
080440 - Avocados,,30.00,30.00,1,,,,Russian Federation
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,Russian Federation
080510 - Oranges,,40.00,40.00,1,,,,Russian Federation
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,Russian Federation
080522 - - Clementines,,30.00,30.00,1,,,,Russian Federation
