Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
610449 - - Of other textile materials,,12.00,12.00,1,,,,China
610451 - - Of wool or fine animal hair,,12.00,12.00,1,,,,China
610452 - - Of cotton,,12.00,12.00,1,,,,China
610453 - - Of synthetic fibres,,12.00,12.00,1,,,,China
610459 - - Of other textile materials,,12.00,12.00,1,,,,China
610461 - - Of wool or fine animal hair,,12.00,12.00,1,,,,China
610462 - - Of cotton,,12.00,12.00,1,,,,China
610463 - - Of synthetic fibres,,12.00,12.00,1,,,,China
610469 - - Of other textile materials,,12.00,12.00,1,,,,China
610510 - Of cotton,,12.00,12.00,1,,,,China
610520 - Of man-made fibres,,12.00,12.00,2,,,,China
610590 - Of other textile materials,,12.00,12.00,2,,,,China
610610 - Of cotton,,12.00,12.00,1,,,,China
610620 - Of man-made fibres,,12.00,12.00,1,,,,China
610690 - Of other textile materials,,12.00,12.00,4,,,,China
610711 - - Of cotton,,12.00,12.00,1,,,,China
610712 - - Of man-made fibres,,12.00,12.00,1,,,,China
610719 - - Of other textile materials,,12.00,12.00,1,,,,China
610721 - - Of cotton,,12.00,12.00,1,,,,China
610722 - - Of man-made fibres,,12.00,12.00,1,,,,China
610729 - - Of other textile materials,,12.00,12.00,1,,,,China
610791 - - Of cotton,,12.00,12.00,1,,,,China
610799 - - Of other textile materials,,12.00,12.00,1,,,,China
610811 - - Of man-made fibres,,12.00,12.00,1,,,,China
610819 - - Of other textile materials,,12.00,12.00,1,,,,China
610821 - - Of cotton,,12.00,12.00,1,,,,China
610822 - - Of man-made fibres,,12.00,12.00,1,,,,China
610829 - - Of other textile materials,,12.00,12.00,1,,,,China
610831 - - Of cotton,,12.00,12.00,1,,,,China
610832 - - Of man-made fibres,,12.00,12.00,1,,,,China
610839 - - Of other textile materials,,12.00,12.00,1,,,,China
610891 - - Of cotton,,12.00,12.00,1,,,,China
610892 - - Of man-made fibres,,12.00,12.00,1,,,,China
610899 - - Of other textile materials,,12.00,12.00,1,,,,China
610910 - Of cotton,,12.00,12.00,1,,,,China
610990 - Of other textile materials,,12.00,12.00,2,,,,China
611011 - - Of wool,,11.50,11.50,3,,,,China
611012 - - Of Kashmir (cashmere) goats,,12.00,12.00,2,,,,China
611019 - - Other,,12.00,12.00,2,,,,China
611020 - Of cotton,,12.00,12.00,3,,,,China
611030 - Of man-made fibres,,12.00,12.00,3,,,,China
611090 - Of other textile materials,,12.00,12.00,2,,,,China
611120 - Of cotton,,10.45,10.45,2,,,,China
611130 - Of synthetic fibres,,10.45,10.45,2,,,,China
611190 - Of other textile materials,,10.97,10.97,3,,,,China
611211 - - Of cotton,,12.00,12.00,1,,,,China
611212 - - Of synthetic fibres,,12.00,12.00,1,,,,China
611219 - - Of other textile materials,,12.00,12.00,1,,,,China
611220 - Ski suits,,12.00,12.00,1,,,,China
611231 - - Of synthetic fibres,,10.00,10.00,2,,,,China
611239 - - Of other textile materials,,10.00,10.00,2,,,,China
611241 - - Of synthetic fibres,,10.00,10.00,2,,,,China
611249 - - Of other textile materials,,10.00,10.00,2,,,,China
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,2,,,,China
611420 - Of cotton,,12.00,12.00,1,,,,China
611430 - Of man-made fibres,,12.00,12.00,1,,,,China
611490 - Of other textile materials,,12.00,12.00,1,,,,China
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)",,10.00,10.00,2,,,,China
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",,12.00,12.00,1,,,,China
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",,12.00,12.00,1,,,,China
611529 - - Of other textile materials,,12.00,12.00,1,,,,China
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,12.00,12.00,3,,,,China
611594 - - Of wool or fine animal hair,,12.00,12.00,1,,,,China
611595 - - Of cotton,,12.00,12.00,1,,,,China
611596 - - Of synthetic fibres,,12.00,12.00,3,,,,China
611599 - - Of other textile materials,,12.00,12.00,1,,,,China
"611610 - Impregnated, coated or covered with plastics or rubber",,8.45,8.45,2,,,,China
611691 - - Of wool or fine animal hair,,8.90,8.90,1,,,,China
611692 - - Of cotton,,8.90,8.90,1,,,,China
611693 - - Of synthetic fibres,,8.90,8.90,1,,,,China
