Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
European Union,"192,536,198",,,,,,,South Africa
,2018,,6.84,3.74,44,39,16,12,South Africa
170112 - - Beet sugar,,,,2,2,,,South Africa
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,South Africa
170114 - - Other cane sugar,,,,2,2,,,South Africa
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,South Africa
170199 - - Other,,,,2,2,,,South Africa
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 - - Other,,,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,,0.00,0.00,1,,,,South Africa
170390 - Other,,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,South Africa
170490 - Other,,13.40,9.30,10,9,10,9,South Africa
,2017,"63,301,607",6.84,3.74,45,40,16,12,South Africa
170112 - - Beet sugar,"18,161",,,2,2,,,South Africa
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,"16,573",,,2,2,,,South Africa
170114 - - Other cane sugar,"50,115,066",,,2,2,,,South Africa
170191 - - Containing added flavouring or colouring matter,"18,887",,,1,1,,,South Africa
170199 - - Other,"8,296,690",,,2,2,,,South Africa
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 - - Other,206,,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,12,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","18,003",,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,115,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",883,12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,"3,984,030",0.00,0.00,1,,,,South Africa
170390 - Other,11,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",538,,,2,2,2,2,South Africa
170490 - Other,"832,432",13.40,9.30,10,9,10,9,South Africa
,2016,"3,071,939",6.84,3.74,44,39,16,12,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,South Africa
170114 -- Other cane sugar,233,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"83,801",,,1,1,,,South Africa
170199 -- Other,"1,564,433",,,2,2,,,South Africa
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 -- Other,134,,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,239,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","366,938",,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,845",12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,"8,448",0.00,0.00,1,,,,South Africa
170390 - Other,,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","5,467",,,2,2,2,2,South Africa
170490 - Other,"1,037,402",13.40,9.30,10,9,10,9,South Africa
,2015,"2,919,477",6.84,3.74,44,39,16,12,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"13,176",,,2,2,,,South Africa
170114 -- Other cane sugar,"154,393",,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"177,283",,,1,1,,,South Africa
170199 -- Other,"1,314,875",,,2,2,,,South Africa
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 -- Other,"6,105",,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,192,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","4,433",,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,"17,193",,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","65,747",,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,461",12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,204,0.00,0.00,1,,,,South Africa
170390 - Other,41,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","4,840",,,2,2,2,2,South Africa
170490 - Other,"1,156,535",13.40,9.30,10,9,10,9,South Africa
,2014,"6,997,719",6.84,3.74,44,39,16,12,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"156,750",,,2,2,,,South Africa
170114 -- Other cane sugar,"3,715,608",,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"96,399",,,1,1,,,South Africa
170199 -- Other,"1,295,951",,,2,2,,,South Africa
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 -- Other,"1,014",,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",332,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","163,424",,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","12,296",12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,255,0.00,0.00,1,,,,South Africa
170390 - Other,,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","3,534",,,2,2,2,2,South Africa
170490 - Other,"1,552,156",13.40,9.30,10,9,10,9,South Africa
,2013,"3,229,053",6.84,3.74,44,39,16,12,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,South Africa
170114 -- Other cane sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"153,392",,,1,1,,,South Africa
170199 -- Other,"1,807,584",,,2,2,,,South Africa
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 -- Other,133,,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,611,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","2,803",12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,"11,023",0.00,0.00,1,,,,South Africa
170390 - Other,,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",27,,,2,2,2,2,South Africa
170490 - Other,"1,253,481",13.40,9.30,10,9,10,9,South Africa
,2012,"2,944,434",6.84,3.74,44,39,16,12,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,South Africa
170114 -- Other cane sugar,"297,905",,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"281,272",,,1,1,,,South Africa
170199 -- Other,"266,555",,,2,2,,,South Africa
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 -- Other,51,,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,26,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","34,537",,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","6,003",12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,"13,792",0.00,0.00,1,,,,South Africa
170390 - Other,,0.00,0.00,1,,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","8,123",,,2,2,2,2,South Africa
170490 - Other,"2,036,170",13.40,9.30,10,9,10,9,South Africa
,2011,"3,513,074",11.40,3.74,42,39,18,12,South Africa
170111 -- Cane sugar,,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"113,351",,,1,1,,,South Africa
170199 -- Other,"1,519,438",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,0.00,1,1,1,,South Africa
170219 -- Other,,,0.00,1,1,1,,South Africa
170220 - Maple sugar and maple syrup,"9,326",8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",14,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,1,1,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",947,12.80,8.90,8,7,1,,South Africa
170310 - Cane molasses,"13,628",,0.00,1,1,1,,South Africa
170390 - Other,,,0.00,1,1,1,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","2,770",,,2,2,2,2,South Africa
170490 - Other,"1,853,601",13.40,9.30,10,9,10,9,South Africa
,2010,"1,776,411",11.40,11.40,42,39,,,South Africa
170111 -- Cane sugar,,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"81,212",,,1,1,,,South Africa
170199 -- Other,"320,978",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","1,432",,,1,1,,,South Africa
170219 -- Other,,,,1,1,,,South Africa
170220 - Maple sugar and maple syrup,689,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",40,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","11,945",12.80,12.80,8,7,,,South Africa
170310 - Cane molasses,"9,797",,,1,1,,,South Africa
170390 - Other,,,,1,1,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","5,568",,,2,2,,,South Africa
170490 - Other,"1,344,750",13.40,13.40,10,9,,,South Africa
,2009,"3,130,559",11.40,11.40,42,39,,,South Africa
170111 -- Cane sugar,349,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"71,776",,,1,1,,,South Africa
170199 -- Other,"1,438,401",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,South Africa
170219 -- Other,70,,,1,1,,,South Africa
170220 - Maple sugar and maple syrup,893,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",195,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","323,761",12.80,12.80,8,7,,,South Africa
170310 - Cane molasses,"9,805",,,1,1,,,South Africa
170390 - Other,"2,525",,,1,1,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","5,509",,,2,2,,,South Africa
170490 - Other,"1,277,274",13.40,13.40,10,9,,,South Africa
,2008,"2,048,735",11.40,11.40,42,39,,,South Africa
170111 -- Cane sugar,,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"29,297",,,1,1,,,South Africa
170199 -- Other,"368,316",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,South Africa
170219 -- Other,,,,1,1,,,South Africa
170220 - Maple sugar and maple syrup,806,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","140,023",12.80,12.80,8,7,,,South Africa
170310 - Cane molasses,"40,458",,,1,1,,,South Africa
170390 - Other,"18,457",,,1,1,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","8,452",,,2,2,,,South Africa
170490 - Other,"1,442,927",13.40,13.40,10,9,,,South Africa
,2007,"942,164",11.40,11.40,47,44,,,South Africa
170111 -- Cane sugar,,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"12,787",,,1,1,,,South Africa
170199 -- Other,"2,577",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,South Africa
170219 -- Other,,,,1,1,,,South Africa
170220 - Maple sugar and maple syrup,"2,042",8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","49,777",12.80,12.80,9,8,,,South Africa
170310 - Cane molasses,"18,885",,,1,1,,,South Africa
170390 - Other,,,,1,1,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated",,,,4,4,,,South Africa
170490 - Other,"856,097",13.40,13.40,10,9,,,South Africa
,2006,"4,454,894",11.40,11.40,47,44,,,South Africa
170111 -- Cane sugar,"2,486",,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"130,721",,,1,1,,,South Africa
170199 -- Other,"15,193",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,South Africa
170219 -- Other,,,,1,1,,,South Africa
170220 - Maple sugar and maple syrup,"2,637",8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,883",,,5,5,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",778,12.80,12.80,9,8,,,South Africa
170310 - Cane molasses,"3,432,584",,,1,1,,,South Africa
170390 - Other,,,,1,1,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","214,306",,,4,4,,,South Africa
170490 - Other,"654,306",13.40,13.40,10,9,,,South Africa
,2005,"5,366,101",11.40,11.40,47,44,,,South Africa
170111 -- Cane sugar,286,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"5,524",,,1,1,,,South Africa
170199 -- Other,"745,614",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,South Africa
170219 -- Other,,,,1,1,,,South Africa
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,South Africa
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,South Africa
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,South Africa
170250 - Chemically pure fructose,,,,1,1,,,South Africa
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,South Africa
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","1,319,704",12.80,12.80,9,8,,,South Africa
170310 - Cane molasses,"2,228,481",,,1,1,,,South Africa
170390 - Other,,,,1,1,,,South Africa
"170410 - Chewing gum, whether or not sugar-coated","44,601",,,4,4,,,South Africa
170490 - Other,"1,021,891",13.40,13.40,10,9,,,South Africa
,2004,"6,899,902",11.40,11.40,47,44,,,South Africa
170111 -- Cane sugar,199,,,2,2,,,South Africa
170112 -- Beet sugar,,,,2,2,,,South Africa
170191 -- Containing added flavouring or colouring matter,"56,398",,,1,1,,,South Africa
170199 -- Other,"1,655,022",,,2,2,,,South Africa
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,South Africa
