Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
Yemen,0,,,,,,,Armenia
,2016,,6.39,6.39,230,,,,Armenia
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,Armenia
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,Armenia
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,Armenia
390190 - Other,,5.00,5.00,2,,,,Armenia
390210 - Polypropylene,,5.00,5.00,2,,,,Armenia
390220 - Polyisobutylene,,5.00,5.00,2,,,,Armenia
390230 - Propylene copolymers,,5.00,5.00,2,,,,Armenia
390290 - Other,,5.00,5.00,2,,,,Armenia
390311 -- Expansible,,5.00,5.00,2,,,,Armenia
390319 -- Other,,5.00,5.00,2,,,,Armenia
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,Armenia
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,Armenia
390390 - Other,,5.00,5.00,2,,,,Armenia
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,Armenia
390421 -- Non-plasticised,,5.00,5.00,2,,,,Armenia
390422 -- Plasticised,,5.00,5.00,2,,,,Armenia
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,Armenia
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,Armenia
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,Armenia
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,Armenia
390469 -- Other,,5.00,5.00,2,,,,Armenia
390490 - Other,,5.00,5.00,2,,,,Armenia
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,Armenia
390519 -- Other,,5.00,5.00,2,,,,Armenia
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,Armenia
390529 -- Other,,5.00,5.00,2,,,,Armenia
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,Armenia
390591 -- Copolymers,,5.00,5.00,2,,,,Armenia
390599 -- Other,,5.00,5.00,2,,,,Armenia
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,Armenia
390690 - Other,,5.00,5.00,2,,,,Armenia
390710 - Polyacetals,,5.00,5.00,2,,,,Armenia
390720 - Other polyethers,,5.00,5.00,2,,,,Armenia
390730 - Epoxide resins,,5.00,5.00,2,,,,Armenia
390740 - Polycarbonates,,5.00,5.00,2,,,,Armenia
390750 - Alkyd resins,,5.00,5.00,2,,,,Armenia
390760 - Poly(ethylene terephthalate),,5.00,5.00,2,,,,Armenia
390770 - Poly(lactic acid),,5.00,5.00,2,,,,Armenia
390791 -- Unsaturated,,5.00,5.00,2,,,,Armenia
390799 -- Other,,5.00,5.00,2,,,,Armenia
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,5.00,5.00,2,,,,Armenia
390890 - Other,,5.00,5.00,2,,,,Armenia
390910 - Urea resins; thiourea resins,,5.00,5.00,2,,,,Armenia
390920 - Melamine resins,,5.00,5.00,2,,,,Armenia
390930 - Other amino-resins,,5.00,5.00,2,,,,Armenia
390940 - Phenolic resins,,5.00,5.00,2,,,,Armenia
390950 - Polyurethanes,,5.00,5.00,2,,,,Armenia
391000 Silicones in primary forms.,,5.00,5.00,2,,,,Armenia
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,5.00,5.00,2,,,,Armenia
391190 - Other,,5.00,5.00,2,,,,Armenia
391211 -- Non-plasticised,,5.00,5.00,2,,,,Armenia
391212 -- Plasticised,,5.00,5.00,2,,,,Armenia
391220 - Cellulose nitrates (including collodions),,5.00,5.00,2,,,,Armenia
391231 -- Carboxymethylcellulose and its salts,,5.00,5.00,2,,,,Armenia
391239 -- Other,,5.00,5.00,2,,,,Armenia
391290 - Other,,5.00,5.00,2,,,,Armenia
"391310 - Alginic acid, its salts and esters",,5.00,5.00,2,,,,Armenia
391390 - Other,,5.00,5.00,2,,,,Armenia
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,5.00,5.00,2,,,,Armenia
391510 - Of polymers of ethylene,,7.50,7.50,2,,,,Armenia
391520 - Of polymers of styrene,,7.50,7.50,2,,,,Armenia
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Armenia
391590 - Of other plastics,,7.50,7.50,2,,,,Armenia
