Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
European Union,"16,113,759",,,,,,,"Korea, Republic of"
,2018,,6.67,0.31,125,24,92,,"Korea, Republic of"
080111 - - Desiccated,,0.00,0.00,1,,,,"Korea, Republic of"
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,"Korea, Republic of"
080119 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
080121 - - In shell,,0.00,0.00,1,,,,"Korea, Republic of"
080122 - - Shelled,,0.00,0.00,1,,,,"Korea, Republic of"
080131 - - In shell,,0.00,0.00,1,,,,"Korea, Republic of"
080132 - - Shelled,,0.00,0.00,1,,,,"Korea, Republic of"
080211 - - In shell,,2.80,0.00,2,,1,,"Korea, Republic of"
080212 - - Shelled,,1.75,0.00,2,,1,,"Korea, Republic of"
080221 - - In shell,,3.20,0.00,1,,1,,"Korea, Republic of"
080222 - - Shelled,,3.20,0.00,1,,1,,"Korea, Republic of"
080231 - - In shell,,4.00,0.00,1,,1,,"Korea, Republic of"
080232 - - Shelled,,5.10,0.00,1,,1,,"Korea, Republic of"
080241 - - In shell,,5.60,0.00,1,,1,,"Korea, Republic of"
080242 - - Shelled,,5.60,0.00,1,,1,,"Korea, Republic of"
080251 - - In shell,,1.60,0.00,1,,1,,"Korea, Republic of"
080252 - - Shelled,,1.60,0.00,1,,1,,"Korea, Republic of"
080261 - - In shell,,2.00,0.00,1,,1,,"Korea, Republic of"
080262 - - Shelled,,2.00,0.00,1,,1,,"Korea, Republic of"
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,"Korea, Republic of"
080280 - Areca nuts,,0.00,0.00,1,,,,"Korea, Republic of"
080290 - Other,,1.33,0.00,3,,2,,"Korea, Republic of"
080310 - Plantains,,16.00,0.00,2,,2,,"Korea, Republic of"
080390 - Other,,16.00,0.00,2,1,2,,"Korea, Republic of"
080410 - Dates,,7.70,0.00,1,,1,,"Korea, Republic of"
080420 - Figs,,6.80,0.00,2,,2,,"Korea, Republic of"
080430 - Pineapples,,5.80,0.00,1,,1,,"Korea, Republic of"
080440 - Avocados,,4.00,0.00,1,,1,,"Korea, Republic of"
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,"Korea, Republic of"
080510 - Oranges,,16.00,0.00,4,3,1,,"Korea, Republic of"
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,"Korea, Republic of"
080522 - - Clementines,,,,1,1,,,"Korea, Republic of"
080529 - - Other,,,,1,1,,,"Korea, Republic of"
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,"Korea, Republic of"
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,2,,"Korea, Republic of"
080590 - Other,,12.80,0.00,1,,1,,"Korea, Republic of"
080610 - Fresh,,14.40,0.00,2,1,2,,"Korea, Republic of"
080620 - Dried,,2.40,0.00,3,,3,,"Korea, Republic of"
080711 - - Watermelons,,8.80,0.00,1,,1,,"Korea, Republic of"
080719 - - Other,,8.80,0.00,1,,1,,"Korea, Republic of"
080720 - Papaws (papayas),,0.00,0.00,1,,,,"Korea, Republic of"
080810 - Apples,,,,2,2,,,"Korea, Republic of"
080830 - Pears,,,0.00,2,2,1,,"Korea, Republic of"
080840 - Quinces,,7.20,0.00,1,,1,,"Korea, Republic of"
080910 - Apricots,,,0.00,1,1,1,,"Korea, Republic of"
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,"Korea, Republic of"
080929 - - Other,,,0.00,1,1,1,,"Korea, Republic of"
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,"Korea, Republic of"
080940 - Plums and sloes,,12.00,0.00,2,1,2,,"Korea, Republic of"
081010 - Strawberries,,11.20,0.00,1,,1,,"Korea, Republic of"
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,"Korea, Republic of"
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,"Korea, Republic of"
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,"Korea, Republic of"
081050 - Kiwifruit,,8.80,0.00,1,,1,,"Korea, Republic of"
081060 - Durians,,8.80,0.00,1,,1,,"Korea, Republic of"
081070 - Persimmons,,8.80,8.80,1,,,,"Korea, Republic of"
081090 - Other,,4.40,0.00,2,,1,,"Korea, Republic of"
081110 - Strawberries,,17.60,0.00,3,1,3,,"Korea, Republic of"
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,,"Korea, Republic of"
081190 - Other,,10.75,0.00,10,2,8,,"Korea, Republic of"
081210 - Cherries,,8.80,0.00,1,,1,,"Korea, Republic of"
081290 - Other,,7.16,0.00,5,,5,,"Korea, Republic of"
081310 - Apricots,,5.60,0.00,1,,1,,"Korea, Republic of"
081320 - Prunes,,9.60,0.00,1,,1,,"Korea, Republic of"
081330 - Apples,,3.20,0.00,1,,1,,"Korea, Republic of"
081340 - Other fruit,,3.28,0.00,5,,4,,"Korea, Republic of"
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,"Korea, Republic of"
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,"Korea, Republic of"
,2017,"525,052",6.67,0.31,125,24,92,,"Korea, Republic of"
080111 - - Desiccated,195,0.00,0.00,1,,,,"Korea, Republic of"
080112 - - In the inner shell (endocarp),59,0.00,0.00,1,,,,"Korea, Republic of"
080119 - - Other,264,0.00,0.00,1,,,,"Korea, Republic of"
080121 - - In shell,7,0.00,0.00,1,,,,"Korea, Republic of"
080122 - - Shelled,70,0.00,0.00,1,,,,"Korea, Republic of"
080131 - - In shell,,0.00,0.00,1,,,,"Korea, Republic of"
080132 - - Shelled,"3,960",0.00,0.00,1,,,,"Korea, Republic of"
080211 - - In shell,56,2.80,0.00,2,,1,,"Korea, Republic of"
080212 - - Shelled,"29,774",1.75,0.00,2,,1,,"Korea, Republic of"
080221 - - In shell,,3.20,0.00,1,,1,,"Korea, Republic of"
080222 - - Shelled,476,3.20,0.00,1,,1,,"Korea, Republic of"
080231 - - In shell,55,4.00,0.00,1,,1,,"Korea, Republic of"
080232 - - Shelled,202,5.10,0.00,1,,1,,"Korea, Republic of"
