Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
390791 - - Unsaturated,,6.50,0.00,2,,2,,South Africa
390799 - - Other,,3.27,0.00,3,,2,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,South Africa
390890 - Other,,6.50,0.00,1,,1,,South Africa
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,South Africa
390920 - Melamine resins,,6.50,0.00,1,,1,,South Africa
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,South Africa
390939 - - Other,,6.50,0.00,1,,1,,South Africa
390940 - Phenolic resins,,6.50,0.00,1,,1,,South Africa
390950 - Polyurethanes,,3.25,0.00,2,,1,,South Africa
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,South Africa
391190 - Other,,3.30,0.00,5,,3,,South Africa
391211 - - Non-plasticised,,6.50,0.00,1,,1,,South Africa
391212 - - Plasticised,,6.50,0.00,1,,1,,South Africa
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,South Africa
391231 - - Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,South Africa
391239 - - Other,,3.25,0.00,2,,1,,South Africa
391290 - Other,,6.45,0.00,2,,2,,South Africa
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,South Africa
391390 - Other,,6.50,0.00,1,,1,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,South Africa
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,South Africa
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,South Africa
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,South Africa
391590 - Of other plastics,,6.50,0.00,2,,2,,South Africa
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,South Africa
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,South Africa
391690 - Of other plastics,,6.50,0.00,3,,3,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,South Africa
391721 - - Of polymers of ethylene,,6.50,0.00,2,,2,,South Africa
391722 - - Of polymers of propylene,,6.50,0.00,2,,2,,South Africa
391723 - - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,South Africa
391729 - - Of other plastics,,6.50,0.00,1,,1,,South Africa
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,South Africa
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,South Africa
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,South Africa
391739 - - Other,,6.50,0.00,1,,1,,South Africa
391740 - Fittings,,6.50,0.00,1,,1,,South Africa
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,South Africa
391890 - Of other plastics,,6.50,0.00,1,,1,,South Africa
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,South Africa
391990 - Other,,3.25,0.00,2,,1,,South Africa
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,South Africa
392020 - Of polymers of propylene,,6.50,0.00,3,,3,,South Africa
392030 - Of polymers of styrene,,6.50,0.00,1,,1,,South Africa
