Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
Brazil,"2,517,272,054",,,,,,,Japan
,2018,,10.82,10.82,318,,,,Japan
390110 - Polyethylene having a specific gravity of less than 0.94,,14.00,14.00,3,,,,Japan
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,Japan
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,Japan
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,14.00,14.00,1,,,,Japan
390190 - Other,,8.00,8.00,6,,,,Japan
390210 - Polypropylene,,14.00,14.00,2,,,,Japan
390220 - Polyisobutylene,,14.00,14.00,1,,,,Japan
390230 - Propylene copolymers,,14.00,14.00,1,,,,Japan
390290 - Other,,14.00,14.00,1,,,,Japan
390311 - - Expansible,,14.00,14.00,2,,,,Japan
390319 - - Other,,14.00,14.00,1,,,,Japan
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,Japan
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,Japan
390390 - Other,,10.00,10.00,3,,,,Japan
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,Japan
390421 - - Non-plasticised,,14.00,14.00,1,,,,Japan
390422 - - Plasticised,,14.00,14.00,1,,,,Japan
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,Japan
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,Japan
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,Japan
390461 - - Polytetrafluoroethylene,,2.00,2.00,2,,,,Japan
390469 - - Other,,2.00,2.00,2,,,,Japan
390490 - Other,,14.00,14.00,1,,,,Japan
390512 - - In aqueous dispersion,,14.00,14.00,1,,,,Japan
390519 - - Other,,14.00,14.00,2,,,,Japan
390521 - - In aqueous dispersion,,14.00,14.00,1,,,,Japan
390529 - - Other,,14.00,14.00,1,,,,Japan
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,Japan
390591 - - Copolymers,,8.00,8.00,2,,,,Japan
390599 - - Other,,4.50,4.50,4,,,,Japan
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,Japan
390690 - Other,,9.33,9.33,18,,,,Japan
390710 - Polyacetals,,8.67,8.67,9,,,,Japan
390720 - Other polyethers,,8.67,8.67,9,,,,Japan
390730 - Epoxide resins,,14.00,14.00,5,,,,Japan
390740 - Polycarbonates,,8.00,8.00,2,,,,Japan
390750 - Alkyd resins,,14.00,14.00,2,,,,Japan
390761 - - Having a viscosity number of 78 ml/g or higher,,14.00,14.00,1,,,,Japan
390769 - - Other,,14.00,14.00,1,,,,Japan
390770 - Poly(lactic acid),,14.00,14.00,1,,,,Japan
390791 - - Unsaturated,,14.00,14.00,1,,,,Japan
390799 - - Other,,6.00,6.00,9,,,,Japan
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,Japan
390890 - Other,,6.00,6.00,3,,,,Japan
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,Japan
390920 - Melamine resins,,14.00,14.00,4,,,,Japan
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,14.00,14.00,1,,,,Japan
390939 - - Other,,14.00,14.00,1,,,,Japan
390940 - Phenolic resins,,14.00,14.00,4,,,,Japan
390950 - Polyurethanes,,9.20,9.20,5,,,,Japan
391000 Silicones in primary forms.,,9.50,9.50,8,,,,Japan
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,Japan
391190 - Other,,5.69,5.69,13,,,,Japan
391211 - - Non-plasticised,,5.00,5.00,2,,,,Japan
391212 - - Plasticised,,2.00,2.00,1,,,,Japan
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,Japan
391231 - - Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,Japan
391239 - - Other,,2.00,2.00,4,,,,Japan
391290 - Other,,10.00,10.00,6,,,,Japan
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,Japan
391390 - Other,,4.67,4.67,9,,,,Japan
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,Japan
