Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
Yemen,0,,,,,,,United States of America
,2016,,6.39,6.39,230,,,,United States of America
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,United States of America
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,United States of America
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,United States of America
390190 - Other,,5.00,5.00,2,,,,United States of America
390210 - Polypropylene,,5.00,5.00,2,,,,United States of America
390220 - Polyisobutylene,,5.00,5.00,2,,,,United States of America
390230 - Propylene copolymers,,5.00,5.00,2,,,,United States of America
390290 - Other,,5.00,5.00,2,,,,United States of America
390311 -- Expansible,,5.00,5.00,2,,,,United States of America
390319 -- Other,,5.00,5.00,2,,,,United States of America
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,United States of America
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,United States of America
390390 - Other,,5.00,5.00,2,,,,United States of America
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,United States of America
390421 -- Non-plasticised,,5.00,5.00,2,,,,United States of America
390422 -- Plasticised,,5.00,5.00,2,,,,United States of America
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,United States of America
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,United States of America
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,United States of America
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,United States of America
390469 -- Other,,5.00,5.00,2,,,,United States of America
390490 - Other,,5.00,5.00,2,,,,United States of America
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,United States of America
390519 -- Other,,5.00,5.00,2,,,,United States of America
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,United States of America
390529 -- Other,,5.00,5.00,2,,,,United States of America
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,United States of America
390591 -- Copolymers,,5.00,5.00,2,,,,United States of America
390599 -- Other,,5.00,5.00,2,,,,United States of America
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,United States of America
390690 - Other,,5.00,5.00,2,,,,United States of America
390710 - Polyacetals,,5.00,5.00,2,,,,United States of America
390720 - Other polyethers,,5.00,5.00,2,,,,United States of America
390730 - Epoxide resins,,5.00,5.00,2,,,,United States of America
390740 - Polycarbonates,,5.00,5.00,2,,,,United States of America
390750 - Alkyd resins,,5.00,5.00,2,,,,United States of America
390760 - Poly(ethylene terephthalate),,5.00,5.00,2,,,,United States of America
390770 - Poly(lactic acid),,5.00,5.00,2,,,,United States of America
390791 -- Unsaturated,,5.00,5.00,2,,,,United States of America
390799 -- Other,,5.00,5.00,2,,,,United States of America
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,5.00,5.00,2,,,,United States of America
390890 - Other,,5.00,5.00,2,,,,United States of America
390910 - Urea resins; thiourea resins,,5.00,5.00,2,,,,United States of America
390920 - Melamine resins,,5.00,5.00,2,,,,United States of America
390930 - Other amino-resins,,5.00,5.00,2,,,,United States of America
390940 - Phenolic resins,,5.00,5.00,2,,,,United States of America
390950 - Polyurethanes,,5.00,5.00,2,,,,United States of America
391000 Silicones in primary forms.,,5.00,5.00,2,,,,United States of America
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,5.00,5.00,2,,,,United States of America
391190 - Other,,5.00,5.00,2,,,,United States of America
391211 -- Non-plasticised,,5.00,5.00,2,,,,United States of America
391212 -- Plasticised,,5.00,5.00,2,,,,United States of America
391220 - Cellulose nitrates (including collodions),,5.00,5.00,2,,,,United States of America
391231 -- Carboxymethylcellulose and its salts,,5.00,5.00,2,,,,United States of America
391239 -- Other,,5.00,5.00,2,,,,United States of America
391290 - Other,,5.00,5.00,2,,,,United States of America
"391310 - Alginic acid, its salts and esters",,5.00,5.00,2,,,,United States of America
