Importer,Year,Value,Ad val. duties,Number of lines,Yemen
,(US$),Simple average,MFN duties,Pref. duties,Yemen
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Yemen
European Union,"6,545,958",,,,,,,Yemen
,2018,,2.75,0.00,23,,20,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Yemen
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Yemen
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Yemen
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Yemen
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Yemen
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Yemen
880390 - Other,,1.56,0.00,5,,4,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Yemen
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Yemen
880529 - - Other,,0.00,0.00,1,,,,Yemen
,2017,,2.80,0.00,23,,20,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Yemen
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Yemen
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Yemen
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Yemen
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Yemen
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Yemen
880390 - Other,,1.56,0.00,5,,4,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Yemen
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Yemen
880529 - - Other,,0.00,0.00,1,,,,Yemen
,2016,,3.07,0.00,21,,21,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Yemen
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Yemen
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Yemen
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Yemen
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Yemen
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Yemen
880390 - Other,,1.95,0.00,4,,4,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Yemen
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Yemen
880529 -- Other,,1.70,0.00,1,,1,,Yemen
,2015,"11,876",3.07,0.00,21,,21,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Yemen
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Yemen
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Yemen
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Yemen
880320 - Under-carriages and parts thereof,"4,809",2.70,0.00,1,,1,,Yemen
880330 - Other parts of aeroplanes or helicopters,"7,067",2.70,0.00,1,,1,,Yemen
880390 - Other,,1.95,0.00,4,,4,,Yemen
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Yemen
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Yemen
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Yemen
880529 -- Other,,1.70,0.00,1,,1,,Yemen
,2014,"62,185",3.07,0.00,21,,21,,Yemen
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Yemen
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Yemen
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Yemen
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Yemen
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Yemen
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Yemen
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Yemen
