Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
European Union,"61,257,324",,,,,,,Viet Nam
,2018,,6.84,5.24,44,39,14,12,Viet Nam
170112 - - Beet sugar,,,,2,2,,,Viet Nam
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Viet Nam
170114 - - Other cane sugar,,,,2,2,,,Viet Nam
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 - - Other,,,,2,2,,,Viet Nam
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 - - Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,,0.00,0.00,1,,,,Viet Nam
170390 - Other,,0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Viet Nam
170490 - Other,,13.40,9.30,10,9,10,9,Viet Nam
,2017,"4,613,258",6.84,5.24,44,39,14,12,Viet Nam
170112 - - Beet sugar,,,,2,2,,,Viet Nam
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Viet Nam
170114 - - Other cane sugar,634,,,2,2,,,Viet Nam
170191 - - Containing added flavouring or colouring matter,1,,,1,1,,,Viet Nam
170199 - - Other,"3,952",,,2,2,,,Viet Nam
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 - - Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,15,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",117,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,82,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","16,804",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,311,0.00,0.00,1,,,,Viet Nam
170390 - Other,"2,283,108",0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","44,317",,,2,2,2,2,Viet Nam
170490 - Other,"2,263,916",13.40,9.30,10,9,10,9,Viet Nam
,2016,"4,473,649",6.84,5.24,44,39,14,12,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,9,,,2,2,,,Viet Nam
170114 -- Other cane sugar,"2,156",,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 -- Other,"3,239",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,"5,554",8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",11,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","13,582",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,"559,280",0.00,0.00,1,,,,Viet Nam
170390 - Other,"1,488,439",0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated",33,,,2,2,2,2,Viet Nam
170490 - Other,"2,401,346",13.40,9.30,10,9,10,9,Viet Nam
,2015,"5,314,878",6.84,5.24,44,39,14,12,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Viet Nam
170114 -- Other cane sugar,"1,031",,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 -- Other,"4,566",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",69,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,68,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",2,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","13,467",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,"1,596,173",0.00,0.00,1,,,,Viet Nam
170390 - Other,"1,073,096",0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,2,2,Viet Nam
170490 - Other,"2,626,404",13.40,9.30,10,9,10,9,Viet Nam
,2014,"12,121,574",6.84,5.24,44,39,14,12,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Viet Nam
170114 -- Other cane sugar,"5,499,354",,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 -- Other,"317,856",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",81,,,1,1,,,Viet Nam
170219 -- Other,168,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","14,424",,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,922,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","12,003",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,"3,506,862",0.00,0.00,1,,,,Viet Nam
170390 - Other,,0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","53,064",,,2,2,2,2,Viet Nam
170490 - Other,"2,716,839",13.40,9.30,10,9,10,9,Viet Nam
,2013,"5,977,154",6.84,5.24,44,39,14,12,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Viet Nam
170114 -- Other cane sugar,465,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,13,,,1,1,,,Viet Nam
170199 -- Other,"77,640",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","4,722",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,"3,628,645",0.00,0.00,1,,,,Viet Nam
170390 - Other,1,0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","1,089",,,2,2,2,2,Viet Nam
170490 - Other,"2,264,578",13.40,9.30,10,9,10,9,Viet Nam
,2012,"8,720,938",6.84,5.24,44,39,14,12,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Viet Nam
170114 -- Other cane sugar,167,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 -- Other,"2,288",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",5,,,1,1,,,Viet Nam
170219 -- Other,103,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",9,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","4,486",,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","34,116",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,"4,461,864",0.00,0.00,1,,,,Viet Nam
170390 - Other,"2,161,530",0.00,0.00,1,,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","30,938",,,2,2,2,2,Viet Nam
170490 - Other,"2,025,433",13.40,9.30,10,9,10,9,Viet Nam
,2011,"3,176,293",11.40,8.73,42,39,14,12,Viet Nam
170111 -- Cane sugar,376,,,2,2,,,Viet Nam
170112 -- Beet sugar,181,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,"1,197",,,1,1,,,Viet Nam
170199 -- Other,"3,786",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","1,963",,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,1,1,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","3,035",12.80,8.90,8,7,1,,Viet Nam
170310 - Cane molasses,"217,625",,,1,1,,,Viet Nam
170390 - Other,"1,580,546",,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","52,952",,,2,2,2,2,Viet Nam
170490 - Other,"1,314,633",13.40,9.30,10,9,10,9,Viet Nam
,2010,"4,844,439",11.40,11.40,42,39,,,Viet Nam
170111 -- Cane sugar,371,,,2,2,,,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,"1,259",,,1,1,,,Viet Nam
170199 -- Other,"3,115",,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,153",,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","9,784",12.80,12.80,8,7,,,Viet Nam
170310 - Cane molasses,,,,1,1,,,Viet Nam
170390 - Other,"3,373,575",,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","191,723",,,2,2,,,Viet Nam
170490 - Other,"1,263,458",13.40,13.40,10,9,,,Viet Nam
,2009,"3,772,585",11.40,11.40,42,39,,,Viet Nam
170111 -- Cane sugar,404,,,2,2,,,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,"2,036",,,1,1,,,Viet Nam
170199 -- Other,293,,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",488,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","10,001",12.80,12.80,8,7,,,Viet Nam
170310 - Cane molasses,,,,1,1,,,Viet Nam
170390 - Other,"2,449,938",,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","198,034",,,2,2,,,Viet Nam
170490 - Other,"1,111,391",13.40,13.40,10,9,,,Viet Nam
,2008,"1,526,436",11.40,11.40,42,39,,,Viet Nam
170111 -- Cane sugar,557,,,2,2,,,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,996,,,1,1,,,Viet Nam
170199 -- Other,308,,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,3,3,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","6,870",12.80,12.80,8,7,,,Viet Nam
170310 - Cane molasses,,,,1,1,,,Viet Nam
170390 - Other,,,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","227,224",,,2,2,,,Viet Nam
170490 - Other,"1,290,482",13.40,13.40,10,9,,,Viet Nam
,2007,"966,230",11.40,11.40,47,44,,,Viet Nam
170111 -- Cane sugar,219,,,2,2,,,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,"2,056",,,1,1,,,Viet Nam
170199 -- Other,356,,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",137,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",713,12.80,12.80,9,8,,,Viet Nam
170310 - Cane molasses,,,,1,1,,,Viet Nam
170390 - Other,,,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","116,040",,,4,4,,,Viet Nam
170490 - Other,"846,709",13.40,13.40,10,9,,,Viet Nam
,2006,"922,853",11.40,11.40,47,44,,,Viet Nam
170111 -- Cane sugar,364,,,2,2,,,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 -- Other,,,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",778,12.80,12.80,9,8,,,Viet Nam
170310 - Cane molasses,,,,1,1,,,Viet Nam
170390 - Other,,,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","192,885",,,4,4,,,Viet Nam
170490 - Other,"728,826",13.40,13.40,10,9,,,Viet Nam
,2005,"1,064,738",11.40,11.40,47,44,,,Viet Nam
170111 -- Cane sugar,249,,,2,2,,,Viet Nam
170112 -- Beet sugar,,,,2,2,,,Viet Nam
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Viet Nam
170199 -- Other,759,,,2,2,,,Viet Nam
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Viet Nam
170219 -- Other,,,,1,1,,,Viet Nam
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Viet Nam
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",,,,5,5,,,Viet Nam
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,,,2,2,,,Viet Nam
170250 - Chemically pure fructose,,,,1,1,,,Viet Nam
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,,,3,3,,,Viet Nam
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,12.80,12.80,9,8,,,Viet Nam
170310 - Cane molasses,,,,1,1,,,Viet Nam
170390 - Other,,,,1,1,,,Viet Nam
"170410 - Chewing gum, whether or not sugar-coated","311,871",,,4,4,,,Viet Nam
