Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
040690 - Other cheese,,30.00,30.00,1,,,,Japan
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,30.00,30.00,3,,,,Japan
040811 -- Dried,,30.00,30.00,1,,,,Japan
040819 -- Other,,30.00,30.00,1,,,,Japan
040891 -- Dried,,30.00,30.00,1,,,,Japan
040899 -- Other,,30.00,30.00,1,,,,Japan
040900 Natural honey.,,60.00,60.00,1,,,,Japan
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,Japan
,2007,325,34.65,34.65,43,,,,Japan
"040110 - Of a fat content, by weight, not exceeding 1%",,30.00,30.00,1,,,,Japan
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6 %",,30.00,30.00,1,,,,Japan
"040130 - Of a fat content, by weight, exceeding 6%",,30.00,30.00,1,,,,Japan
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,60.00,60.00,3,,,,Japan
040221 -- Not containing added sugar or other sweetening matter,,60.00,60.00,1,,,,Japan
040229 -- Other,,30.00,30.00,3,,,,Japan
040291 -- Not containing added sugar or other sweetening matter,,30.00,30.00,2,,,,Japan
040299 -- Other,,30.00,30.00,3,,,,Japan
040310 - Yogurt,,30.00,30.00,1,,,,Japan
040390 - Other,,30.00,30.00,2,,,,Japan
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,30.00,30.00,3,,,,Japan
040490 - Other,,30.00,30.00,1,,,,Japan
040510 - Butter,,40.00,40.00,1,,,,Japan
040520 - Dairy spreads,,40.00,40.00,1,,,,Japan
040590 - Other,,40.00,40.00,3,,,,Japan
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,30.00,30.00,1,,,,Japan
"040620 - Grated or powdered cheese, of all kinds",,30.00,30.00,1,,,,Japan
"040630 - Processed cheese, not grated or powdered",,30.00,30.00,1,,,,Japan
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,30.00,30.00,1,,,,Japan
040690 - Other cheese,325,30.00,30.00,1,,,,Japan
"040700 Birds' eggs, in shell, fresh, preserved or cooked.",,30.00,30.00,3,,,,Japan
040811 -- Dried,,30.00,30.00,1,,,,Japan
040819 -- Other,,30.00,30.00,1,,,,Japan
040891 -- Dried,,30.00,30.00,1,,,,Japan
040899 -- Other,,30.00,30.00,1,,,,Japan
040900 Natural honey.,,60.00,60.00,1,,,,Japan
"041000 Edible products of animal origin, not elsewhere specified or included.",,30.00,30.00,3,,,,Japan
,2006,80,34.65,34.65,43,,,,Japan
"040110 - Of a fat content, by weight, not exceeding 1%",,30.00,30.00,1,,,,Japan
"040120 - Of a fat content, by weight, exceeding 1% but not exceeding 6%",,30.00,30.00,1,,,,Japan
"040130 - Of a fat content, by weight, exceeding 6%",,30.00,30.00,1,,,,Japan
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",,60.00,60.00,3,,,,Japan
