Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
European Union,"2,523,682",,,,,,,Costa Rica
,2018,,2.14,0.00,63,,41,,Costa Rica
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.00,19,,8,,Costa Rica
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Costa Rica
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Costa Rica
950440 - Playing cards,,2.70,0.00,1,,1,,Costa Rica
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Costa Rica
950490 - Other,,0.00,0.00,2,,,,Costa Rica
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Costa Rica
950590 - Other,,2.70,0.00,1,,1,,Costa Rica
950611 - - Skis,,3.70,0.00,4,,4,,Costa Rica
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Costa Rica
950619 - - Other,,2.70,0.00,1,,1,,Costa Rica
950621 - - Sailboards,,2.70,0.00,1,,1,,Costa Rica
950629 - - Other,,2.70,0.00,1,,1,,Costa Rica
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,Costa Rica
950632 - - Balls,,2.70,0.00,1,,1,,Costa Rica
950639 - - Other,,2.70,0.00,2,,2,,Costa Rica
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Costa Rica
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Costa Rica
950659 - - Other,,2.70,0.00,1,,1,,Costa Rica
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,Costa Rica
950662 - - Inflatable,,2.70,0.00,1,,1,,Costa Rica
950669 - - Other,,1.35,0.00,2,,1,,Costa Rica
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Costa Rica
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Costa Rica
950699 - - Other,,1.35,0.00,2,,1,,Costa Rica
950710 - Fishing rods,,3.70,0.00,1,,1,,Costa Rica
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Costa Rica
950730 - Fishing reels,,3.70,0.00,1,,1,,Costa Rica
950790 - Other,,3.70,0.00,1,,1,,Costa Rica
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Costa Rica
950890 - Other,,1.70,0.00,1,,1,,Costa Rica
,2017,"157,289",2.14,0.00,63,,41,,Costa Rica
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","10,435",1.98,0.00,19,,8,,Costa Rica
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Costa Rica
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","99,348",0.00,0.00,3,,,,Costa Rica
950440 - Playing cards,47,2.70,0.00,1,,1,,Costa Rica
"950450 - Video game consoles and machines, other than those of subheading 9504.30","2,409",0.00,0.00,1,,,,Costa Rica
950490 - Other,"1,076",0.00,0.00,2,,,,Costa Rica
950510 - Articles for Christmas festivities,"1,066",1.35,0.00,2,,1,,Costa Rica
950590 - Other,"4,074",2.70,0.00,1,,1,,Costa Rica
950611 - - Skis,7,3.70,0.00,4,,4,,Costa Rica
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Costa Rica
950619 - - Other,53,2.70,0.00,1,,1,,Costa Rica
950621 - - Sailboards,2,2.70,0.00,1,,1,,Costa Rica
950629 - - Other,"6,980",2.70,0.00,1,,1,,Costa Rica
"950631 - - Clubs, complete",136,2.70,0.00,1,,1,,Costa Rica
950632 - - Balls,642,2.70,0.00,1,,1,,Costa Rica
950639 - - Other,,2.70,0.00,2,,2,,Costa Rica
950640 - Articles and equipment for table-tennis,32,2.70,0.00,1,,1,,Costa Rica
"950651 - - Lawn-tennis rackets, whether or not strung",20,4.70,0.00,1,,1,,Costa Rica
950659 - - Other,257,2.70,0.00,1,,1,,Costa Rica
950661 - - Lawn-tennis balls,311,2.70,0.00,1,,1,,Costa Rica
950662 - - Inflatable,149,2.70,0.00,1,,1,,Costa Rica
950669 - - Other,"2,526",1.35,0.00,2,,1,,Costa Rica
"950670 - Ice skates and roller skates, including skating boots with skates attached",583,1.80,0.00,3,,2,,Costa Rica
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","5,437",2.70,0.00,2,,2,,Costa Rica
950699 - - Other,"2,369",1.35,0.00,2,,1,,Costa Rica
950710 - Fishing rods,344,3.70,0.00,1,,1,,Costa Rica
"950720 - Fish-hooks, whether or not snelled",301,2.70,0.00,2,,2,,Costa Rica
950730 - Fishing reels,692,3.70,0.00,1,,1,,Costa Rica
950790 - Other,"17,991",3.70,0.00,1,,1,,Costa Rica
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Costa Rica
950890 - Other,2,1.70,0.00,1,,1,,Costa Rica
,2016,"224,811",2.17,0.00,62,,41,,Costa Rica
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","18,552",2.09,0.00,18,,8,,Costa Rica
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Costa Rica
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","53,989",0.00,0.00,3,,,,Costa Rica
950440 - Playing cards,,2.70,0.00,1,,1,,Costa Rica
"950450 -Video game consoles and machines, other than those of subheading 9504.30",158,0.00,0.00,1,,,,Costa Rica
950490 - Other,,0.00,0.00,2,,,,Costa Rica
950510 - Articles for Christmas festivities,"31,607",1.35,0.00,2,,1,,Costa Rica
950590 - Other,204,2.70,0.00,1,,1,,Costa Rica
950611 -- Skis,,3.70,0.00,4,,4,,Costa Rica
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Costa Rica
950619 -- Other,,2.70,0.00,1,,1,,Costa Rica
950621 -- Sailboards,,2.70,0.00,1,,1,,Costa Rica
950629 -- Other,"1,309",2.70,0.00,1,,1,,Costa Rica
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Costa Rica
950632 -- Balls,,2.70,0.00,1,,1,,Costa Rica
950639 -- Other,,2.70,0.00,2,,2,,Costa Rica
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Costa Rica
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Costa Rica
950659 -- Other,,2.70,0.00,1,,1,,Costa Rica
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Costa Rica
950662 -- Inflatable,,2.70,0.00,1,,1,,Costa Rica
950669 -- Other,"3,020",1.35,0.00,2,,1,,Costa Rica
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Costa Rica
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Costa Rica
950699 -- Other,304,1.35,0.00,2,,1,,Costa Rica
950710 - Fishing rods,,3.70,0.00,1,,1,,Costa Rica
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Costa Rica
950730 - Fishing reels,,3.70,0.00,1,,1,,Costa Rica
950790 - Other,"5,961",3.70,0.00,1,,1,,Costa Rica
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Costa Rica
950890 - Other,"109,707",1.70,0.00,1,,1,,Costa Rica
,2015,"31,068",2.17,0.00,62,,41,,Costa Rica
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",852,2.09,0.00,18,,8,,Costa Rica
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Costa Rica
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",77,0.00,0.00,3,,,,Costa Rica
950440 - Playing cards,853,2.70,0.00,1,,1,,Costa Rica
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Costa Rica
950490 - Other,,0.00,0.00,2,,,,Costa Rica
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Costa Rica
950590 - Other,7,2.70,0.00,1,,1,,Costa Rica
950611 -- Skis,,3.70,0.00,4,,4,,Costa Rica
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Costa Rica
950619 -- Other,,2.70,0.00,1,,1,,Costa Rica
950621 -- Sailboards,,2.70,0.00,1,,1,,Costa Rica
950629 -- Other,861,2.70,0.00,1,,1,,Costa Rica
"950631 -- Clubs, complete",301,2.70,0.00,1,,1,,Costa Rica
950632 -- Balls,18,2.70,0.00,1,,1,,Costa Rica
950639 -- Other,148,2.70,0.00,2,,2,,Costa Rica
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Costa Rica
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Costa Rica
950659 -- Other,"4,709",2.70,0.00,1,,1,,Costa Rica
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Costa Rica
950662 -- Inflatable,,2.70,0.00,1,,1,,Costa Rica
950669 -- Other,109,1.35,0.00,2,,1,,Costa Rica
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Costa Rica
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","9,454",2.70,0.00,2,,2,,Costa Rica
950699 -- Other,"1,318",1.35,0.00,2,,1,,Costa Rica
950710 - Fishing rods,,3.70,0.00,1,,1,,Costa Rica
"950720 - Fish-hooks, whether or not snelled","1,585",2.70,0.00,2,,2,,Costa Rica
