Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
Brazil,"21,839,744",,,,,,,China
,2018,,1.36,1.36,25,,,,China
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,China
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,China
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,China
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,China
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,China
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,China
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,China
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,China
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,China
880330 - Other parts of aeroplanes or helicopters,,0.00,0.00,1,,,,China
880390 - Other,,0.00,0.00,1,,,,China
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,China
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,China
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,China
880529 - - Other,,0.00,0.00,1,,,,China
,2017,"17,885,462",1.36,1.36,25,,,,China
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,310",20.00,20.00,1,,,,China
"880211 - - Of an unladen weight not exceeding 2,000 kg","1,062,826",0.00,0.00,1,,,,China
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,China
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","7,861,177",0.00,0.00,4,,,,China
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,China
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,China
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,China
880310 - Propellers and rotors and parts thereof,"15,684",0.00,0.00,1,,,,China
880320 - Under-carriages and parts thereof,"1,054",0.00,0.00,1,,,,China
880330 - Other parts of aeroplanes or helicopters,"666,438",0.00,0.00,1,,,,China
880390 - Other,"8,276,973",0.00,0.00,1,,,,China
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,China
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,China
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,China
880529 - - Other,,0.00,0.00,1,,,,China
,2016,"2,599,186",1.36,1.36,25,,,,China
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,China
"880211 -- Of an unladen weight not exceeding 2,000 kg","392,412",0.00,0.00,1,,,,China
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,China
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","52,907",0.00,0.00,4,,,,China
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,China
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,China
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,China
880310 - Propellers and rotors and parts thereof,"2,561",0.00,0.00,1,,,,China
880320 - Under-carriages and parts thereof,60,0.00,0.00,1,,,,China
880330 - Other parts of aeroplanes or helicopters,"2,067,975",0.00,0.00,1,,,,China
880390 - Other,"35,399",0.00,0.00,1,,,,China
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,218,14.00,14.00,1,,,,China
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"1,640",0.00,0.00,1,,,,China
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,China
880529 -- Other,"46,014",0.00,0.00,1,,,,China
,2015,"271,374",1.36,1.36,25,,,,China
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","10,310",20.00,20.00,1,,,,China
"880211 -- Of an unladen weight not exceeding 2,000 kg","97,877",0.00,0.00,1,,,,China
"880212 -- Of an unladen weight exceeding 2,000 kg",999,0.00,0.00,2,,,,China
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","43,723",0.00,0.00,4,,,,China
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,China
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,China
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,China
880310 - Propellers and rotors and parts thereof,"1,735",0.00,0.00,1,,,,China
880320 - Under-carriages and parts thereof,"1,950",0.00,0.00,1,,,,China
880330 - Other parts of aeroplanes or helicopters,"68,817",0.00,0.00,1,,,,China
880390 - Other,"42,581",0.00,0.00,1,,,,China
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"3,382",14.00,14.00,1,,,,China
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,China
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,China
880529 -- Other,,0.00,0.00,1,,,,China
,2014,"109,783",1.36,1.36,25,,,,China
