Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
European Union,"17,727,378",,,,,,,Albania
,2018,,2.14,0.00,63,,41,,Albania
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.00,19,,8,,Albania
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Albania
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Albania
950440 - Playing cards,,2.70,0.00,1,,1,,Albania
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Albania
950490 - Other,,0.00,0.00,2,,,,Albania
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Albania
950590 - Other,,2.70,0.00,1,,1,,Albania
950611 - - Skis,,3.70,0.00,4,,4,,Albania
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Albania
950619 - - Other,,2.70,0.00,1,,1,,Albania
950621 - - Sailboards,,2.70,0.00,1,,1,,Albania
950629 - - Other,,2.70,0.00,1,,1,,Albania
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,Albania
950632 - - Balls,,2.70,0.00,1,,1,,Albania
950639 - - Other,,2.70,0.00,2,,2,,Albania
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Albania
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Albania
950659 - - Other,,2.70,0.00,1,,1,,Albania
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,Albania
950662 - - Inflatable,,2.70,0.00,1,,1,,Albania
950669 - - Other,,1.35,0.00,2,,1,,Albania
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Albania
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Albania
950699 - - Other,,1.35,0.00,2,,1,,Albania
