Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
European Union,"6,921,766,265",,,,,,,Brazil
,2018,,5.48,5.48,210,,,,Brazil
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,Brazil
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,Brazil
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,Brazil
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,6.50,1,,,,Brazil
390190 - Other,,3.25,3.25,2,,,,Brazil
390210 - Polypropylene,,6.50,6.50,1,,,,Brazil
390220 - Polyisobutylene,,6.50,6.50,1,,,,Brazil
390230 - Propylene copolymers,,6.50,6.50,1,,,,Brazil
390290 - Other,,2.17,2.17,3,,,,Brazil
390311 - - Expansible,,6.50,6.50,1,,,,Brazil
390319 - - Other,,6.50,6.50,1,,,,Brazil
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,Brazil
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,Brazil
390390 - Other,,2.17,2.17,3,,,,Brazil
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,Brazil
390421 - - Non-plasticised,,6.50,6.50,1,,,,Brazil
390422 - - Plasticised,,6.50,6.50,1,,,,Brazil
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,Brazil
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,Brazil
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,Brazil
390461 - - Polytetrafluoroethylene,,6.50,6.50,1,,,,Brazil
390469 - - Other,,4.33,4.33,3,,,,Brazil
390490 - Other,,6.50,6.50,1,,,,Brazil
390512 - - In aqueous dispersion,,6.50,6.50,1,,,,Brazil
390519 - - Other,,6.50,6.50,1,,,,Brazil
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,Brazil
390529 - - Other,,6.50,6.50,1,,,,Brazil
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,Brazil
390591 - - Copolymers,,6.50,6.50,1,,,,Brazil
390599 - - Other,,3.25,3.25,2,,,,Brazil
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,Brazil
