Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
,2014,"2,333,572,252",7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,271",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","13,825,686",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","33,077,252",10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","956,856",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","26,045,773",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","1,193,553,963",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"5,105,624",2.50,2.50,1,,,,United States of America
880320 - Under-carriages and parts thereof,"190,940",2.50,2.50,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"1,049,318,808",2.50,2.50,1,,,,United States of America
880390 - Other,"10,483,272",10.00,10.00,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"29,095",10.00,10.00,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"578,762",10.00,10.00,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"184,950",10.00,10.00,1,,,,United States of America
880529 -- Other,"220,000",10.00,10.00,1,,,,United States of America
,2013,"1,787,617,511",7.83,7.83,20,,,,United States of America
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,771",10.00,10.00,3,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","904,930",10.00,10.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,United States of America
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","14,067,244",3.00,3.00,1,,,,United States of America
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","21,967,701",3.00,3.00,1,,,,United States of America
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","862,234,337",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"4,315,523",2.50,2.50,1,,,,United States of America
880320 - Under-carriages and parts thereof,"692,194",2.50,2.50,1,,,,United States of America
880330 - Other parts of aeroplanes or helicopters,"861,451,065",2.50,2.50,1,,,,United States of America
880390 - Other,"20,059,215",10.00,10.00,1,,,,United States of America
