Importer,Year,Value,Ad val. duties,Number of lines,Viet Nam
,(US$),Simple average,MFN duties,Pref. duties,Viet Nam
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Viet Nam
European Union,"5,344,790,092",,,,,,,Viet Nam
,2018,,6.67,4.49,125,24,82,2,Viet Nam
080111 - - Desiccated,,0.00,0.00,1,,,,Viet Nam
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Viet Nam
080119 - - Other,,0.00,0.00,1,,,,Viet Nam
080121 - - In shell,,0.00,0.00,1,,,,Viet Nam
080122 - - Shelled,,0.00,0.00,1,,,,Viet Nam
080131 - - In shell,,0.00,0.00,1,,,,Viet Nam
080132 - - Shelled,,0.00,0.00,1,,,,Viet Nam
080211 - - In shell,,2.80,1.05,2,,1,,Viet Nam
080212 - - Shelled,,1.75,0.00,2,,1,,Viet Nam
080221 - - In shell,,3.20,0.00,1,,1,,Viet Nam
080222 - - Shelled,,3.20,0.00,1,,1,,Viet Nam
080231 - - In shell,,4.00,0.00,1,,1,,Viet Nam
080232 - - Shelled,,5.10,1.60,1,,1,,Viet Nam
080241 - - In shell,,5.60,2.10,1,,1,,Viet Nam
080242 - - Shelled,,5.60,2.10,1,,1,,Viet Nam
080251 - - In shell,,1.60,0.00,1,,1,,Viet Nam
080252 - - Shelled,,1.60,0.00,1,,1,,Viet Nam
080261 - - In shell,,2.00,0.00,1,,1,,Viet Nam
080262 - - Shelled,,2.00,0.00,1,,1,,Viet Nam
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Viet Nam
080280 - Areca nuts,,0.00,0.00,1,,,,Viet Nam
080290 - Other,,1.33,0.00,3,,2,,Viet Nam
080310 - Plantains,,16.00,12.50,2,,2,,Viet Nam
080390 - Other,,16.00,12.50,2,1,1,,Viet Nam
080410 - Dates,,7.70,4.20,1,,1,,Viet Nam
080420 - Figs,,6.80,3.30,2,,2,,Viet Nam
080430 - Pineapples,,5.80,2.30,1,,1,,Viet Nam
080440 - Avocados,,4.00,0.00,1,,1,,Viet Nam
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Viet Nam
080510 - Oranges,,16.00,16.00,4,3,,,Viet Nam
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Viet Nam
080522 - - Clementines,,,,1,1,,,Viet Nam
080529 - - Other,,,,1,1,,,Viet Nam
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Viet Nam
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,8.90,2,1,1,,Viet Nam
080590 - Other,,12.80,9.30,1,,1,,Viet Nam
080610 - Fresh,,14.40,9.45,2,1,2,,Viet Nam
080620 - Dried,,2.40,0.00,3,,3,,Viet Nam
080711 - - Watermelons,,8.80,5.30,1,,1,,Viet Nam
080719 - - Other,,8.80,5.30,1,,1,,Viet Nam
080720 - Papaws (papayas),,0.00,0.00,1,,,,Viet Nam
080810 - Apples,,,,2,2,,,Viet Nam
080830 - Pears,,,,2,2,,,Viet Nam
080840 - Quinces,,7.20,3.70,1,,1,,Viet Nam
080910 - Apricots,,,16.50,1,1,1,,Viet Nam
080921 - - Sour cherries (Prunus cerasus),,,8.50,1,1,1,,Viet Nam
080929 - - Other,,,8.50,1,1,1,,Viet Nam
"080930 - Peaches, including nectarines",,,14.10,2,2,2,,Viet Nam
080940 - Plums and sloes,,12.00,5.65,2,1,2,,Viet Nam
081010 - Strawberries,,11.20,7.70,1,,1,,Viet Nam
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,5.70,2,,2,,Viet Nam
"081030 - Black, white or red currants and gooseberries",,9.07,5.57,3,,3,,Viet Nam
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,1.53,4,,3,,Viet Nam
081050 - Kiwifruit,,8.80,5.30,1,,1,,Viet Nam
081060 - Durians,,8.80,5.30,1,,1,,Viet Nam
081070 - Persimmons,,8.80,5.30,1,,1,,Viet Nam
081090 - Other,,4.40,2.65,2,,1,,Viet Nam
081110 - Strawberries,,17.60,17.60,3,1,,,Viet Nam
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,Viet Nam
081190 - Other,,10.75,5.20,10,2,8,2,Viet Nam
081210 - Cherries,,8.80,5.30,1,,1,,Viet Nam
081290 - Other,,7.16,3.76,5,,5,,Viet Nam
081310 - Apricots,,5.60,2.10,1,,1,,Viet Nam
081320 - Prunes,,9.60,6.10,1,,1,,Viet Nam
081330 - Apples,,3.20,0.00,1,,1,,Viet Nam
081340 - Other fruit,,3.28,1.00,5,,4,,Viet Nam
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,3.01,7,,7,,Viet Nam
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Viet Nam
,2017,"976,552,215",6.67,4.49,125,24,82,2,Viet Nam
080111 - - Desiccated,"2,839,464",0.00,0.00,1,,,,Viet Nam
080112 - - In the inner shell (endocarp),"461,266",0.00,0.00,1,,,,Viet Nam
080119 - - Other,"2,120,536",0.00,0.00,1,,,,Viet Nam
080121 - - In shell,"568,167",0.00,0.00,1,,,,Viet Nam
080122 - - Shelled,54,0.00,0.00,1,,,,Viet Nam
080131 - - In shell,"1,656,055",0.00,0.00,1,,,,Viet Nam
080132 - - Shelled,"918,944,502",0.00,0.00,1,,,,Viet Nam
080211 - - In shell,"80,975",2.80,1.05,2,,1,,Viet Nam
080212 - - Shelled,"198,420",1.75,0.00,2,,1,,Viet Nam
080221 - - In shell,,3.20,0.00,1,,1,,Viet Nam
080222 - - Shelled,622,3.20,0.00,1,,1,,Viet Nam
080231 - - In shell,16,4.00,0.00,1,,1,,Viet Nam
080232 - - Shelled,"1,015,786",5.10,1.60,1,,1,,Viet Nam
080241 - - In shell,14,5.60,2.10,1,,1,,Viet Nam
080242 - - Shelled,251,5.60,2.10,1,,1,,Viet Nam
080251 - - In shell,85,1.60,0.00,1,,1,,Viet Nam
080252 - - Shelled,30,1.60,0.00,1,,1,,Viet Nam
080261 - - In shell,,2.00,0.00,1,,1,,Viet Nam
080262 - - Shelled,"1,388",2.00,0.00,1,,1,,Viet Nam
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Viet Nam
080280 - Areca nuts,"3,324",0.00,0.00,1,,,,Viet Nam
080290 - Other,"41,529",1.33,0.00,3,,2,,Viet Nam
080310 - Plantains,"10,646",16.00,12.50,2,,2,,Viet Nam
080390 - Other,"73,387",16.00,12.50,2,1,1,,Viet Nam
080410 - Dates,832,7.70,4.20,1,,1,,Viet Nam
080420 - Figs,322,6.80,3.30,2,,2,,Viet Nam
080430 - Pineapples,"213,281",5.80,2.30,1,,1,,Viet Nam
080440 - Avocados,"15,108",4.00,0.00,1,,1,,Viet Nam
"080450 - Guavas, mangoes and mangosteens","773,945",0.00,0.00,1,,,,Viet Nam
080510 - Oranges,"22,629",16.00,16.00,4,3,,,Viet Nam
080521 - - Mandarins (including tangerines and satsumas),734,,,2,2,,,Viet Nam
080522 - - Clementines,"1,993",,,1,1,,,Viet Nam
080529 - - Other,"2,075",,,1,1,,,Viet Nam
"080540 - Grapefruit, including pomelos","703,855",1.50,0.00,1,,1,,Viet Nam
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","6,662,239",12.80,8.90,2,1,1,,Viet Nam
080590 - Other,"4,732",12.80,9.30,1,,1,,Viet Nam
080610 - Fresh,"13,098",14.40,9.45,2,1,2,,Viet Nam
080620 - Dried,"1,396",2.40,0.00,3,,3,,Viet Nam
080711 - - Watermelons,"2,719",8.80,5.30,1,,1,,Viet Nam
080719 - - Other,"9,460",8.80,5.30,1,,1,,Viet Nam
080720 - Papaws (papayas),"53,681",0.00,0.00,1,,,,Viet Nam
080810 - Apples,"4,099",,,2,2,,,Viet Nam
080830 - Pears,"1,622",,,2,2,,,Viet Nam
080840 - Quinces,21,7.20,3.70,1,,1,,Viet Nam
080910 - Apricots,50,,16.50,1,1,1,,Viet Nam
080921 - - Sour cherries (Prunus cerasus),,,8.50,1,1,1,,Viet Nam
080929 - - Other,307,,8.50,1,1,1,,Viet Nam
"080930 - Peaches, including nectarines",391,,14.10,2,2,2,,Viet Nam
