Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
European Union,"22,972,867,382",,,,,,,Costa Rica
,2018,,6.67,0.00,125,24,89,3,Costa Rica
080111 - - Desiccated,,0.00,0.00,1,,,,Costa Rica
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Costa Rica
080119 - - Other,,0.00,0.00,1,,,,Costa Rica
080121 - - In shell,,0.00,0.00,1,,,,Costa Rica
080122 - - Shelled,,0.00,0.00,1,,,,Costa Rica
080131 - - In shell,,0.00,0.00,1,,,,Costa Rica
080132 - - Shelled,,0.00,0.00,1,,,,Costa Rica
080211 - - In shell,,2.80,0.00,2,,1,,Costa Rica
080212 - - Shelled,,1.75,0.00,2,,1,,Costa Rica
080221 - - In shell,,3.20,0.00,1,,1,,Costa Rica
080222 - - Shelled,,3.20,0.00,1,,1,,Costa Rica
080231 - - In shell,,4.00,0.00,1,,1,,Costa Rica
080232 - - Shelled,,5.10,0.00,1,,1,,Costa Rica
080241 - - In shell,,5.60,0.00,1,,1,,Costa Rica
080242 - - Shelled,,5.60,0.00,1,,1,,Costa Rica
080251 - - In shell,,1.60,0.00,1,,1,,Costa Rica
080252 - - Shelled,,1.60,0.00,1,,1,,Costa Rica
080261 - - In shell,,2.00,0.00,1,,1,,Costa Rica
080262 - - Shelled,,2.00,0.00,1,,1,,Costa Rica
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Costa Rica
080280 - Areca nuts,,0.00,0.00,1,,,,Costa Rica
080290 - Other,,1.33,0.00,3,,2,,Costa Rica
080310 - Plantains,,16.00,0.00,2,,2,,Costa Rica
080390 - Other,,16.00,0.00,2,1,2,1,Costa Rica
080410 - Dates,,7.70,0.00,1,,1,,Costa Rica
080420 - Figs,,6.80,0.00,2,,2,,Costa Rica
080430 - Pineapples,,5.80,0.00,1,,1,,Costa Rica
080440 - Avocados,,4.00,0.00,1,,1,,Costa Rica
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Costa Rica
080510 - Oranges,,16.00,0.00,4,3,1,,Costa Rica
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Costa Rica
080522 - - Clementines,,,,1,1,,,Costa Rica
080529 - - Other,,,,1,1,,,Costa Rica
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Costa Rica
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,Costa Rica
080590 - Other,,12.80,0.00,1,,1,,Costa Rica
080610 - Fresh,,14.40,0.00,2,1,1,,Costa Rica
080620 - Dried,,2.40,0.00,3,,3,,Costa Rica
080711 - - Watermelons,,8.80,0.00,1,,1,,Costa Rica
080719 - - Other,,8.80,0.00,1,,1,,Costa Rica
080720 - Papaws (papayas),,0.00,0.00,1,,,,Costa Rica
080810 - Apples,,,,2,2,,,Costa Rica
080830 - Pears,,,,2,2,,,Costa Rica
080840 - Quinces,,7.20,0.00,1,,1,,Costa Rica
080910 - Apricots,,,,1,1,,,Costa Rica
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Costa Rica
080929 - - Other,,,,1,1,,,Costa Rica
"080930 - Peaches, including nectarines",,,0.00,2,2,1,,Costa Rica
080940 - Plums and sloes,,12.00,0.00,2,1,1,,Costa Rica
081010 - Strawberries,,11.20,0.00,1,,1,,Costa Rica
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Costa Rica
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Costa Rica
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Costa Rica
081050 - Kiwifruit,,8.80,0.00,1,,1,,Costa Rica
081060 - Durians,,8.80,0.00,1,,1,,Costa Rica
081070 - Persimmons,,8.80,0.00,1,,1,,Costa Rica
081090 - Other,,4.40,0.00,2,,1,,Costa Rica
081110 - Strawberries,,17.60,0.00,3,1,3,1,Costa Rica
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,1,Costa Rica
081190 - Other,,10.75,0.00,10,2,8,,Costa Rica
081210 - Cherries,,8.80,0.00,1,,1,,Costa Rica
081290 - Other,,7.16,0.00,5,,5,,Costa Rica
081310 - Apricots,,5.60,0.00,1,,1,,Costa Rica
081320 - Prunes,,9.60,0.00,1,,1,,Costa Rica
081330 - Apples,,3.20,0.00,1,,1,,Costa Rica
081340 - Other fruit,,3.28,0.00,5,,4,,Costa Rica
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Costa Rica
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Costa Rica
,2017,"1,621,032,743",6.67,0.00,125,24,89,3,Costa Rica
080111 - - Desiccated,"82,716",0.00,0.00,1,,,,Costa Rica
080112 - - In the inner shell (endocarp),"9,785",0.00,0.00,1,,,,Costa Rica
080119 - - Other,"805,493",0.00,0.00,1,,,,Costa Rica
080121 - - In shell,,0.00,0.00,1,,,,Costa Rica
080122 - - Shelled,26,0.00,0.00,1,,,,Costa Rica
080131 - - In shell,,0.00,0.00,1,,,,Costa Rica
080132 - - Shelled,"1,749",0.00,0.00,1,,,,Costa Rica
080211 - - In shell,39,2.80,0.00,2,,1,,Costa Rica
080212 - - Shelled,113,1.75,0.00,2,,1,,Costa Rica
080221 - - In shell,,3.20,0.00,1,,1,,Costa Rica
080222 - - Shelled,293,3.20,0.00,1,,1,,Costa Rica
080231 - - In shell,,4.00,0.00,1,,1,,Costa Rica
080232 - - Shelled,136,5.10,0.00,1,,1,,Costa Rica
080241 - - In shell,7,5.60,0.00,1,,1,,Costa Rica
080242 - - Shelled,130,5.60,0.00,1,,1,,Costa Rica
080251 - - In shell,35,1.60,0.00,1,,1,,Costa Rica
080252 - - Shelled,17,1.60,0.00,1,,1,,Costa Rica
080261 - - In shell,,2.00,0.00,1,,1,,Costa Rica
080262 - - Shelled,207,2.00,0.00,1,,1,,Costa Rica
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Costa Rica
080280 - Areca nuts,,0.00,0.00,1,,,,Costa Rica
080290 - Other,418,1.33,0.00,3,,2,,Costa Rica
080310 - Plantains,"174,807",16.00,0.00,2,,2,,Costa Rica
080390 - Other,"838,651,147",16.00,0.00,2,1,2,1,Costa Rica
080410 - Dates,332,7.70,0.00,1,,1,,Costa Rica
080420 - Figs,150,6.80,0.00,2,,2,,Costa Rica
080430 - Pineapples,"668,478,248",5.80,0.00,1,,1,,Costa Rica
080440 - Avocados,"12,916",4.00,0.00,1,,1,,Costa Rica
"080450 - Guavas, mangoes and mangosteens","4,615,582",0.00,0.00,1,,,,Costa Rica
080510 - Oranges,"44,484",16.00,0.00,4,3,1,,Costa Rica
080521 - - Mandarins (including tangerines and satsumas),"24,854",,,2,2,,,Costa Rica
080522 - - Clementines,645,,,1,1,,,Costa Rica
080529 - - Other,"26,388",,,1,1,,,Costa Rica
"080540 - Grapefruit, including pomelos","3,838",1.50,0.00,1,,1,,Costa Rica
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","3,261",12.80,0.00,2,1,1,,Costa Rica
080590 - Other,63,12.80,0.00,1,,1,,Costa Rica
080610 - Fresh,"4,589",14.40,0.00,2,1,1,,Costa Rica
080620 - Dried,712,2.40,0.00,3,,3,,Costa Rica
080711 - - Watermelons,"36,130,464",8.80,0.00,1,,1,,Costa Rica
080719 - - Other,"48,854,389",8.80,0.00,1,,1,,Costa Rica
080720 - Papaws (papayas),"1,182,738",0.00,0.00,1,,,,Costa Rica
080810 - Apples,"1,084",,,2,2,,,Costa Rica
080830 - Pears,441,,,2,2,,,Costa Rica
080840 - Quinces,11,7.20,0.00,1,,1,,Costa Rica
080910 - Apricots,14,,,1,1,,,Costa Rica
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Costa Rica
080929 - - Other,79,,,1,1,,,Costa Rica
"080930 - Peaches, including nectarines",145,,0.00,2,2,1,,Costa Rica
080940 - Plums and sloes,579,12.00,0.00,2,1,1,,Costa Rica
081010 - Strawberries,11,11.20,0.00,1,,1,,Costa Rica
"081020 - Raspberries, blackberries, mulberries and loganberries",76,9.20,0.00,2,,2,,Costa Rica
"081030 - Black, white or red currants and gooseberries",18,9.07,0.00,3,,3,,Costa Rica
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","3,037",4.00,0.00,4,,3,,Costa Rica
081050 - Kiwifruit,313,8.80,0.00,1,,1,,Costa Rica
081060 - Durians,1,8.80,0.00,1,,1,,Costa Rica
081070 - Persimmons,,8.80,0.00,1,,1,,Costa Rica
081090 - Other,"33,726",4.40,0.00,2,,1,,Costa Rica
081110 - Strawberries,451,17.60,0.00,3,1,3,1,Costa Rica
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",339,14.67,0.00,7,1,7,1,Costa Rica
081190 - Other,"21,881,116",10.75,0.00,10,2,8,,Costa Rica
081210 - Cherries,,8.80,0.00,1,,1,,Costa Rica
081290 - Other,243,7.16,0.00,5,,5,,Costa Rica
081310 - Apricots,52,5.60,0.00,1,,1,,Costa Rica
081320 - Prunes,117,9.60,0.00,1,,1,,Costa Rica
081330 - Apples,3,3.20,0.00,1,,1,,Costa Rica
081340 - Other fruit,110,3.28,0.00,5,,4,,Costa Rica
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Costa Rica
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",5,1.60,0.00,1,,1,,Costa Rica
,2016,"1,432,563,051",6.67,0.00,124,23,89,3,Costa Rica
080111 -- Desiccated,"52,350",0.00,0.00,1,,,,Costa Rica
080112 -- In the inner shell (endocarp),"55,795",0.00,0.00,1,,,,Costa Rica
080119 -- Other,"806,567",0.00,0.00,1,,,,Costa Rica
080121 -- In shell,,0.00,0.00,1,,,,Costa Rica
080122 -- Shelled,,0.00,0.00,1,,,,Costa Rica
080131 -- In shell,,0.00,0.00,1,,,,Costa Rica
080132 -- Shelled,,0.00,0.00,1,,,,Costa Rica
080211 -- In shell,,2.80,0.00,2,,1,,Costa Rica
080212 -- Shelled,,1.75,0.00,2,,1,,Costa Rica
080221 -- In shell,,3.20,0.00,1,,1,,Costa Rica
080222 -- Shelled,,3.20,0.00,1,,1,,Costa Rica
080231 -- In shell,,4.00,0.00,1,,1,,Costa Rica
080232 -- Shelled,,5.10,0.00,1,,1,,Costa Rica
080241 -- In shell,,5.60,0.00,1,,1,,Costa Rica
080242 -- Shelled,,5.60,0.00,1,,1,,Costa Rica
080251 -- In shell,,1.60,0.00,1,,1,,Costa Rica
080252 -- Shelled,,1.60,0.00,1,,1,,Costa Rica
080261 -- In shell,,2.00,0.00,1,,1,,Costa Rica
080262 -- Shelled,,2.00,0.00,1,,1,,Costa Rica
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Costa Rica
080280 - Areca nuts,,0.00,0.00,1,,,,Costa Rica
080290 - Other,,1.33,0.00,3,,2,,Costa Rica
080310 - Plantains,"60,789",16.00,0.00,2,,2,,Costa Rica
080390 - Other,"732,211,404",16.00,0.00,2,1,2,1,Costa Rica
080410 - Dates,"22,174",7.70,0.00,1,,1,,Costa Rica
080420 - Figs,,6.80,0.00,2,,2,,Costa Rica
080430 - Pineapples,"595,904,604",5.80,0.00,1,,1,,Costa Rica
080440 - Avocados,,4.00,0.00,1,,1,,Costa Rica
"080450 - Guavas, mangoes and mangosteens","3,570,629",0.00,0.00,1,,,,Costa Rica
080510 - Oranges,"364,682",16.00,0.00,2,1,1,,Costa Rica
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","17,943",,,5,5,,,Costa Rica
"080540 - Grapefruit, including pomelos","21,289",1.50,0.00,1,,1,,Costa Rica
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","60,500",12.80,0.00,2,1,1,,Costa Rica
080590 - Other,,12.80,0.00,1,,1,,Costa Rica
080610 - Fresh,,14.40,0.00,2,1,1,,Costa Rica
080620 - Dried,,2.40,0.00,3,,3,,Costa Rica
080711 -- Watermelons,"26,870,675",8.80,0.00,1,,1,,Costa Rica
080719 -- Other,"54,122,036",8.80,0.00,1,,1,,Costa Rica
080720 - Papaws (papayas),"969,247",0.00,0.00,1,,,,Costa Rica
080810 - Apples,"23,770",,,2,2,,,Costa Rica
080830 - Pears,,,,2,2,,,Costa Rica
080840 - Quinces,,7.20,0.00,1,,1,,Costa Rica
080910 - Apricots,,,,1,1,,,Costa Rica
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Costa Rica
080929 -- Other,,,,1,1,,,Costa Rica
"080930 - Peaches, including nectarines",,,0.00,2,2,1,,Costa Rica
080940 - Plums and sloes,,12.00,0.00,2,1,1,,Costa Rica
081010 - Strawberries,,11.20,0.00,1,,1,,Costa Rica
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Costa Rica
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Costa Rica
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Costa Rica
081050 - Kiwifruit,"52,269",8.80,0.00,1,,1,,Costa Rica
081060 - Durians,,8.80,0.00,1,,1,,Costa Rica
081070 - Persimmons,,8.80,0.00,1,,1,,Costa Rica
081090 - Other,"96,304",4.40,0.00,2,,1,,Costa Rica
081110 - Strawberries,"22,098",17.60,0.00,3,1,3,1,Costa Rica
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,1,Costa Rica
081190 - Other,"17,254,919",10.75,0.00,10,2,8,,Costa Rica
081210 - Cherries,,8.80,0.00,1,,1,,Costa Rica
081290 - Other,433,7.16,0.00,5,,5,,Costa Rica
081310 - Apricots,,5.60,0.00,1,,1,,Costa Rica
081320 - Prunes,,9.60,0.00,1,,1,,Costa Rica
081330 - Apples,618,3.20,0.00,1,,1,,Costa Rica
081340 - Other fruit,"1,958",3.28,0.00,5,,4,,Costa Rica
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Costa Rica
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Costa Rica
,2015,"1,329,612,047",6.67,0.00,124,23,94,3,Costa Rica
080111 -- Desiccated,"34,354",0.00,0.00,1,,,,Costa Rica
080112 -- In the inner shell (endocarp),"22,571",0.00,0.00,1,,,,Costa Rica
080119 -- Other,"782,502",0.00,0.00,1,,,,Costa Rica
080121 -- In shell,,0.00,0.00,1,,,,Costa Rica
080122 -- Shelled,,0.00,0.00,1,,,,Costa Rica
080131 -- In shell,,0.00,0.00,1,,,,Costa Rica
080132 -- Shelled,22,0.00,0.00,1,,,,Costa Rica
080211 -- In shell,,2.80,0.00,2,,1,,Costa Rica
080212 -- Shelled,,1.75,0.00,2,,1,,Costa Rica
080221 -- In shell,,3.20,0.00,1,,1,,Costa Rica
080222 -- Shelled,,3.20,0.00,1,,1,,Costa Rica
080231 -- In shell,,4.00,0.00,1,,1,,Costa Rica
080232 -- Shelled,,5.10,0.00,1,,1,,Costa Rica
080241 -- In shell,,5.60,0.00,1,,1,,Costa Rica
080242 -- Shelled,,5.60,0.00,1,,1,,Costa Rica
080251 -- In shell,,1.60,0.00,1,,1,,Costa Rica
080252 -- Shelled,,1.60,0.00,1,,1,,Costa Rica
080261 -- In shell,,2.00,0.00,1,,1,,Costa Rica
080262 -- Shelled,77,2.00,0.00,1,,1,,Costa Rica
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Costa Rica
080280 - Areca nuts,,0.00,0.00,1,,,,Costa Rica
080290 - Other,495,1.33,0.00,3,,2,,Costa Rica
080310 - Plantains,"587,858",16.00,0.00,2,,2,,Costa Rica
080390 - Other,"635,914,116",16.00,0.00,2,1,2,1,Costa Rica
080410 - Dates,,7.70,0.00,1,,1,,Costa Rica
080420 - Figs,,6.80,0.00,2,,2,,Costa Rica
080430 - Pineapples,"592,948,894",5.80,0.00,1,,1,,Costa Rica
080440 - Avocados,"99,845",4.00,0.00,1,,1,,Costa Rica
"080450 - Guavas, mangoes and mangosteens","5,856,090",0.00,0.00,1,,,,Costa Rica
080510 - Oranges,"427,752",16.00,0.00,2,1,1,,Costa Rica
