Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"256,623,264,418",,,,,,,China
,2018,,2.14,2.14,63,,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,1.98,19,,,,China
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,China
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,China
950440 - Playing cards,,2.70,2.70,1,,,,China
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,China
950490 - Other,,0.00,0.00,2,,,,China
950510 - Articles for Christmas festivities,,1.35,1.35,2,,,,China
950590 - Other,,2.70,2.70,1,,,,China
950611 - - Skis,,3.70,3.70,4,,,,China
950612 - - Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,China
950619 - - Other,,2.70,2.70,1,,,,China
950621 - - Sailboards,,2.70,2.70,1,,,,China
950629 - - Other,,2.70,2.70,1,,,,China
"950631 - - Clubs, complete",,2.70,2.70,1,,,,China
950632 - - Balls,,2.70,2.70,1,,,,China
950639 - - Other,,2.70,2.70,2,,,,China
950640 - Articles and equipment for table-tennis,,2.70,2.70,1,,,,China
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,China
950659 - - Other,,2.70,2.70,1,,,,China
950661 - - Lawn-tennis balls,,2.70,2.70,1,,,,China
950662 - - Inflatable,,2.70,2.70,1,,,,China
950669 - - Other,,1.35,1.35,2,,,,China
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,China
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,2.70,2,,,,China
950699 - - Other,,1.35,1.35,2,,,,China
950710 - Fishing rods,,3.70,3.70,1,,,,China
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,China
950730 - Fishing reels,,3.70,3.70,1,,,,China
950790 - Other,,3.70,3.70,1,,,,China
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,China
950890 - Other,,1.70,1.70,1,,,,China
,2017,"16,757,260,555",2.14,2.14,63,,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","7,131,737,312",1.98,1.98,19,,,,China
950420 - Articles and accessories for billiards of all kinds,"24,719,675",0.00,0.00,1,,,,China
