Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"1,058,840,213",,,,,,,India
,2018,,2.75,2.75,23,,20,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,2,,India
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,1,,India
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,3.50,3,,3,,India
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,1,,India
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,1,,India
880390 - Other,,1.56,1.56,5,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,2,,India
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,India
880529 - - Other,,0.00,0.00,1,,,,India
,2017,"273,681,904",2.80,2.80,23,,20,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","28,042",3.20,3.20,2,,2,,India
"880211 - - Of an unladen weight not exceeding 2,000 kg","2,063,533",7.50,7.50,1,,1,,India
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",3,7.70,7.70,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",28,2.70,2.70,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","199,065,559",2.70,2.70,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,3.87,3,,3,,India
880310 - Propellers and rotors and parts thereof,"533,943",2.70,2.70,1,,1,,India
880320 - Under-carriages and parts thereof,"13,299,171",2.70,2.70,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,"57,046,119",2.70,2.70,1,,1,,India
880390 - Other,"1,408,540",1.56,1.56,5,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"79,499",2.70,2.70,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"4,453",2.20,2.20,2,,2,,India
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,India
880529 - - Other,"153,013",0.00,0.00,1,,,,India
,2016,"103,518,813",3.07,3.07,21,,21,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","16,352",3.20,3.20,2,,2,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,1,,India
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,2,,India
880310 - Propellers and rotors and parts thereof,"757,921",2.70,2.70,1,,1,,India
880320 - Under-carriages and parts thereof,"9,922,381",2.70,2.70,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,"92,268,051",2.70,2.70,1,,1,,India
880390 - Other,"461,168",1.95,1.95,4,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"86,122",2.70,2.70,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,2,,India
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,1,,India
880529 -- Other,"6,818",1.70,1.70,1,,1,,India
,2015,"91,570,377",3.07,3.07,21,,21,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","94,388",3.20,3.20,2,,2,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,1,,India
"880212 -- Of an unladen weight exceeding 2,000 kg","4,042,869",2.70,2.70,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,2,,India
880310 - Propellers and rotors and parts thereof,"101,044",2.70,2.70,1,,1,,India
880320 - Under-carriages and parts thereof,"914,461",2.70,2.70,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,"83,805,777",2.70,2.70,1,,1,,India
880390 - Other,"2,537,590",1.95,1.95,4,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"22,916",2.70,2.70,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,2,,India
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,1,,India
880529 -- Other,"51,332",1.70,1.70,1,,1,,India
,2014,"97,720,923",3.07,3.07,21,,21,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","98,770",3.20,3.20,2,,2,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,1,,India
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","3,488,625",2.70,2.70,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","51,995,670",2.70,2.70,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,2,,India
880310 - Propellers and rotors and parts thereof,"34,329",2.70,2.70,1,,1,,India
880320 - Under-carriages and parts thereof,"1,337,886",2.70,2.70,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,"39,691,706",2.70,2.70,1,,1,,India
880390 - Other,"684,746",1.95,1.95,4,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"63,561",2.70,2.70,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,2,,India
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,1,,India
880529 -- Other,"325,628",1.70,1.70,1,,1,,India
,2013,"40,785,784",3.07,0.00,21,,21,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","94,509",3.20,0.00,2,,2,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,India
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,India
880310 - Propellers and rotors and parts thereof,"635,033",2.70,0.00,1,,1,,India
880320 - Under-carriages and parts thereof,"3,205,564",2.70,0.00,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,"36,360,412",2.70,0.00,1,,1,,India
880390 - Other,"302,377",1.95,0.00,4,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"64,741",2.70,0.00,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,India
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,India
880529 -- Other,"123,147",1.70,0.00,1,,1,,India
,2012,"72,779,447",3.07,0.00,21,,21,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","108,895",3.20,0.00,2,,2,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,India
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","43,195,039",2.70,0.00,1,,1,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,India
880310 - Propellers and rotors and parts thereof,"1,394,473",2.70,0.00,1,,1,,India
880320 - Under-carriages and parts thereof,"2,560,154",2.70,0.00,1,,1,,India
880330 - Other parts of aeroplanes or helicopters,"25,283,753",2.70,0.00,1,,1,,India
880390 - Other,"131,684",1.95,0.00,4,,4,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"30,476",2.70,0.00,1,,1,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"10,784",2.20,0.00,2,,2,,India
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,India
880529 -- Other,"64,190",1.70,0.00,1,,1,,India
,2011,"63,661,143",3.07,0.00,21,,21,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","65,466",3.20,0.00,2,,2,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,India
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,India
