Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
851511 -- Soldering irons and guns,,5.00,5.00,1,,,,Nepal
851519 -- Other,,5.00,5.00,1,,,,Nepal
851521 -- Fully or partly automatic,,5.00,5.00,1,,,,Nepal
851529 -- Other,,5.00,5.00,1,,,,Nepal
851531 -- Fully or partly automatic,,5.00,5.00,1,,,,Nepal
851539 -- Other,,5.00,5.00,1,,,,Nepal
851580 - Other machines and apparatus,,5.00,5.00,3,,,,Nepal
851590 - Parts,,5.00,5.00,3,,,,Nepal
851610 - Electric instantaneous or storage water heaters and immersion heaters,,5.00,5.00,1,,,,Nepal
851621 -- Storage heating radiators,,5.00,5.00,1,,,,Nepal
851629 -- Other,,5.00,5.00,1,,,,Nepal
851631 -- Hair dryers,,5.00,5.00,1,,,,Nepal
851632 -- Other hair-dressing apparatus,,5.00,5.00,1,,,,Nepal
851633 -- Hand-drying apparatus,,5.00,5.00,1,,,,Nepal
851640 - Electric smoothing irons,,5.00,5.00,1,,,,Nepal
851650 -Microwave ovens,,5.00,5.00,1,,,,Nepal
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,5.00,5.00,1,,,,Nepal
851671 -- Coffee or tea makers,,5.00,5.00,1,,,,Nepal
851672 -- Toasters,,5.00,5.00,1,,,,Nepal
851679 -- Other,,5.00,5.00,1,,,,Nepal
851680 - Electric heating resistors,,5.00,5.00,1,,,,Nepal
851690 - Parts,,5.00,5.00,1,,,,Nepal
851711 -- Line telephone sets with cordless handsets,,5.00,5.00,1,,,,Nepal
851712 -- Telephones for cellular networks or for other wireless networks,,5.00,5.00,1,,,,Nepal
851718 -- Other,,5.00,5.00,1,,,,Nepal
851761 -- Base stations,,5.00,5.00,1,,,,Nepal
"851762 -- Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,5.00,5.00,1,,,,Nepal
851769 -- Other,,5.00,5.00,1,,,,Nepal
851770 - Parts,,5.00,5.00,1,,,,Nepal
851810 -Microphones and stands therefor,,5.00,5.00,1,,,,Nepal
"851821 -- Single loudspeakers, mounted in their enclosures",,5.00,5.00,1,,,,Nepal
"851822 -- Multiple loudspeakers, mounted in the same enclosure",,5.00,5.00,1,,,,Nepal
851829 -- Other,,5.00,5.00,1,,,,Nepal
"851830 - Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",,5.00,5.00,1,,,,Nepal
851840 - Audio-frequency electric amplifiers,,5.00,5.00,1,,,,Nepal
851850 - Electric sound amplifier sets,,5.00,5.00,1,,,,Nepal
851890 - Parts,,5.00,5.00,2,,,,Nepal
"851920 - Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment",,5.00,5.00,1,,,,Nepal
851930 -Turntables (record-decks),,5.00,5.00,1,,,,Nepal
851950 -Telephone answering machines,,5.00,5.00,1,,,,Nepal
"851981 -- Using magnetic, optical or semiconductor media",,5.00,5.00,1,,,,Nepal
851989 -- Other,,5.00,5.00,1,,,,Nepal
852110 -Magnetic tape-type,,5.00,5.00,1,,,,Nepal
852190 - Other,,5.00,5.00,1,,,,Nepal
852210 - Pick-up cartridges,,5.00,5.00,1,,,,Nepal
852290 - Other,,5.00,5.00,2,,,,Nepal
852321 -- Cards incorporating a magnetic stripe,,5.00,5.00,1,,,,Nepal
852329 -- Other,,5.00,5.00,1,,,,Nepal
852341 -- Unrecorded,,5.00,5.00,1,,,,Nepal
852349 -- Other,,5.00,5.00,1,,,,Nepal
