Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
Yemen,0,,,,,,,Albania
,2016,,9.40,9.40,126,,,,Albania
870110 - Pedestrian controlled tractors,,5.00,5.00,2,,,,Albania
870120 - Road tractors for semi-trailers,,15.00,15.00,3,,,,Albania
870130 -Track-laying tractors,,5.00,5.00,1,,,,Albania
870190 - Other,,5.00,5.00,2,,,,Albania
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),,15.00,15.00,3,,,,Albania
870290 - Other,,15.00,15.00,3,,,,Albania
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,15.00,15.00,3,,,,Albania
"870321 -- Of a cylinder capacity not exceeding 1,000 cc",,15.00,15.00,3,,,,Albania
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,15.00,15.00,3,,,,Albania
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,15.00,15.00,3,,,,Albania
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,15.00,15.00,3,,,,Albania
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,15.00,15.00,3,,,,Albania
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,15.00,15.00,3,,,,Albania
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,15.00,15.00,3,,,,Albania
870390 - Other,,15.00,15.00,3,,,,Albania
870410 - Dumpers designed for off-highway use,,15.00,15.00,3,,,,Albania
870421 -- g.v.w. not exceeding 5 tonnes,,15.00,15.00,3,,,,Albania
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.00,15.00,3,,,,Albania
870423 -- g.v.w. exceeding 20 tonnes,,15.00,15.00,3,,,,Albania
870431 -- g.v.w. not exceeding 5 tonnes,,15.00,15.00,3,,,,Albania
870432 -- g.v.w. exceeding 5 tonnes,,15.00,15.00,3,,,,Albania
870490 - Other,,15.00,15.00,3,,,,Albania
870510 - Crane lorries,,5.00,5.00,1,,,,Albania
870520 -Mobile drilling derricks,,5.00,5.00,1,,,,Albania
870530 - Fire fighting vehicles,,5.00,5.00,1,,,,Albania
870540 - Concrete-mixer lorries,,5.00,5.00,1,,,,Albania
870590 - Other,,5.00,5.00,1,,,,Albania
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,5.00,5.00,1,,,,Albania
870710 - For the vehicles of heading 87.03,,5.00,5.00,1,,,,Albania
870790 - Other,,5.00,5.00,1,,,,Albania
870810 - Bumpers and parts thereof,,5.00,5.00,1,,,,Albania
870821 -- Safety seat belts,,5.00,5.00,1,,,,Albania
870829 -- Other,,5.00,5.00,1,,,,Albania
870830 - Brakes and servo-brakes; parts thereof,,5.00,5.00,1,,,,Albania
870840 - Gear boxes and parts thereof,,5.00,5.00,1,,,,Albania
