Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
Yemen,0,,,,,,,Nepal
,2016,,20.43,20.43,69,,,,Nepal
080111 -- Desiccated,,10.00,10.00,1,,,,Nepal
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,Nepal
080119 -- Other,,10.00,10.00,1,,,,Nepal
080121 -- In shell,,10.00,10.00,1,,,,Nepal
080122 -- Shelled,,10.00,10.00,1,,,,Nepal
080131 -- In shell,,10.00,10.00,1,,,,Nepal
080132 -- Shelled,,10.00,10.00,1,,,,Nepal
080211 -- In shell,,25.00,25.00,1,,,,Nepal
080212 -- Shelled,,25.00,25.00,1,,,,Nepal
080221 -- In shell,,10.00,10.00,1,,,,Nepal
080222 -- Shelled,,10.00,10.00,1,,,,Nepal
080231 -- In shell,,25.00,25.00,1,,,,Nepal
080232 -- Shelled,,25.00,25.00,1,,,,Nepal
080241 -- In shell,,10.00,10.00,1,,,,Nepal
080242 -- Shelled,,10.00,10.00,1,,,,Nepal
080251 -- In shell,,10.00,10.00,1,,,,Nepal
080252 -- Shelled,,10.00,10.00,1,,,,Nepal
080261 -- In shell,,10.00,10.00,1,,,,Nepal
080262 -- Shelled,,10.00,10.00,1,,,,Nepal
080270 - Kola nuts (Cola spp.),,10.00,10.00,1,,,,Nepal
080280 - Areca nuts,,10.00,10.00,1,,,,Nepal
080290 - Other,,10.00,10.00,1,,,,Nepal
080310 - Plantains,,25.00,25.00,1,,,,Nepal
080390 - Other,,25.00,25.00,1,,,,Nepal
080410 - Dates,,25.00,25.00,1,,,,Nepal
080420 - Figs,,25.00,25.00,1,,,,Nepal
080430 - Pineapples,,10.00,10.00,1,,,,Nepal
080440 - Avocados,,25.00,25.00,1,,,,Nepal
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,Nepal
080510 - Oranges,,25.00,25.00,1,,,,Nepal
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,Nepal
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,Nepal
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,Nepal
080590 - Other,,25.00,25.00,1,,,,Nepal
080610 - Fresh,,25.00,25.00,1,,,,Nepal
080620 - Dried,,25.00,25.00,1,,,,Nepal
080711 -- Watermelons,,25.00,25.00,1,,,,Nepal
080719 -- Other,,25.00,25.00,1,,,,Nepal
080720 - Papaws (papayas),,25.00,25.00,1,,,,Nepal
080810 - Apples,,25.00,25.00,1,,,,Nepal
080830 - Pears,,25.00,25.00,1,,,,Nepal
080840 - Quinces,,25.00,25.00,1,,,,Nepal
080910 - Apricots,,25.00,25.00,1,,,,Nepal
080921 -- Sour cherries (Prunus cerasus),,25.00,25.00,1,,,,Nepal
080929 -- Other,,25.00,25.00,1,,,,Nepal
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,Nepal
