Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
854590 - Other,,5.00,5.00,1,,,,India
854610 - Of glass,,5.00,5.00,1,,,,India
854620 - Of ceramics,,5.00,5.00,1,,,,India
854690 - Other,,5.00,5.00,1,,,,India
854710 - Insulating fittings of ceramics,,5.00,5.00,1,,,,India
854720 - Insulating fittings of plastics,,5.00,5.00,1,,,,India
854790 - Other,,5.00,5.00,1,,,,India
"854810 -Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators",,5.00,5.00,2,,,,India
854890 - Other,,5.00,5.00,1,,,,India
,2015,,5.07,5.07,286,,,,India
850110 -Motors of an output not exceeding 37.5 W,,5.00,5.00,1,,,,India
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,5.00,5.00,1,,,,India
850131 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,India
850132 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,India
850133 -- Of an output exceeding 75 kW but not exceeding 375 kW,,5.00,5.00,1,,,,India
850134 -- Of an output exceeding 375 kW,,5.00,5.00,2,,,,India
"850140 - Other AC motors, single-phase",,5.00,5.00,1,,,,India
850151 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,India
850152 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,India
850153 -- Of an output exceeding 75 kW,,5.00,5.00,2,,,,India
850161 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,India
850162 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,India
850163 -- Of an output exceeding 375 kVA but not exceeding 750 kVA,,5.00,5.00,1,,,,India
850164 -- Of an output exceeding 750 kVA,,5.00,5.00,1,,,,India
850211 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,India
850212 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,India
850213 -- Of an output exceeding 375 kVA,,5.00,5.00,2,,,,India
850220 - Generating sets with spark-ignition internal combustion piston engines,,5.00,5.00,2,,,,India
850231 -- Wind-powered,,5.00,5.00,2,,,,India
850239 -- Other,,5.00,5.00,2,,,,India
850240 - Electric rotary converters,,5.00,5.00,1,,,,India
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,5.00,5.00,2,,,,India
850410 - Ballasts for discharge lamps or tubes,,5.00,5.00,1,,,,India
850421 -- Having a power handling capacity not exceeding 650 kVA,,5.00,5.00,1,,,,India
"850422 -- Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,5.00,5.00,2,,,,India
"850423 -- Having a power handling capacity exceeding 10,000 kVA",,5.00,5.00,1,,,,India
850431 -- Having a power handling capacity not exceeding 1 kVA,,5.00,5.00,1,,,,India
850432 -- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,5.00,5.00,1,,,,India
850433 -- Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,5.00,5.00,1,,,,India
850434 -- Having a power handling capacity exceeding 500 kVA,,5.00,5.00,2,,,,India
850440 - Static converters,,5.00,5.00,1,,,,India
850450 - Other inductors,,5.00,5.00,1,,,,India
850490 - Parts,,5.00,5.00,2,,,,India
850511 -- Of metal,,5.00,5.00,1,,,,India
850519 -- Other,,5.00,5.00,1,,,,India
"850520 - Electro-magnetic couplings, clutches and brakes",,5.00,5.00,1,,,,India
"850590 - Other, including parts",,5.00,5.00,1,,,,India
850610 -Manganese dioxide,,5.00,5.00,1,,,,India
850630 -Mercuric oxide,,5.00,5.00,1,,,,India
850640 - Silver oxide,,5.00,5.00,1,,,,India
850650 - Lithium,,5.00,5.00,1,,,,India
850660 - Air-zinc,,5.00,5.00,1,,,,India
850680 - Other primary cells and primary batteries,,5.00,5.00,1,,,,India
850690 - Parts,,5.00,5.00,1,,,,India
"850710 - Lead-acid, of a kind used for starting piston engines",,10.00,10.00,1,,,,India
850720 - Other lead-acid accumulators,,10.00,10.00,1,,,,India
850730 - Nickel-cadmium,,10.00,10.00,1,,,,India
850740 - Nickel-iron,,10.00,10.00,1,,,,India
850750 - Nickel-metal hydride,,10.00,10.00,1,,,,India
850760 - Lithium-ion,,10.00,10.00,1,,,,India
850780 - Other accumulators,,10.00,10.00,1,,,,India
850790 - Parts,,5.00,5.00,1,,,,India
"850811 -- Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,5.00,5.00,1,,,,India
