Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
"170410 - Chewing gum, whether or not sugar-coated","96,329",20.00,20.00,1,,,,European Union
170490 - Other,"12,812,839",20.00,20.00,3,,,,European Union
,2014,"22,705,236",16.70,16.70,23,,,,European Union
170112 -- Beet sugar,"2,152",16.00,16.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 -- Other cane sugar,650,16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"1,603",16.00,16.00,1,,,,European Union
170199 -- Other,"45,100",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","7,218,991",16.00,16.00,1,,,,European Union
170219 -- Other,"2,445,978",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,956,719",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","16,626",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"10,820",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","6,558",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","555,777",16.00,16.00,1,,,,European Union
170310 - Cane molasses,1,16.00,16.00,1,,,,European Union
170390 - Other,"101,905",16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","162,551",20.00,20.00,1,,,,European Union
170490 - Other,"10,179,805",20.00,20.00,3,,,,European Union
,2013,"23,253,544",16.70,16.70,23,,,,European Union
170112 -- Beet sugar,"20,876",16.00,16.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 -- Other cane sugar,"5,150",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"2,347",16.00,16.00,1,,,,European Union
170199 -- Other,"41,667",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","8,252,532",16.00,16.00,1,,,,European Union
170219 -- Other,"5,164,320",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,577,474",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",67,16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"32,041",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","19,340",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","412,913",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","335,980",20.00,20.00,1,,,,European Union
170490 - Other,"7,388,837",20.00,20.00,3,,,,European Union
,2012,"25,209,036",16.70,16.70,23,,,,European Union
170112 -- Beet sugar,,16.00,16.00,1,,,,European Union
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,European Union
170114 -- Other cane sugar,"5,062",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"3,739",16.00,16.00,1,,,,European Union
170199 -- Other,"132,750",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","8,713,217",16.00,16.00,1,,,,European Union
170219 -- Other,"8,679,617",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,"10,185",16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,506,483",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"51,505",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","2,896",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","385,021",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","171,882",20.00,20.00,1,,,,European Union
170490 - Other,"5,546,680",20.00,20.00,3,,,,European Union
,2011,"9,971,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,"5,000",16.00,16.00,1,,,,European Union
170112 -- Beet sugar,"3,000",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,European Union
170199 -- Other,"64,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,486,000",16.00,16.00,1,,,,European Union
170219 -- Other,"3,238,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,"18,000",16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,405,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"78,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","472,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","40,000",20.00,20.00,1,,,,European Union
170490 - Other,"2,162,000",20.00,20.00,3,,,,European Union
,2010,"13,412,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,"14,000",16.00,16.00,1,,,,European Union
170112 -- Beet sugar,"36,000",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"9,000",16.00,16.00,1,,,,European Union
170199 -- Other,"46,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","6,525,000",16.00,16.00,1,,,,European Union
170219 -- Other,"1,329,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,"23,000",16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,544,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"79,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","2,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","907,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,"6,000",16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","76,000",20.00,20.00,1,,,,European Union
170490 - Other,"2,816,000",20.00,20.00,3,,,,European Union
,2009,"9,992,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,"9,000",16.00,16.00,1,,,,European Union
170112 -- Beet sugar,"8,000",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"2,000",16.00,16.00,1,,,,European Union
170199 -- Other,"62,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","4,288,000",16.00,16.00,1,,,,European Union
170219 -- Other,"1,805,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,091,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","1,000",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"61,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","19,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","616,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","35,000",20.00,20.00,1,,,,European Union
170490 - Other,"1,995,000",20.00,20.00,3,,,,European Union
,2008,"16,308,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,"4,000",16.00,16.00,1,,,,European Union
170112 -- Beet sugar,"1,000",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"3,000",16.00,16.00,1,,,,European Union
170199 -- Other,"30,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","8,797,000",16.00,16.00,1,,,,European Union
170219 -- Other,"1,912,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,077,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"55,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","45,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","2,023,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","33,000",20.00,20.00,1,,,,European Union
170490 - Other,"2,328,000",20.00,20.00,3,,,,European Union
,2007,"9,875,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,"5,000",16.00,16.00,1,,,,European Union
170112 -- Beet sugar,"4,000",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"1,000",16.00,16.00,1,,,,European Union
170199 -- Other,"22,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","5,452,000",16.00,16.00,1,,,,European Union
170219 -- Other,"1,925,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","461,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","3,000",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"65,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","24,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","545,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","25,000",20.00,20.00,1,,,,European Union
170490 - Other,"1,343,000",20.00,20.00,3,,,,European Union
,2006,"6,126,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,,16.00,16.00,1,,,,European Union
170112 -- Beet sugar,"1,000",16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"1,000",16.00,16.00,1,,,,European Union
170199 -- Other,"21,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,246,000",16.00,16.00,1,,,,European Union
170219 -- Other,"997,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","485,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","52,000",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"106,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","4,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","1,217,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,,16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","14,000",20.00,20.00,1,,,,European Union
170490 - Other,"982,000",20.00,20.00,3,,,,European Union
,2005,"5,299,000",16.73,16.73,22,,,,European Union
170111 -- Cane sugar,,16.00,16.00,1,,,,European Union
170112 -- Beet sugar,,16.00,16.00,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,"1,000",16.00,16.00,1,,,,European Union
170199 -- Other,"12,000",16.00,16.00,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,022,000",16.00,16.00,1,,,,European Union
170219 -- Other,"464,000",16.00,16.00,1,,,,European Union
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","251,000",16.00,16.00,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar","3,000",16.00,16.00,2,,,,European Union
170250 - Chemically pure fructose,"74,000",16.00,16.00,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","6,000",16.00,16.00,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","1,782,000",16.00,16.00,1,,,,European Union
170310 - Cane molasses,,16.00,16.00,1,,,,European Union
170390 - Other,"1,000",16.00,16.00,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","7,000",20.00,20.00,1,,,,European Union
