Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
European Union,"9,581,898",,,,,,,Japan
,2018,,6.67,6.67,125,24,,,Japan
080111 - - Desiccated,,0.00,0.00,1,,,,Japan
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Japan
080119 - - Other,,0.00,0.00,1,,,,Japan
080121 - - In shell,,0.00,0.00,1,,,,Japan
080122 - - Shelled,,0.00,0.00,1,,,,Japan
080131 - - In shell,,0.00,0.00,1,,,,Japan
080132 - - Shelled,,0.00,0.00,1,,,,Japan
080211 - - In shell,,2.80,2.80,2,,,,Japan
080212 - - Shelled,,1.75,1.75,2,,,,Japan
080221 - - In shell,,3.20,3.20,1,,,,Japan
080222 - - Shelled,,3.20,3.20,1,,,,Japan
080231 - - In shell,,4.00,4.00,1,,,,Japan
080232 - - Shelled,,5.10,5.10,1,,,,Japan
080241 - - In shell,,5.60,5.60,1,,,,Japan
080242 - - Shelled,,5.60,5.60,1,,,,Japan
080251 - - In shell,,1.60,1.60,1,,,,Japan
080252 - - Shelled,,1.60,1.60,1,,,,Japan
080261 - - In shell,,2.00,2.00,1,,,,Japan
080262 - - Shelled,,2.00,2.00,1,,,,Japan
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Japan
080280 - Areca nuts,,0.00,0.00,1,,,,Japan
080290 - Other,,1.33,1.33,3,,,,Japan
080310 - Plantains,,16.00,16.00,2,,,,Japan
080390 - Other,,16.00,16.00,2,1,,,Japan
080410 - Dates,,7.70,7.70,1,,,,Japan
080420 - Figs,,6.80,6.80,2,,,,Japan
080430 - Pineapples,,5.80,5.80,1,,,,Japan
080440 - Avocados,,4.00,4.00,1,,,,Japan
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Japan
080510 - Oranges,,16.00,16.00,4,3,,,Japan
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Japan
080522 - - Clementines,,,,1,1,,,Japan
080529 - - Other,,,,1,1,,,Japan
"080540 - Grapefruit, including pomelos",,1.50,1.50,1,,,,Japan
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,12.80,2,1,,,Japan
080590 - Other,,12.80,12.80,1,,,,Japan
080610 - Fresh,,14.40,14.40,2,1,,,Japan
080620 - Dried,,2.40,2.40,3,,,,Japan
080711 - - Watermelons,,8.80,8.80,1,,,,Japan
080719 - - Other,,8.80,8.80,1,,,,Japan
080720 - Papaws (papayas),,0.00,0.00,1,,,,Japan
080810 - Apples,,,,2,2,,,Japan
080830 - Pears,,,,2,2,,,Japan
080840 - Quinces,,7.20,7.20,1,,,,Japan
080910 - Apricots,,,,1,1,,,Japan
080921 - - Sour cherries (Prunus cerasus),,,,1,1,,,Japan
080929 - - Other,,,,1,1,,,Japan
"080930 - Peaches, including nectarines",,,,2,2,,,Japan
080940 - Plums and sloes,,12.00,12.00,2,1,,,Japan
081010 - Strawberries,,11.20,11.20,1,,,,Japan
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,9.20,2,,,,Japan
"081030 - Black, white or red currants and gooseberries",,9.07,9.07,3,,,,Japan
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,4.00,4,,,,Japan
081050 - Kiwifruit,,8.80,8.80,1,,,,Japan
081060 - Durians,,8.80,8.80,1,,,,Japan
081070 - Persimmons,,8.80,8.80,1,,,,Japan
081090 - Other,,4.40,4.40,2,,,,Japan
081110 - Strawberries,,17.60,17.60,3,1,,,Japan
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,14.67,7,1,,,Japan
081190 - Other,,10.75,10.75,10,2,,,Japan
081210 - Cherries,,8.80,8.80,1,,,,Japan
081290 - Other,,7.16,7.16,5,,,,Japan
081310 - Apricots,,5.60,5.60,1,,,,Japan
081320 - Prunes,,9.60,9.60,1,,,,Japan
081330 - Apples,,3.20,3.20,1,,,,Japan
081340 - Other fruit,,3.28,3.28,5,,,,Japan
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,6.86,7,,,,Japan
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,1.60,1,,,,Japan
,2017,"1,076,201",6.67,6.67,125,24,,,Japan
080111 - - Desiccated,"1,092",0.00,0.00,1,,,,Japan
080112 - - In the inner shell (endocarp),376,0.00,0.00,1,,,,Japan
080119 - - Other,"1,078",0.00,0.00,1,,,,Japan
080121 - - In shell,3,0.00,0.00,1,,,,Japan
080122 - - Shelled,256,0.00,0.00,1,,,,Japan
080131 - - In shell,,0.00,0.00,1,,,,Japan
080132 - - Shelled,"16,658",0.00,0.00,1,,,,Japan
080211 - - In shell,318,2.80,2.80,2,,,,Japan
080212 - - Shelled,"31,674",1.75,1.75,2,,,,Japan
080221 - - In shell,,3.20,3.20,1,,,,Japan
080222 - - Shelled,"2,197",3.20,3.20,1,,,,Japan
080231 - - In shell,82,4.00,4.00,1,,,,Japan
080232 - - Shelled,"1,107",5.10,5.10,1,,,,Japan
080241 - - In shell,55,5.60,5.60,1,,,,Japan
080242 - - Shelled,"1,034",5.60,5.60,1,,,,Japan
080251 - - In shell,350,1.60,1.60,1,,,,Japan
080252 - - Shelled,"37,142",1.60,1.60,1,,,,Japan
080261 - - In shell,,2.00,2.00,1,,,,Japan
080262 - - Shelled,"1,670",2.00,2.00,1,,,,Japan
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Japan
080280 - Areca nuts,,0.00,0.00,1,,,,Japan
080290 - Other,"5,382",1.33,1.33,3,,,,Japan
080310 - Plantains,214,16.00,16.00,2,,,,Japan
080390 - Other,"30,558",16.00,16.00,2,1,,,Japan
080410 - Dates,"3,223",7.70,7.70,1,,,,Japan
080420 - Figs,"65,827",6.80,6.80,2,,,,Japan
