Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
European Union,"28,551,477,741",,,,,,,South Africa
,2018,,6.67,0.13,125,24,92,,South Africa
080111 - - Desiccated,,0.00,0.00,1,,,,South Africa
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,South Africa
080119 - - Other,,0.00,0.00,1,,,,South Africa
080121 - - In shell,,0.00,0.00,1,,,,South Africa
080122 - - Shelled,,0.00,0.00,1,,,,South Africa
080131 - - In shell,,0.00,0.00,1,,,,South Africa
080132 - - Shelled,,0.00,0.00,1,,,,South Africa
080211 - - In shell,,2.80,0.00,2,,1,,South Africa
080212 - - Shelled,,1.75,0.00,2,,1,,South Africa
080221 - - In shell,,3.20,0.00,1,,1,,South Africa
080222 - - Shelled,,3.20,0.00,1,,1,,South Africa
080231 - - In shell,,4.00,0.00,1,,1,,South Africa
080232 - - Shelled,,5.10,0.00,1,,1,,South Africa
080241 - - In shell,,5.60,0.00,1,,1,,South Africa
080242 - - Shelled,,5.60,0.00,1,,1,,South Africa
080251 - - In shell,,1.60,0.00,1,,1,,South Africa
080252 - - Shelled,,1.60,0.00,1,,1,,South Africa
080261 - - In shell,,2.00,0.00,1,,1,,South Africa
080262 - - Shelled,,2.00,0.00,1,,1,,South Africa
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,South Africa
080280 - Areca nuts,,0.00,0.00,1,,,,South Africa
080290 - Other,,1.33,0.00,3,,2,,South Africa
080310 - Plantains,,16.00,0.00,2,,2,,South Africa
080390 - Other,,16.00,0.00,2,1,1,,South Africa
080410 - Dates,,7.70,0.00,1,,1,,South Africa
080420 - Figs,,6.80,0.00,2,,2,,South Africa
080430 - Pineapples,,5.80,0.00,1,,1,,South Africa
080440 - Avocados,,4.00,0.00,1,,1,,South Africa
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,South Africa
080510 - Oranges,,16.00,0.00,4,3,1,,South Africa
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,South Africa
080522 - - Clementines,,,,1,1,,,South Africa
080529 - - Other,,,,1,1,,,South Africa
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,South Africa
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,South Africa
080590 - Other,,12.80,0.00,1,,1,,South Africa
080610 - Fresh,,14.40,0.00,2,1,2,,South Africa
080620 - Dried,,2.40,0.00,3,,3,,South Africa
080711 - - Watermelons,,8.80,0.00,1,,1,,South Africa
080719 - - Other,,8.80,0.00,1,,1,,South Africa
080720 - Papaws (papayas),,0.00,0.00,1,,,,South Africa
080810 - Apples,,,,2,2,,,South Africa
080830 - Pears,,,,2,2,,,South Africa
080840 - Quinces,,7.20,0.00,1,,1,,South Africa
080910 - Apricots,,,0.00,1,1,1,,South Africa
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,South Africa
080929 - - Other,,,0.00,1,1,1,,South Africa
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,South Africa
080940 - Plums and sloes,,12.00,0.00,2,1,2,,South Africa
081010 - Strawberries,,11.20,0.00,1,,1,,South Africa
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,South Africa
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,South Africa
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,South Africa
081050 - Kiwifruit,,8.80,0.00,1,,1,,South Africa
081060 - Durians,,8.80,0.00,1,,1,,South Africa
081070 - Persimmons,,8.80,0.00,1,,1,,South Africa
081090 - Other,,4.40,0.00,2,,1,,South Africa
081110 - Strawberries,,17.60,4.80,3,1,2,,South Africa
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,,South Africa
081190 - Other,,10.75,0.00,10,2,8,,South Africa
081210 - Cherries,,8.80,0.00,1,,1,,South Africa
081290 - Other,,7.16,0.00,5,,5,,South Africa
081310 - Apricots,,5.60,0.00,1,,1,,South Africa
081320 - Prunes,,9.60,0.00,1,,1,,South Africa
081330 - Apples,,3.20,0.00,1,,1,,South Africa
081340 - Other fruit,,3.28,0.00,5,,4,,South Africa
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,South Africa
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,South Africa
,2017,"2,034,904,469",6.67,0.13,125,24,92,,South Africa
080111 - - Desiccated,612,0.00,0.00,1,,,,South Africa
080112 - - In the inner shell (endocarp),119,0.00,0.00,1,,,,South Africa
080119 - - Other,245,0.00,0.00,1,,,,South Africa
080121 - - In shell,1,0.00,0.00,1,,,,South Africa
080122 - - Shelled,86,0.00,0.00,1,,,,South Africa
080131 - - In shell,,0.00,0.00,1,,,,South Africa
080132 - - Shelled,"180,313",0.00,0.00,1,,,,South Africa
080211 - - In shell,123,2.80,0.00,2,,1,,South Africa
080212 - - Shelled,"33,545",1.75,0.00,2,,1,,South Africa
080221 - - In shell,"2,078",3.20,0.00,1,,1,,South Africa
080222 - - Shelled,"1,574",3.20,0.00,1,,1,,South Africa
080231 - - In shell,"322,704",4.00,0.00,1,,1,,South Africa
080232 - - Shelled,"194,599",5.10,0.00,1,,1,,South Africa
080241 - - In shell,21,5.60,0.00,1,,1,,South Africa
080242 - - Shelled,414,5.60,0.00,1,,1,,South Africa
080251 - - In shell,133,1.60,0.00,1,,1,,South Africa
080252 - - Shelled,51,1.60,0.00,1,,1,,South Africa
080261 - - In shell,"834,260",2.00,0.00,1,,1,,South Africa
080262 - - Shelled,"34,082,676",2.00,0.00,1,,1,,South Africa
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,South Africa
080280 - Areca nuts,,0.00,0.00,1,,,,South Africa
080290 - Other,"7,792,421",1.33,0.00,3,,2,,South Africa
080310 - Plantains,"14,081",16.00,0.00,2,,2,,South Africa
080390 - Other,"40,193",16.00,0.00,2,1,1,,South Africa
080410 - Dates,"5,160,296",7.70,0.00,1,,1,,South Africa
080420 - Figs,"3,169,161",6.80,0.00,2,,2,,South Africa
080430 - Pineapples,"2,201,410",5.80,0.00,1,,1,,South Africa
080440 - Avocados,"113,564,199",4.00,0.00,1,,1,,South Africa
"080450 - Guavas, mangoes and mangosteens","11,085,291",0.00,0.00,1,,,,South Africa
080510 - Oranges,"396,170,148",16.00,0.00,4,3,1,,South Africa
080521 - - Mandarins (including tangerines and satsumas),"73,238,066",,,2,2,,,South Africa
080522 - - Clementines,"64,904,160",,,1,1,,,South Africa
080529 - - Other,"18,585,034",,,1,1,,,South Africa
"080540 - Grapefruit, including pomelos","113,098,337",1.50,0.00,1,,1,,South Africa
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","103,246,898",12.80,0.00,2,1,1,,South Africa
080590 - Other,"1,222,178",12.80,0.00,1,,1,,South Africa
080610 - Fresh,"538,599,021",14.40,0.00,2,1,2,,South Africa
080620 - Dried,"57,307,689",2.40,0.00,3,,3,,South Africa
080711 - - Watermelons,"463,548",8.80,0.00,1,,1,,South Africa
080719 - - Other,"21,103,543",8.80,0.00,1,,1,,South Africa
080720 - Papaws (papayas),"93,503",0.00,0.00,1,,,,South Africa
080810 - Apples,"112,123,828",,,2,2,,,South Africa
080830 - Pears,"110,615,003",,,2,2,,,South Africa
080840 - Quinces,36,7.20,0.00,1,,1,,South Africa
080910 - Apricots,"3,470,535",,0.00,1,1,1,,South Africa
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,South Africa
080929 - - Other,"1,005,217",,0.00,1,1,1,,South Africa
"080930 - Peaches, including nectarines","30,856,579",,0.00,2,2,2,,South Africa
080940 - Plums and sloes,"75,410,742",12.00,0.00,2,1,2,,South Africa
081010 - Strawberries,"230,024",11.20,0.00,1,,1,,South Africa
"081020 - Raspberries, blackberries, mulberries and loganberries","15,804,134",9.20,0.00,2,,2,,South Africa
"081030 - Black, white or red currants and gooseberries",9,9.07,0.00,3,,3,,South Africa
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","56,035,762",4.00,0.00,4,,3,,South Africa
081050 - Kiwifruit,993,8.80,0.00,1,,1,,South Africa
081060 - Durians,3,8.80,0.00,1,,1,,South Africa
081070 - Persimmons,"1,066,264",8.80,0.00,1,,1,,South Africa
081090 - Other,"37,129,633",4.40,0.00,2,,1,,South Africa
081110 - Strawberries,"8,062",17.60,4.80,3,1,2,,South Africa
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","3,736",14.67,0.00,7,1,7,,South Africa
081190 - Other,"6,166,563",10.75,0.00,10,2,8,,South Africa
081210 - Cherries,,8.80,0.00,1,,1,,South Africa
081290 - Other,"5,547",7.16,0.00,5,,5,,South Africa
081310 - Apricots,"656,303",5.60,0.00,1,,1,,South Africa
081320 - Prunes,"12,688",9.60,0.00,1,,1,,South Africa
081330 - Apples,"1,411,608",3.20,0.00,1,,1,,South Africa
081340 - Other fruit,"15,223,693",3.28,0.00,5,,4,,South Africa
081350 - Mixtures of nuts or dried fruits of this Chapter,"815,603",6.86,0.00,7,,7,,South Africa
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","139,173",1.60,0.00,1,,1,,South Africa
,2016,"1,863,197,351",6.67,0.13,124,23,92,,South Africa
080111 -- Desiccated,"36,269",0.00,0.00,1,,,,South Africa
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,South Africa
080119 -- Other,,0.00,0.00,1,,,,South Africa
080121 -- In shell,,0.00,0.00,1,,,,South Africa
080122 -- Shelled,"1,261",0.00,0.00,1,,,,South Africa
080131 -- In shell,,0.00,0.00,1,,,,South Africa
080132 -- Shelled,189,0.00,0.00,1,,,,South Africa
080211 -- In shell,,2.80,0.00,2,,1,,South Africa
080212 -- Shelled,594,1.75,0.00,2,,1,,South Africa
080221 -- In shell,,3.20,0.00,1,,1,,South Africa
080222 -- Shelled,,3.20,0.00,1,,1,,South Africa
080231 -- In shell,"310,751",4.00,0.00,1,,1,,South Africa
080232 -- Shelled,"166,897",5.10,0.00,1,,1,,South Africa
080241 -- In shell,,5.60,0.00,1,,1,,South Africa
080242 -- Shelled,,5.60,0.00,1,,1,,South Africa
080251 -- In shell,,1.60,0.00,1,,1,,South Africa
080252 -- Shelled,,1.60,0.00,1,,1,,South Africa
080261 -- In shell,"2,757,517",2.00,0.00,1,,1,,South Africa
080262 -- Shelled,"37,727,672",2.00,0.00,1,,1,,South Africa
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,South Africa
080280 - Areca nuts,,0.00,0.00,1,,,,South Africa
080290 - Other,"4,519,154",1.33,0.00,3,,2,,South Africa
080310 - Plantains,,16.00,0.00,2,,2,,South Africa
080390 - Other,"72,137",16.00,0.00,2,1,1,,South Africa
080410 - Dates,"4,265,485",7.70,0.00,1,,1,,South Africa
080420 - Figs,"3,551,314",6.80,0.00,2,,2,,South Africa
080430 - Pineapples,"1,784,902",5.80,0.00,1,,1,,South Africa
080440 - Avocados,"138,603,423",4.00,0.00,1,,1,,South Africa
"080450 - Guavas, mangoes and mangosteens","7,810,693",0.00,0.00,1,,,,South Africa
080510 - Oranges,"312,042,819",16.00,0.00,2,1,1,,South Africa
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","154,220,125",,,5,5,,,South Africa
"080540 - Grapefruit, including pomelos","92,116,472",1.50,0.00,1,,1,,South Africa
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","107,245,751",12.80,0.00,2,1,1,,South Africa
080590 - Other,"986,040",12.80,0.00,1,,1,,South Africa
080610 - Fresh,"457,134,719",14.40,0.00,2,1,2,,South Africa
080620 - Dried,"66,679,605",2.40,0.00,3,,3,,South Africa
080711 -- Watermelons,"132,548",8.80,0.00,1,,1,,South Africa
080719 -- Other,"17,021,353",8.80,0.00,1,,1,,South Africa
080720 - Papaws (papayas),"168,603",0.00,0.00,1,,,,South Africa
080810 - Apples,"110,542,125",,,2,2,,,South Africa
080830 - Pears,"112,861,613",,,2,2,,,South Africa
080840 - Quinces,,7.20,0.00,1,,1,,South Africa
080910 - Apricots,"6,268,869",,0.00,1,1,1,,South Africa
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,South Africa
080929 -- Other,"1,449,948",,0.00,1,1,1,,South Africa
"080930 - Peaches, including nectarines","32,879,583",,0.00,2,2,2,,South Africa
080940 - Plums and sloes,"81,441,674",12.00,0.00,2,1,2,,South Africa
081010 - Strawberries,"454,138",11.20,0.00,1,,1,,South Africa
"081020 - Raspberries, blackberries, mulberries and loganberries","11,045,264",9.20,0.00,2,,2,,South Africa
"081030 - Black, white or red currants and gooseberries","1,637",9.07,0.00,3,,3,,South Africa
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","39,310,092",4.00,0.00,4,,3,,South Africa
081050 - Kiwifruit,"138,559",8.80,0.00,1,,1,,South Africa
081060 - Durians,,8.80,0.00,1,,1,,South Africa
081070 - Persimmons,"1,428,743",8.80,0.00,1,,1,,South Africa
081090 - Other,"33,114,818",4.40,0.00,2,,1,,South Africa
081110 - Strawberries,,17.60,4.80,3,1,2,,South Africa
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",254,14.67,0.00,7,1,7,,South Africa
081190 - Other,"6,274,682",10.75,0.00,10,2,8,,South Africa
081210 - Cherries,,8.80,0.00,1,,1,,South Africa
081290 - Other,509,7.16,0.00,5,,5,,South Africa
081310 - Apricots,"294,169",5.60,0.00,1,,1,,South Africa
081320 - Prunes,"2,004",9.60,0.00,1,,1,,South Africa
081330 - Apples,"1,960,027",3.20,0.00,1,,1,,South Africa
081340 - Other fruit,"13,440,273",3.28,0.00,5,,4,,South Africa
081350 - Mixtures of nuts or dried fruits of this Chapter,"797,173",6.86,0.00,7,,7,,South Africa
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","134,904",1.60,0.00,1,,1,,South Africa
,2015,"1,793,788,819",6.67,0.13,124,23,92,,South Africa
080111 -- Desiccated,"5,355",0.00,0.00,1,,,,South Africa
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,South Africa
080119 -- Other,114,0.00,0.00,1,,,,South Africa
080121 -- In shell,,0.00,0.00,1,,,,South Africa
080122 -- Shelled,,0.00,0.00,1,,,,South Africa
080131 -- In shell,,0.00,0.00,1,,,,South Africa
080132 -- Shelled,186,0.00,0.00,1,,,,South Africa
080211 -- In shell,,2.80,0.00,2,,1,,South Africa
080212 -- Shelled,"173,029",1.75,0.00,2,,1,,South Africa
080221 -- In shell,,3.20,0.00,1,,1,,South Africa
080222 -- Shelled,,3.20,0.00,1,,1,,South Africa
080231 -- In shell,"567,127",4.00,0.00,1,,1,,South Africa
080232 -- Shelled,,5.10,0.00,1,,1,,South Africa
080241 -- In shell,,5.60,0.00,1,,1,,South Africa
080242 -- Shelled,,5.60,0.00,1,,1,,South Africa
080251 -- In shell,,1.60,0.00,1,,1,,South Africa
080252 -- Shelled,,1.60,0.00,1,,1,,South Africa
080261 -- In shell,"1,521,566",2.00,0.00,1,,1,,South Africa
080262 -- Shelled,"40,916,326",2.00,0.00,1,,1,,South Africa
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,South Africa
080280 - Areca nuts,,0.00,0.00,1,,,,South Africa
080290 - Other,"3,425,120",1.33,0.00,3,,2,,South Africa
080310 - Plantains,,16.00,0.00,2,,2,,South Africa
080390 - Other,"314,611",16.00,0.00,2,1,1,,South Africa
080410 - Dates,"3,904,400",7.70,0.00,1,,1,,South Africa
080420 - Figs,"3,258,491",6.80,0.00,2,,2,,South Africa
080430 - Pineapples,"2,016,077",5.80,0.00,1,,1,,South Africa
080440 - Avocados,"112,501,515",4.00,0.00,1,,1,,South Africa
"080450 - Guavas, mangoes and mangosteens","12,880,811",0.00,0.00,1,,,,South Africa
080510 - Oranges,"339,855,942",16.00,0.00,2,1,1,,South Africa
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","120,486,731",,,5,5,,,South Africa
"080540 - Grapefruit, including pomelos","86,582,591",1.50,0.00,1,,1,,South Africa
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","61,497,992",12.80,0.00,2,1,1,,South Africa
080590 - Other,"983,049",12.80,0.00,1,,1,,South Africa
080610 - Fresh,"479,994,682",14.40,0.00,2,1,2,,South Africa
080620 - Dried,"61,306,655",2.40,0.00,3,,3,,South Africa
080711 -- Watermelons,"37,337",8.80,0.00,1,,1,,South Africa
080719 -- Other,"12,222,164",8.80,0.00,1,,1,,South Africa
080720 - Papaws (papayas),"222,350",0.00,0.00,1,,,,South Africa
080810 - Apples,"138,811,370",,,2,2,,,South Africa
080830 - Pears,"115,449,877",,,2,2,,,South Africa
080840 - Quinces,"1,299",7.20,0.00,1,,1,,South Africa
080910 - Apricots,"5,052,654",,0.00,1,1,1,,South Africa
080921 -- Sour cherries (Prunus cerasus),,,0.00,1,1,1,,South Africa
080929 -- Other,"2,105,938",,0.00,1,1,1,,South Africa
"080930 - Peaches, including nectarines","28,113,890",,0.00,2,2,2,,South Africa
080940 - Plums and sloes,"68,327,305",12.00,0.00,2,1,2,,South Africa
081010 - Strawberries,"40,757",11.20,0.00,1,,1,,South Africa
"081020 - Raspberries, blackberries, mulberries and loganberries","10,492,945",9.20,0.00,2,,2,,South Africa
"081030 - Black, white or red currants and gooseberries",292,9.07,0.00,3,,3,,South Africa
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","24,883,845",4.00,0.00,4,,3,,South Africa
081050 - Kiwifruit,"35,666",8.80,0.00,1,,1,,South Africa
081060 - Durians,,8.80,0.00,1,,1,,South Africa
081070 - Persimmons,"2,375,985",8.80,0.00,1,,1,,South Africa
081090 - Other,"30,322,110",4.40,0.00,2,,1,,South Africa
081110 - Strawberries,,17.60,4.80,3,1,2,,South Africa
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",57,14.67,0.00,7,1,7,,South Africa
081190 - Other,"7,381,164",10.75,0.00,10,2,8,,South Africa
081210 - Cherries,,8.80,0.00,1,,1,,South Africa
081290 - Other,"129,199",7.16,0.00,5,,5,,South Africa
081310 - Apricots,"741,856",5.60,0.00,1,,1,,South Africa
081320 - Prunes,"38,966",9.60,0.00,1,,1,,South Africa
081330 - Apples,"1,573,574",3.20,0.00,1,,1,,South Africa
081340 - Other fruit,"12,926,607",3.28,0.00,5,,4,,South Africa
081350 - Mixtures of nuts or dried fruits of this Chapter,"203,564",6.86,0.00,7,,7,,South Africa
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","105,677",1.60,0.00,1,,1,,South Africa
,2014,"1,809,827,509",6.67,0.13,124,23,92,,South Africa
080111 -- Desiccated,,0.00,0.00,1,,,,South Africa
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,South Africa
080119 -- Other,,0.00,0.00,1,,,,South Africa
080121 -- In shell,,0.00,0.00,1,,,,South Africa
080122 -- Shelled,,0.00,0.00,1,,,,South Africa
080131 -- In shell,,0.00,0.00,1,,,,South Africa
080132 -- Shelled,365,0.00,0.00,1,,,,South Africa
080211 -- In shell,,2.80,0.00,2,,1,,South Africa
080212 -- Shelled,801,1.75,0.00,2,,1,,South Africa
080221 -- In shell,,3.20,0.00,1,,1,,South Africa
080222 -- Shelled,759,3.20,0.00,1,,1,,South Africa
080231 -- In shell,,4.00,0.00,1,,1,,South Africa
080232 -- Shelled,,5.10,0.00,1,,1,,South Africa
080241 -- In shell,,5.60,0.00,1,,1,,South Africa
080242 -- Shelled,,5.60,0.00,1,,1,,South Africa
080251 -- In shell,,1.60,0.00,1,,1,,South Africa
080252 -- Shelled,,1.60,0.00,1,,1,,South Africa
080261 -- In shell,"651,486",2.00,0.00,1,,1,,South Africa
080262 -- Shelled,"29,095,430",2.00,0.00,1,,1,,South Africa
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,South Africa
080280 - Areca nuts,,0.00,0.00,1,,,,South Africa
080290 - Other,"3,830,349",1.33,0.00,3,,2,,South Africa
080310 - Plantains,,16.00,0.00,2,,2,,South Africa
080390 - Other,"280,039",16.00,0.00,2,1,1,,South Africa
080410 - Dates,"2,027,789",7.70,0.00,1,,1,,South Africa
080420 - Figs,"2,113,316",6.80,0.00,2,,2,,South Africa
080430 - Pineapples,"3,840,685",5.80,0.00,1,,1,,South Africa
080440 - Avocados,"113,066,160",4.00,0.00,1,,1,,South Africa
"080450 - Guavas, mangoes and mangosteens","6,328,175",0.00,0.00,1,,,,South Africa
080510 - Oranges,"324,061,087",16.00,0.00,2,1,1,,South Africa
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","117,666,809",,,5,5,,,South Africa
"080540 - Grapefruit, including pomelos","69,194,540",1.50,0.00,1,,1,,South Africa
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","62,545,693",12.80,0.00,2,1,1,,South Africa
080590 - Other,"1,016,417",12.80,0.00,1,,1,,South Africa
080610 - Fresh,"552,379,031",14.40,0.00,2,1,2,,South Africa
080620 - Dried,"38,885,256",2.40,0.00,3,,3,,South Africa
080711 -- Watermelons,"14,735",8.80,0.00,1,,1,,South Africa
080719 -- Other,"12,994,296",8.80,0.00,1,,1,,South Africa
080720 - Papaws (papayas),"234,773",0.00,0.00,1,,,,South Africa
080810 - Apples,"126,617,937",,,2,2,,,South Africa
080830 - Pears,"128,683,370",,,2,2,,,South Africa
