Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
"080300 Bananas, including plantains, fresh or dried.",,25.00,25.00,1,,,,Armenia
080410 - Dates,,25.00,25.00,1,,,,Armenia
080420 - Figs,,25.00,25.00,1,,,,Armenia
080430 - Pineapples,,10.00,10.00,1,,,,Armenia
080440 - Avocados,,25.00,25.00,1,,,,Armenia
"080450 - Guavas, mangoes and mangosteens",,25.00,25.00,1,,,,Armenia
080510 - Oranges,,25.00,25.00,1,,,,Armenia
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",,25.00,25.00,1,,,,Armenia
080540 - Grapefruit,,25.00,25.00,1,,,,Armenia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,25.00,25.00,1,,,,Armenia
080590 - Other,,25.00,25.00,1,,,,Armenia
080610 - Fresh,,25.00,25.00,1,,,,Armenia
080620 - Dried,,25.00,25.00,1,,,,Armenia
080711 -- Watermelons,,25.00,25.00,1,,,,Armenia
080719 -- Other,,25.00,25.00,1,,,,Armenia
080720 - Papaws (papayas),,25.00,25.00,1,,,,Armenia
080810 - Apples,,25.00,25.00,1,,,,Armenia
080820 - Pears and quinces,,25.00,25.00,1,,,,Armenia
080910 - Apricots,,25.00,25.00,1,,,,Armenia
080920 - Cherries,,25.00,25.00,1,,,,Armenia
"080930 - Peaches, including nectarines",,25.00,25.00,1,,,,Armenia
080940 - Plums and sloes,,25.00,25.00,1,,,,Armenia
081010 - Strawberries,,25.00,25.00,1,,,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,25.00,25.00,1,,,,Armenia
"081030 - Black, white or red currants and gooseberries",,25.00,25.00,1,,,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,25.00,25.00,1,,,,Armenia
081050 - Kiwifruit,,25.00,25.00,1,,,,Armenia
081060 - Durians,,25.00,25.00,1,,,,Armenia
081090 - Other,,25.00,25.00,1,,,,Armenia
081110 - Strawberries,,25.00,25.00,1,,,,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,25.00,25.00,1,,,,Armenia
081190 - Other,,17.50,17.50,2,,,,Armenia
081210 - Cherries,,25.00,25.00,1,,,,Armenia
081290 - Other,,25.00,25.00,2,,,,Armenia
081310 - Apricots,,25.00,25.00,1,,,,Armenia
081320 - Prunes,,25.00,25.00,1,,,,Armenia
081330 - Apples,,25.00,25.00,1,,,,Armenia
081340 - Other fruit,,25.00,25.00,1,,,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,,17.50,17.50,2,,,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,25.00,25.00,1,,,,Armenia
