Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
851529 - - Other,,2.70,2.70,1,,,,Japan
851531 - - Fully or partly automatic,,2.70,2.70,1,,,,Japan
851539 - - Other,,2.70,2.70,3,,,,Japan
851580 - Other machines and apparatus,,2.70,2.70,2,,,,Japan
851590 - Parts,,1.35,1.35,2,,,,Japan
851610 - Electric instantaneous or storage water heaters and immersion heaters,,2.70,2.70,2,,,,Japan
851621 - - Storage heating radiators,,2.70,2.70,1,,,,Japan
851629 - - Other,,2.70,2.70,4,,,,Japan
851631 - - Hair dryers,,2.70,2.70,1,,,,Japan
851632 - - Other hair-dressing apparatus,,2.70,2.70,1,,,,Japan
851633 - - Hand-drying apparatus,,2.70,2.70,1,,,,Japan
851640 - Electric smoothing irons,,2.70,2.70,1,,,,Japan
851650 - Microwave ovens,,5.00,5.00,1,,,,Japan
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,2.70,2.70,5,,,,Japan
851671 - - Coffee or tea makers,,2.70,2.70,1,,,,Japan
851672 - - Toasters,,2.70,2.70,1,,,,Japan
851679 - - Other,,2.70,2.70,2,,,,Japan
851680 - Electric heating resistors,,2.70,2.70,2,,,,Japan
851690 - Parts,,2.70,2.70,1,,,,Japan
851711 - - Line telephone sets with cordless handsets,,0.00,0.00,1,,,,Japan
851712 - - Telephones for cellular networks or for other wireless networks,,0.00,0.00,1,,,,Japan
851718 - - Other,,0.00,0.00,1,,,,Japan
851761 - - Base stations,,0.00,0.00,1,,,,Japan
"851762 - - Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,0.00,0.00,1,,,,Japan
851769 - - Other,,0.00,0.00,4,,,,Japan
851770 - Parts,,0.00,0.00,1,,,,Japan
851810 - Microphones and stands therefor,,0.65,0.65,2,,,,Japan
"851821 - - Single loudspeakers, mounted in their enclosures",,0.00,0.00,1,,,,Japan
"851822 - - Multiple loudspeakers, mounted in the same enclosure",,2.30,2.30,1,,,,Japan
851829 - - Other,,0.75,0.75,2,,,,Japan
"851830 - Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",,0.50,0.50,2,,,,Japan
851840 - Audio-frequency electric amplifiers,,1.90,1.90,2,,,,Japan
851850 - Electric sound amplifier sets,,1.00,1.00,1,,,,Japan
851890 - Parts,,1.00,1.00,1,,,,Japan
"851920 - Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment",,6.67,6.67,3,,,,Japan
851930 - Turntables (record-decks),,2.00,2.00,1,,,,Japan
851950 - Telephone answering machines,,0.00,0.00,1,,,,Japan
"851981 - - Using magnetic, optical or semiconductor media",,1.71,1.71,10,,,,Japan
851989 - - Other,,0.00,0.00,1,,,,Japan
852110 - Magnetic tape-type,,2.00,2.00,2,,,,Japan
852190 - Other,,10.40,10.40,1,,,,Japan
852210 - Pick-up cartridges,,4.00,4.00,1,,,,Japan
852290 - Other,,0.67,0.67,6,,,,Japan
852321 - - Cards incorporating a magnetic stripe,,0.00,0.00,1,,,,Japan
852329 - - Other,,0.00,0.00,3,,,,Japan
852341 - - Unrecorded,,0.00,0.00,3,,,,Japan
852349 - - Other,,0.00,0.00,3,,,,Japan
852351 - - Solid-state non-volatile storage devices,,0.00,0.00,2,,,,Japan
852352 - - “Smart cards”,,0.00,0.00,1,,,,Japan
852359 - - Other,,0.00,0.00,2,,,,Japan
852380 - Other,,0.00,0.00,2,,,,Japan
852550 - Transmission apparatus,,1.80,1.80,1,,,,Japan
852560 - Transmission apparatus incorporating reception apparatus,,0.00,0.00,1,,,,Japan
"852580 - Television cameras, digital cameras and video camera recorders",,2.72,2.72,5,,,,Japan
852610 - Radar apparatus,,1.90,1.90,1,,,,Japan
852691 - - Radio navigational aid apparatus,,1.90,1.90,2,,,,Japan
852692 - - Radio remote control apparatus,,1.90,1.90,1,,,,Japan
852712 - - Pocket-size radio cassette-players,,2.50,2.50,2,,,,Japan
852713 - - Other apparatus combined with sound recording or reproducing apparatus,,6.00,6.00,3,,,,Japan
852719 - - Other,,0.00,0.00,1,,,,Japan
852721 - - Combined with sound recording or reproducing apparatus,,11.08,11.08,6,,,,Japan
852729 - - Other,,9.00,9.00,1,,,,Japan
852791 - - Combined with sound recording or reproducing apparatus,,4.60,4.60,5,,,,Japan
852792 - - Not combined with sound recording or reproducing apparatus but combined with a clock,,2.25,2.25,2,,,,Japan
852799 - - Other,,4.50,4.50,1,,,,Japan
852842 - - Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,,0.00,0.00,1,,,,Japan
852849 - - Other,,7.00,7.00,1,,,,Japan
852852 - - Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,,0.00,0.00,3,,,,Japan
852859 - - Other,,14.00,14.00,1,,,,Japan
852862 - - Capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71,,0.00,0.00,1,,,,Japan
852869 - - Other,,8.00,8.00,2,,,,Japan
852871 - - Not designed to incorporate a video display or screen,,4.20,4.20,5,,,,Japan
"852872 - - Other, colour",,14.00,14.00,6,,,,Japan
"852873 - - Other, monochrome",,2.00,2.00,1,,,,Japan
852910 - Aerials and aerial reflectors of all kinds; parts suitable for use therewith,,1.41,1.41,7,,,,Japan
852990 - Other,,1.43,1.43,8,,,,Japan
853010 - Equipment for railways or tramways,,1.70,1.70,1,,,,Japan
853080 - Other equipment,,1.70,1.70,1,,,,Japan
853090 - Parts,,1.70,1.70,1,,,,Japan
853110 - Burglar or fire alarms and similar apparatus,,2.20,2.20,2,,,,Japan
853120 - Indicator panels incorporating liquid crystal devices (LCD) or light-emitting diodes (LED),,0.00,0.00,3,,,,Japan
853180 - Other apparatus,,1.10,1.10,2,,,,Japan
853190 - Parts,,0.00,0.00,1,,,,Japan
853210 - Fixed capacitors designed for use in 50/60 Hz circuits and having a reactive power handling capacity of not less than 0.5 kvar (power capacitors),,0.00,0.00,1,,,,Japan
853221 - - Tantalum,,0.00,0.00,1,,,,Japan
853222 - - Aluminium electrolytic,,0.00,0.00,1,,,,Japan
"853223 - - Ceramic dielectric, single layer",,0.00,0.00,1,,,,Japan
"853224 - - Ceramic dielectric, multilayer",,0.00,0.00,1,,,,Japan
853225 - - Dielectric of paper or plastics,,0.00,0.00,1,,,,Japan
853229 - - Other,,0.00,0.00,1,,,,Japan
853230 - Variable or adjustable (pre-set) capacitors,,0.00,0.00,1,,,,Japan
853290 - Parts,,0.00,0.00,1,,,,Japan
"853310 - Fixed carbon resistors, composition or film types",,0.00,0.00,1,,,,Japan
853321 - - For a power handling capacity not exceeding 20 W,,0.00,0.00,1,,,,Japan
853329 - - Other,,0.00,0.00,1,,,,Japan
853331 - - For a power handling capacity not exceeding 20 W,,0.00,0.00,1,,,,Japan
853339 - - Other,,0.00,0.00,1,,,,Japan
"853340 - Other variable resistors, including rheostats and potentiometers",,0.00,0.00,2,,,,Japan
853390 - Parts,,0.00,0.00,1,,,,Japan
853400 Printed circuits.,,0.00,0.00,3,,,,Japan
853510 - Fuses,,2.70,2.70,1,,,,Japan
853521 - - For a voltage of less than 72.5 kV,,2.70,2.70,1,,,,Japan
853529 - - Other,,2.70,2.70,1,,,,Japan
853530 - Isolating switches and make-and-break switches,,2.70,2.70,2,,,,Japan
"853540 - Lightning arresters, voltage limiters and surge suppressors",,2.70,2.70,1,,,,Japan
853590 - Other,,2.70,2.70,1,,,,Japan
853610 - Fuses,,2.30,2.30,3,,,,Japan
853620 - Automatic circuit breakers,,2.30,2.30,2,,,,Japan
853630 - Other apparatus for protecting electrical circuits,,1.20,1.20,3,,,,Japan
853641 - - For a voltage not exceeding 60 V,,2.30,2.30,2,,,,Japan
853649 - - Other,,2.30,2.30,1,,,,Japan
853650 - Other switches,,0.69,0.69,7,,,,Japan
853661 - - Lamp-holders,,2.30,2.30,2,,,,Japan
853669 - - Other,,0.77,0.77,3,,,,Japan
"853670 - Connectors for optical fibres, optical fibre bundles or cables",,3.00,3.00,1,,,,Japan
853690 - Other apparatus,,0.94,0.94,5,,,,Japan
"853710 - For a voltage not exceeding 1,000 V",,1.58,1.58,4,,,,Japan
"853720 - For a voltage exceeding 1,000 V",,2.10,2.10,2,,,,Japan
"853810 - Boards, panels, consoles, desks, cabinets and other bases for the goods of heading 85.37, not equipped with their apparatus",,1.10,1.10,1,,,,Japan
853890 - Other,,1.23,1.23,4,,,,Japan
853910 - Sealed beam lamp units,,2.70,2.70,1,,,,Japan
853921 - - Tungsten halogen,,2.70,2.70,3,,,,Japan
"853922 - - Other, of a power not exceeding 200 W and for a voltage exceeding 100 V",,2.70,2.70,2,,,,Japan
853929 - - Other,,2.70,2.70,3,,,,Japan
"853931 - - Fluorescent, hot cathode",,2.70,2.70,2,,,,Japan
853932 - - Mercury or sodium vapour lamps; metal halide lamps,,2.70,2.70,2,,,,Japan
853939 - - Other,,2.05,2.05,2,,,,Japan
853941 - - Arc-lamps,,2.70,2.70,1,,,,Japan
853949 - - Other,,2.70,2.70,1,,,,Japan
853950 - Light-emitting diode (LED) lamps,,3.70,3.70,1,,,,Japan
853990 - Parts,,2.70,2.70,2,,,,Japan
854011 - - Colour,,14.00,14.00,1,,,,Japan
854012 - - Monochrome,,7.50,7.50,1,,,,Japan
854020 - Television camera tubes; image converters and intensifiers; other photo-cathode tubes,,2.70,2.70,2,,,,Japan
"854040 - Data/graphic display tubes, monochrome; data/graphic display tubes, colour, with a phosphor dot screen pitch smaller than 0.4 mm",,2.60,2.60,1,,,,Japan
854060 - Other cathode-ray tubes,,2.60,2.60,1,,,,Japan
854071 - - Magnetrons,,2.70,2.70,1,,,,Japan
854079 - - Other,,2.70,2.70,1,,,,Japan
854081 - - Receiver or amplifier valves and tubes,,2.70,2.70,1,,,,Japan
854089 - - Other,,2.70,2.70,1,,,,Japan
854091 - - Of cathode-ray tubes,,2.70,2.70,1,,,,Japan
854099 - - Other,,2.70,2.70,1,,,,Japan
