Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
Yemen,0,,,,,,,United States of America
,2016,,5.07,5.07,286,,,,United States of America
850110 -Motors of an output not exceeding 37.5 W,,5.00,5.00,1,,,,United States of America
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,5.00,5.00,1,,,,United States of America
850131 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,United States of America
850132 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,United States of America
850133 -- Of an output exceeding 75 kW but not exceeding 375 kW,,5.00,5.00,1,,,,United States of America
850134 -- Of an output exceeding 375 kW,,5.00,5.00,2,,,,United States of America
"850140 - Other AC motors, single-phase",,5.00,5.00,1,,,,United States of America
850151 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,United States of America
850152 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,United States of America
850153 -- Of an output exceeding 75 kW,,5.00,5.00,2,,,,United States of America
850161 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,United States of America
850162 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,United States of America
850163 -- Of an output exceeding 375 kVA but not exceeding 750 kVA,,5.00,5.00,1,,,,United States of America
850164 -- Of an output exceeding 750 kVA,,5.00,5.00,1,,,,United States of America
850211 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,United States of America
850212 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,United States of America
850213 -- Of an output exceeding 375 kVA,,5.00,5.00,2,,,,United States of America
850220 - Generating sets with spark-ignition internal combustion piston engines,,5.00,5.00,2,,,,United States of America
850231 -- Wind-powered,,5.00,5.00,2,,,,United States of America
850239 -- Other,,5.00,5.00,2,,,,United States of America
850240 - Electric rotary converters,,5.00,5.00,1,,,,United States of America
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,5.00,5.00,2,,,,United States of America
850410 - Ballasts for discharge lamps or tubes,,5.00,5.00,1,,,,United States of America
850421 -- Having a power handling capacity not exceeding 650 kVA,,5.00,5.00,1,,,,United States of America
"850422 -- Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,5.00,5.00,2,,,,United States of America
"850423 -- Having a power handling capacity exceeding 10,000 kVA",,5.00,5.00,1,,,,United States of America
850431 -- Having a power handling capacity not exceeding 1 kVA,,5.00,5.00,1,,,,United States of America
850432 -- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,5.00,5.00,1,,,,United States of America
850433 -- Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,5.00,5.00,1,,,,United States of America
850434 -- Having a power handling capacity exceeding 500 kVA,,5.00,5.00,2,,,,United States of America
850440 - Static converters,,5.00,5.00,1,,,,United States of America
850450 - Other inductors,,5.00,5.00,1,,,,United States of America
850490 - Parts,,5.00,5.00,2,,,,United States of America
850511 -- Of metal,,5.00,5.00,1,,,,United States of America
850519 -- Other,,5.00,5.00,1,,,,United States of America
"850520 - Electro-magnetic couplings, clutches and brakes",,5.00,5.00,1,,,,United States of America
"850590 - Other, including parts",,5.00,5.00,1,,,,United States of America
850610 -Manganese dioxide,,5.00,5.00,1,,,,United States of America
850630 -Mercuric oxide,,5.00,5.00,1,,,,United States of America
850640 - Silver oxide,,5.00,5.00,1,,,,United States of America
850650 - Lithium,,5.00,5.00,1,,,,United States of America
850660 - Air-zinc,,5.00,5.00,1,,,,United States of America
850680 - Other primary cells and primary batteries,,5.00,5.00,1,,,,United States of America
850690 - Parts,,5.00,5.00,1,,,,United States of America
"850710 - Lead-acid, of a kind used for starting piston engines",,10.00,10.00,1,,,,United States of America
850720 - Other lead-acid accumulators,,10.00,10.00,1,,,,United States of America
850730 - Nickel-cadmium,,10.00,10.00,1,,,,United States of America
850740 - Nickel-iron,,10.00,10.00,1,,,,United States of America
850750 - Nickel-metal hydride,,10.00,10.00,1,,,,United States of America
850760 - Lithium-ion,,10.00,10.00,1,,,,United States of America
850780 - Other accumulators,,10.00,10.00,1,,,,United States of America
850790 - Parts,,5.00,5.00,1,,,,United States of America
"850811 -- Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,5.00,5.00,1,,,,United States of America
850819 -- Other,,5.00,5.00,1,,,,United States of America
850860 - Other vacuum cleaners,,5.00,5.00,1,,,,United States of America
850870 - Parts,,5.00,5.00,1,,,,United States of America
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,5.00,5.00,1,,,,United States of America
850980 - Other appliances,,5.00,5.00,1,,,,United States of America
850990 - Parts,,5.00,5.00,1,,,,United States of America
851010 - Shavers,,5.00,5.00,1,,,,United States of America
851020 - Hair clippers,,5.00,5.00,1,,,,United States of America
851030 - Hair-removing appliances,,5.00,5.00,1,,,,United States of America
851090 - Parts,,5.00,5.00,1,,,,United States of America
851110 - Sparking plugs,,5.00,5.00,1,,,,United States of America
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,5.00,5.00,1,,,,United States of America
851130 - Distributors; ignition coils,,5.00,5.00,1,,,,United States of America
851140 - Starter motors and dual purpose starter-generators,,5.00,5.00,1,,,,United States of America
851150 - Other generators,,5.00,5.00,1,,,,United States of America
851180 - Other equipment,,5.00,5.00,1,,,,United States of America
851190 - Parts,,5.00,5.00,1,,,,United States of America
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,5.00,5.00,1,,,,United States of America
851220 - Other lighting or visual signalling equipment,,5.00,5.00,1,,,,United States of America
851230 - Sound signalling equipment,,5.00,5.00,1,,,,United States of America
"851240 -Windscreen wipers, defrosters and demisters",,5.00,5.00,1,,,,United States of America
851290 - Parts,,5.00,5.00,1,,,,United States of America
