Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
880529 -- Other,,1.70,0.00,1,,1,,Cambodia
,2014,"6,157",3.07,0.00,21,,21,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Cambodia
880390 - Other,"6,157",1.95,0.00,4,,4,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Cambodia
880529 -- Other,,1.70,0.00,1,,1,,Cambodia
,2013,"4,127,384",3.07,0.00,21,,21,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Cambodia
880320 - Under-carriages and parts thereof,"44,529",2.70,0.00,1,,1,,Cambodia
880330 - Other parts of aeroplanes or helicopters,"4,082,855",2.70,0.00,1,,1,,Cambodia
880390 - Other,,1.95,0.00,4,,4,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Cambodia
880529 -- Other,,1.70,0.00,1,,1,,Cambodia
,2012,51,3.07,0.00,21,,21,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Cambodia
880390 - Other,51,1.95,0.00,4,,4,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Cambodia
880529 -- Other,,1.70,0.00,1,,1,,Cambodia
,2011,,3.07,0.00,21,,21,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Cambodia
880390 - Other,,1.95,0.00,4,,4,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Cambodia
880529 -- Other,,1.70,0.00,1,,1,,Cambodia
,2010,"5,608",3.07,3.07,21,,,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","2,055",3.20,3.20,2,,,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,Cambodia
880390 - Other,"2,095",1.95,1.95,4,,,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"1,458",2.70,2.70,1,,,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Cambodia
880529 -- Other,,1.70,1.70,1,,,,Cambodia
,2009,,3.07,3.07,21,,,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,Cambodia
880390 - Other,,1.95,1.95,4,,,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Cambodia
880529 -- Other,,1.70,1.70,1,,,,Cambodia
,2008,,3.07,3.07,21,,,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Cambodia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Cambodia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Cambodia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Cambodia
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Cambodia
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Cambodia
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,Cambodia
880390 - Other,,1.95,1.95,4,,,,Cambodia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Cambodia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Cambodia
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Cambodia
880529 -- Other,,1.70,1.70,1,,,,Cambodia
,2007,"54,614",3.07,3.07,21,,,,Cambodia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Cambodia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Cambodia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Cambodia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","54,614",7.70,7.70,1,,,,Cambodia
