Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Brazil,"21,566,631",,,,,,,"Korea, Republic of"
,2018,,22.65,22.65,49,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,34.00,34.00,15,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,20.00,20.00,1,,,,"Korea, Republic of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,"Korea, Republic of"
950490 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,"Korea, Republic of"
950590 - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950611 - - Skis,,20.00,20.00,1,,,,"Korea, Republic of"
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,"Korea, Republic of"
950619 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950621 - - Sailboards,,20.00,20.00,1,,,,"Korea, Republic of"
950629 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950631 - - Clubs, complete",,20.00,20.00,1,,,,"Korea, Republic of"
950632 - - Balls,,20.00,20.00,1,,,,"Korea, Republic of"
950639 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,"Korea, Republic of"
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,"Korea, Republic of"
950659 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,"Korea, Republic of"
950662 - - Inflatable,,20.00,20.00,1,,,,"Korea, Republic of"
950669 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,"Korea, Republic of"
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,1,,,,"Korea, Republic of"
950699 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950710 - Fishing rods,,20.00,20.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,,20.00,20.00,1,,,,"Korea, Republic of"
950790 - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,"Korea, Republic of"
950890 - Other,,5.00,5.00,4,,,,"Korea, Republic of"
,2017,"1,145,208",22.29,22.29,49,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","13,799",32.80,32.80,15,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","67,694",20.00,20.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,20.00,20.00,1,,,,"Korea, Republic of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",20,20.00,20.00,1,,,,"Korea, Republic of"
950490 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,"Korea, Republic of"
950590 - Other,434,20.00,20.00,1,,,,"Korea, Republic of"
950611 - - Skis,,20.00,20.00,1,,,,"Korea, Republic of"
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,"Korea, Republic of"
950619 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950621 - - Sailboards,,20.00,20.00,1,,,,"Korea, Republic of"
950629 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950631 - - Clubs, complete",,20.00,20.00,1,,,,"Korea, Republic of"
950632 - - Balls,978,20.00,20.00,1,,,,"Korea, Republic of"
950639 - - Other,"12,289",20.00,20.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,"3,885",20.00,20.00,1,,,,"Korea, Republic of"
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,"Korea, Republic of"
950659 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950661 - - Lawn-tennis balls,11,20.00,20.00,1,,,,"Korea, Republic of"
950662 - - Inflatable,,20.00,20.00,1,,,,"Korea, Republic of"
950669 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,"Korea, Republic of"
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","47,125",20.00,20.00,1,,,,"Korea, Republic of"
950699 - - Other,"63,685",20.00,20.00,1,,,,"Korea, Republic of"
950710 - Fishing rods,"1,278",20.00,20.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","521,901",20.00,20.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,"370,623",20.00,20.00,1,,,,"Korea, Republic of"
950790 - Other,"23,445",20.00,20.00,1,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,"Korea, Republic of"
950890 - Other,"18,041",5.00,5.00,4,,,,"Korea, Republic of"
,2016,"780,206",22.65,22.65,49,,,,"Korea, Republic of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","13,334",34.00,34.00,15,,,,"Korea, Republic of"
950420 - Articles and accessories for billiards of all kinds,"11,104",20.00,20.00,1,,,,"Korea, Republic of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","16,582",20.00,20.00,1,,,,"Korea, Republic of"
950440 - Playing cards,,20.00,20.00,1,,,,"Korea, Republic of"
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,"Korea, Republic of"
950490 - Other,,10.00,10.00,2,,,,"Korea, Republic of"
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,"Korea, Republic of"
950590 - Other,,20.00,20.00,1,,,,"Korea, Republic of"
950611 -- Skis,,20.00,20.00,1,,,,"Korea, Republic of"
950612 -- Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,"Korea, Republic of"
950619 -- Other,,20.00,20.00,1,,,,"Korea, Republic of"
950621 -- Sailboards,,20.00,20.00,1,,,,"Korea, Republic of"
950629 -- Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950631 -- Clubs, complete",,20.00,20.00,1,,,,"Korea, Republic of"
950632 -- Balls,"2,982",20.00,20.00,1,,,,"Korea, Republic of"
950639 -- Other,,20.00,20.00,1,,,,"Korea, Republic of"
950640 - Articles and equipment for table-tennis,"6,450",20.00,20.00,1,,,,"Korea, Republic of"
"950651 -- Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,"Korea, Republic of"
950659 -- Other,,20.00,20.00,1,,,,"Korea, Republic of"
950661 -- Lawn-tennis balls,,20.00,20.00,1,,,,"Korea, Republic of"
950662 -- Inflatable,,20.00,20.00,1,,,,"Korea, Republic of"
950669 -- Other,,20.00,20.00,1,,,,"Korea, Republic of"
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,"Korea, Republic of"
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","3,287",20.00,20.00,1,,,,"Korea, Republic of"
950699 -- Other,"20,359",20.00,20.00,1,,,,"Korea, Republic of"
950710 - Fishing rods,"4,377",20.00,20.00,1,,,,"Korea, Republic of"
"950720 - Fish-hooks, whether or not snelled","477,034",20.00,20.00,1,,,,"Korea, Republic of"
950730 - Fishing reels,"126,812",20.00,20.00,1,,,,"Korea, Republic of"
950790 - Other,"12,633",20.00,20.00,1,,,,"Korea, Republic of"
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,"Korea, Republic of"
950890 - Other,"85,252",5.00,5.00,4,,,,"Korea, Republic of"
,2015,"986,819",22.65,22.65,49,,,,"Korea, Republic of"
