Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
European Union,"63,774,482",,,,,,,Cambodia
,2018,,2.39,0.00,498,,352,,Cambodia
850110 - Motors of an output not exceeding 37.5 W,,3.20,0.00,4,,4,,Cambodia
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,0.00,1,,1,,Cambodia
850131 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Cambodia
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,1,,1,,Cambodia
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,0.00,1,,1,,Cambodia
850134 - - Of an output exceeding 375 kW,,2.70,0.00,1,,1,,Cambodia
"850140 - Other AC motors, single-phase",,2.70,0.00,2,,2,,Cambodia
850151 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Cambodia
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,3,,3,,Cambodia
850153 - - Of an output exceeding 75 kW,,2.70,0.00,4,,4,,Cambodia
850161 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Cambodia
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Cambodia
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,0.00,1,,1,,Cambodia
850164 - - Of an output exceeding 750 kVA,,2.70,0.00,1,,1,,Cambodia
850211 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Cambodia
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Cambodia
850213 - - Of an output exceeding 375 kVA,,2.70,0.00,3,,3,,Cambodia
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,0.00,4,,4,,Cambodia
850231 - - Wind-powered,,2.70,0.00,1,,1,,Cambodia
850239 - - Other,,2.70,0.00,2,,2,,Cambodia
850240 - Electric rotary converters,,2.70,0.00,1,,1,,Cambodia
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,0.00,3,,3,,Cambodia
850410 - Ballasts for discharge lamps or tubes,,3.70,0.00,2,,2,,Cambodia
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,0.00,1,,1,,Cambodia
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,0.00,2,,2,,Cambodia
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,3.70,0.00,1,,1,,Cambodia
850431 - - Having a power handling capacity not exceeding 1 kVA,,3.70,0.00,3,,3,,Cambodia
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,3.70,0.00,1,,1,,Cambodia
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,3.70,0.00,1,,1,,Cambodia
850434 - - Having a power handling capacity exceeding 500 kVA,,3.70,0.00,1,,1,,Cambodia
850440 - Static converters,,1.42,0.00,6,,5,,Cambodia
850450 - Other inductors,,0.95,0.00,2,,1,,Cambodia
850490 - Parts,,0.66,0.00,5,,3,,Cambodia
850511 - - Of metal,,2.20,0.00,1,,1,,Cambodia
850519 - - Other,,2.20,0.00,2,,2,,Cambodia
"850520 - Electro-magnetic couplings, clutches and brakes",,2.20,0.00,1,,1,,Cambodia
"850590 - Other, including parts",,1.45,0.00,4,,3,,Cambodia
850610 - Manganese dioxide,,4.70,0.00,4,,4,,Cambodia
