Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
India,"289,153",,,,,,,Cambodia
,2018,,20.00,20.00,55,,,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,Cambodia
950440 - Playing cards,,20.00,20.00,1,,,,Cambodia
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,Cambodia
950490 - Other,,20.00,20.00,3,,,,Cambodia
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,Cambodia
950590 - Other,,20.00,20.00,2,,,,Cambodia
950611 - - Skis,,20.00,20.00,1,,,,Cambodia
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,Cambodia
950619 - - Other,,20.00,20.00,1,,,,Cambodia
950621 - - Sailboards,,20.00,20.00,1,,,,Cambodia
950629 - - Other,,20.00,20.00,1,,,,Cambodia
"950631 - - Clubs, complete",,20.00,20.00,1,,,,Cambodia
950632 - - Balls,,20.00,20.00,1,,,,Cambodia
950639 - - Other,,20.00,20.00,1,,,,Cambodia
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,Cambodia
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,Cambodia
950659 - - Other,,20.00,20.00,2,,,,Cambodia
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,Cambodia
950662 - - Inflatable,,20.00,20.00,4,,,,Cambodia
950669 - - Other,,20.00,20.00,5,,,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,Cambodia
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,2,,,,Cambodia
950699 - - Other,,20.00,20.00,9,,,,Cambodia
950710 - Fishing rods,,20.00,20.00,1,,,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,Cambodia
950730 - Fishing reels,,20.00,20.00,1,,,,Cambodia
950790 - Other,,20.00,20.00,2,,,,Cambodia
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,Cambodia
950890 - Other,,20.00,20.00,1,,,,Cambodia
,2017,,9.09,9.09,55,,,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,10.00,10.00,4,,,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,Cambodia
950440 - Playing cards,,10.00,10.00,1,,,,Cambodia
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,Cambodia
950490 - Other,,10.00,10.00,3,,,,Cambodia
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,Cambodia
950590 - Other,,10.00,10.00,2,,,,Cambodia
