Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
European Union,"23,672,282",,,,,,,Russian Federation
,2018,,2.39,0.00,498,,352,,Russian Federation
850110 - Motors of an output not exceeding 37.5 W,,3.20,0.00,4,,4,,Russian Federation
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,0.00,1,,1,,Russian Federation
850131 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Russian Federation
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,1,,1,,Russian Federation
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,0.00,1,,1,,Russian Federation
850134 - - Of an output exceeding 375 kW,,2.70,0.00,1,,1,,Russian Federation
"850140 - Other AC motors, single-phase",,2.70,0.00,2,,2,,Russian Federation
850151 - - Of an output not exceeding 750 W,,2.70,0.00,1,,1,,Russian Federation
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,0.00,3,,3,,Russian Federation
850153 - - Of an output exceeding 75 kW,,2.70,0.00,4,,4,,Russian Federation
850161 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Russian Federation
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Russian Federation
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,0.00,1,,1,,Russian Federation
850164 - - Of an output exceeding 750 kVA,,2.70,0.00,1,,1,,Russian Federation
850211 - - Of an output not exceeding 75 kVA,,2.70,0.00,2,,2,,Russian Federation
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,0.00,1,,1,,Russian Federation
850213 - - Of an output exceeding 375 kVA,,2.70,0.00,3,,3,,Russian Federation
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,0.00,4,,4,,Russian Federation
850231 - - Wind-powered,,2.70,0.00,1,,1,,Russian Federation
850239 - - Other,,2.70,0.00,2,,2,,Russian Federation
850240 - Electric rotary converters,,2.70,0.00,1,,1,,Russian Federation
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,0.00,3,,3,,Russian Federation
850410 - Ballasts for discharge lamps or tubes,,3.70,0.00,2,,2,,Russian Federation
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,0.00,1,,1,,Russian Federation
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,0.00,2,,2,,Russian Federation
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,3.70,0.00,1,,1,,Russian Federation
850431 - - Having a power handling capacity not exceeding 1 kVA,,3.70,0.00,3,,3,,Russian Federation
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,3.70,0.00,1,,1,,Russian Federation
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,3.70,0.00,1,,1,,Russian Federation
850434 - - Having a power handling capacity exceeding 500 kVA,,3.70,0.00,1,,1,,Russian Federation
850440 - Static converters,,1.42,0.00,6,,5,,Russian Federation
850450 - Other inductors,,0.95,0.00,2,,1,,Russian Federation
850490 - Parts,,0.66,0.00,5,,3,,Russian Federation
850511 - - Of metal,,2.20,0.00,1,,1,,Russian Federation
850519 - - Other,,2.20,0.00,2,,2,,Russian Federation
"850520 - Electro-magnetic couplings, clutches and brakes",,2.20,0.00,1,,1,,Russian Federation
"850590 - Other, including parts",,1.45,0.00,4,,3,,Russian Federation
850610 - Manganese dioxide,,4.70,0.00,4,,4,,Russian Federation
850630 - Mercuric oxide,,4.70,0.00,1,,1,,Russian Federation
850640 - Silver oxide,,4.70,0.00,1,,1,,Russian Federation
850650 - Lithium,,4.70,0.00,3,,3,,Russian Federation
850660 - Air-zinc,,4.70,0.00,1,,1,,Russian Federation
850680 - Other primary cells and primary batteries,,2.35,0.00,2,,1,,Russian Federation
850690 - Parts,,4.70,0.00,1,,1,,Russian Federation
"850710 - Lead-acid, of a kind used for starting piston engines",,3.70,0.00,2,,2,,Russian Federation
850720 - Other lead-acid accumulators,,3.70,0.00,2,,2,,Russian Federation
850730 - Nickel-cadmium,,2.60,0.00,2,,2,,Russian Federation
850740 - Nickel-iron,,2.70,0.00,1,,1,,Russian Federation
850750 - Nickel-metal hydride,,2.70,0.00,1,,1,,Russian Federation
850760 - Lithium-ion,,2.70,0.00,1,,1,,Russian Federation
850780 - Other accumulators,,2.70,0.00,1,,1,,Russian Federation
850790 - Parts,,2.70,0.00,2,,2,,Russian Federation
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,2.20,0.00,1,,1,,Russian Federation
850819 - - Other,,1.70,0.00,1,,1,,Russian Federation
850860 - Other vacuum cleaners,,1.70,0.00,1,,1,,Russian Federation
850870 - Parts,,1.70,0.00,1,,1,,Russian Federation
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,2.20,0.00,1,,1,,Russian Federation
850980 - Other appliances,,2.20,0.00,1,,1,,Russian Federation
850990 - Parts,,2.20,0.00,1,,1,,Russian Federation
851010 - Shavers,,2.20,0.00,1,,1,,Russian Federation
851020 - Hair clippers,,2.20,0.00,1,,1,,Russian Federation
851030 - Hair-removing appliances,,2.20,0.00,1,,1,,Russian Federation
851090 - Parts,,2.20,0.00,1,,1,,Russian Federation
851110 - Sparking plugs,,3.20,0.00,1,,1,,Russian Federation
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,3.20,0.00,1,,1,,Russian Federation
851130 - Distributors; ignition coils,,3.20,0.00,1,,1,,Russian Federation
851140 - Starter motors and dual purpose starter-generators,,3.20,0.00,1,,1,,Russian Federation
851150 - Other generators,,3.20,0.00,1,,1,,Russian Federation
851180 - Other equipment,,3.20,0.00,1,,1,,Russian Federation
851190 - Parts,,3.20,0.00,1,,1,,Russian Federation
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,2.70,0.00,1,,1,,Russian Federation
851220 - Other lighting or visual signalling equipment,,2.70,0.00,1,,1,,Russian Federation
851230 - Sound signalling equipment,,2.45,0.00,2,,2,,Russian Federation
"851240 - Windscreen wipers, defrosters and demisters",,2.70,0.00,1,,1,,Russian Federation
851290 - Parts,,2.45,0.00,2,,2,,Russian Federation
851310 - Lamps,,5.70,0.00,1,,1,,Russian Federation
851390 - Parts,,5.70,0.00,1,,1,,Russian Federation
851410 - Resistance heated furnaces and ovens,,2.20,0.00,2,,2,,Russian Federation
851420 - Furnaces and ovens functioning by induction or dielectric loss,,2.20,0.00,2,,2,,Russian Federation
851430 - Other furnaces and ovens,,1.65,0.00,2,,2,,Russian Federation
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,2.20,0.00,1,,1,,Russian Federation
851490 - Parts,,1.65,0.00,2,,2,,Russian Federation
851511 - - Soldering irons and guns,,2.70,0.00,1,,1,,Russian Federation
851519 - - Other,,2.05,0.00,2,,2,,Russian Federation
851521 - - Fully or partly automatic,,2.70,0.00,1,,1,,Russian Federation
851529 - - Other,,2.70,0.00,1,,1,,Russian Federation
851531 - - Fully or partly automatic,,2.70,0.00,1,,1,,Russian Federation
851539 - - Other,,2.70,0.00,3,,3,,Russian Federation
851580 - Other machines and apparatus,,2.70,0.00,2,,2,,Russian Federation
851590 - Parts,,1.35,0.00,2,,1,,Russian Federation
851610 - Electric instantaneous or storage water heaters and immersion heaters,,2.70,0.00,2,,2,,Russian Federation
851621 - - Storage heating radiators,,2.70,0.00,1,,1,,Russian Federation
851629 - - Other,,2.70,0.00,4,,4,,Russian Federation
851631 - - Hair dryers,,2.70,0.00,1,,1,,Russian Federation
851632 - - Other hair-dressing apparatus,,2.70,0.00,1,,1,,Russian Federation
851633 - - Hand-drying apparatus,,2.70,0.00,1,,1,,Russian Federation
851640 - Electric smoothing irons,,2.70,0.00,1,,1,,Russian Federation
851650 - Microwave ovens,,5.00,0.00,1,,1,,Russian Federation
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,2.70,0.00,5,,5,,Russian Federation
851671 - - Coffee or tea makers,,2.70,0.00,1,,1,,Russian Federation
851672 - - Toasters,,2.70,0.00,1,,1,,Russian Federation
851679 - - Other,,2.70,0.00,2,,2,,Russian Federation
851680 - Electric heating resistors,,2.70,0.00,2,,2,,Russian Federation
851690 - Parts,,2.70,0.00,1,,1,,Russian Federation
851711 - - Line telephone sets with cordless handsets,,0.00,0.00,1,,,,Russian Federation
851712 - - Telephones for cellular networks or for other wireless networks,,0.00,0.00,1,,,,Russian Federation
851718 - - Other,,0.00,0.00,1,,,,Russian Federation
851761 - - Base stations,,0.00,0.00,1,,,,Russian Federation
"851762 - - Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,0.00,0.00,1,,,,Russian Federation
851769 - - Other,,0.00,0.00,4,,,,Russian Federation
851770 - Parts,,0.00,0.00,1,,,,Russian Federation
851810 - Microphones and stands therefor,,0.65,0.00,2,,1,,Russian Federation
"851821 - - Single loudspeakers, mounted in their enclosures",,0.00,0.00,1,,,,Russian Federation
"851822 - - Multiple loudspeakers, mounted in the same enclosure",,2.30,0.00,1,,1,,Russian Federation
851829 - - Other,,0.75,0.00,2,,1,,Russian Federation
"851830 - Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",,0.50,0.00,2,,1,,Russian Federation
851840 - Audio-frequency electric amplifiers,,1.90,0.00,2,,2,,Russian Federation
851850 - Electric sound amplifier sets,,1.00,0.00,1,,1,,Russian Federation
851890 - Parts,,1.00,0.00,1,,1,,Russian Federation
"851920 - Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment",,6.67,0.00,3,,3,,Russian Federation
851930 - Turntables (record-decks),,2.00,0.00,1,,1,,Russian Federation
851950 - Telephone answering machines,,0.00,0.00,1,,,,Russian Federation
"851981 - - Using magnetic, optical or semiconductor media",,1.71,0.00,10,,5,,Russian Federation
851989 - - Other,,0.00,0.00,1,,,,Russian Federation
852110 - Magnetic tape-type,,2.00,0.00,2,,1,,Russian Federation
852190 - Other,,10.40,0.00,1,,1,,Russian Federation
852210 - Pick-up cartridges,,4.00,0.00,1,,1,,Russian Federation
852290 - Other,,0.67,0.00,6,,2,,Russian Federation
