Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
950619 -- Other,"159,695",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"36,746",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",269,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,,2.70,2.70,1,,,,Russian Federation
950639 -- Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,"3,546",2.70,2.70,1,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",282,4.70,4.70,1,,,,Russian Federation
950659 -- Other,564,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,189,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,"185,016",2.70,2.70,1,,,,Russian Federation
950669 -- Other,476,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,031",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,750,106",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"3,940,367",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"45,181",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","11,708",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"11,753",3.70,3.70,1,,,,Russian Federation
950790 - Other,"129,984",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"5,246",1.70,1.70,1,,,,Russian Federation
950890 - Other,"1,116,826",1.70,1.70,1,,,,Russian Federation
,2015,"17,221,600",2.17,2.17,62,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,716,490",2.09,2.09,18,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"45,004",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","8,367,730",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"28,358",2.70,2.70,1,,,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","316,206",0.00,0.00,1,,,,Russian Federation
950490 - Other,"664,770",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"82,120",1.35,1.35,2,,,,Russian Federation
950590 - Other,"59,966",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"516,635",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"18,809",3.70,3.70,1,,,,Russian Federation
950619 -- Other,"186,670",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"10,766",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,,2.70,2.70,1,,,,Russian Federation
950639 -- Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,679,2.70,2.70,1,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",247,4.70,4.70,1,,,,Russian Federation
950659 -- Other,350,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,45,2.70,2.70,1,,,,Russian Federation
950669 -- Other,388,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","103,850",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,205,249",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"3,083,719",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"33,144",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","29,442",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"30,904",3.70,3.70,1,,,,Russian Federation
950790 - Other,"74,500",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"8,063",1.70,1.70,1,,,,Russian Federation
950890 - Other,"637,493",1.70,1.70,1,,,,Russian Federation
,2014,"28,461,843",2.17,2.17,62,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,338,737",2.09,2.09,18,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"3,647",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","16,578,298",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"5,084",2.70,2.70,1,,,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","419,239",0.00,0.00,1,,,,Russian Federation
950490 - Other,"488,761",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"121,133",1.35,1.35,2,,,,Russian Federation
950590 - Other,"70,081",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"616,836",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"20,762",3.70,3.70,1,,,,Russian Federation
950619 -- Other,"224,101",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"2,346,761",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,463,2.70,2.70,1,,,,Russian Federation
950639 -- Other,470,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,"2,027",2.70,2.70,1,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",375,4.70,4.70,1,,,,Russian Federation
950659 -- Other,,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,"99,022",2.70,2.70,1,,,,Russian Federation
950669 -- Other,348,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","12,546",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,555,017",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"2,807,939",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"25,582",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","27,978",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"2,602",3.70,3.70,1,,,,Russian Federation
950790 - Other,"91,458",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"6,521",1.70,1.70,1,,,,Russian Federation
950890 - Other,"596,055",1.70,1.70,1,,,,Russian Federation
,2013,"21,261,841",2.17,0.14,62,,41,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","3,669,979",2.09,0.47,18,,8,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"53,479",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","11,367,981",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"1,845",2.70,0.00,1,,1,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","128,327",0.00,0.00,1,,,,Russian Federation
950490 - Other,"654,124",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"95,671",1.35,0.00,2,,1,,Russian Federation
950590 - Other,"162,299",2.70,0.00,1,,1,,Russian Federation
950611 -- Skis,"1,276,042",3.70,0.00,4,,4,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"7,371",3.70,0.00,1,,1,,Russian Federation
950619 -- Other,"417,632",2.70,0.00,1,,1,,Russian Federation
950621 -- Sailboards,,2.70,0.00,1,,1,,Russian Federation
950629 -- Other,"11,607",2.70,0.00,1,,1,,Russian Federation
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Russian Federation
950632 -- Balls,345,2.70,0.00,1,,1,,Russian Federation
950639 -- Other,199,2.70,0.00,2,,2,,Russian Federation
950640 - Articles and equipment for table-tennis,"6,109",2.70,0.00,1,,1,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",372,4.70,0.00,1,,1,,Russian Federation
950659 -- Other,704,2.70,0.00,1,,1,,Russian Federation
950661 -- Lawn-tennis balls,106,2.70,0.00,1,,1,,Russian Federation
950662 -- Inflatable,27,2.70,0.00,1,,1,,Russian Federation
950669 -- Other,"1,899",1.35,0.00,2,,1,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","4,940",1.80,0.00,3,,2,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,184,728",2.70,0.00,2,,2,,Russian Federation
950699 -- Other,"1,910,850",1.35,0.00,2,,1,,Russian Federation
950710 - Fishing rods,"29,615",3.70,0.00,1,,1,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","8,167",2.70,0.00,2,,2,,Russian Federation
950730 - Fishing reels,"5,591",3.70,0.00,1,,1,,Russian Federation
950790 - Other,"45,989",3.70,0.00,1,,1,,Russian Federation
950810 - Travelling circuses and travelling menageries,"2,218",1.70,0.00,1,,1,,Russian Federation
950890 - Other,"213,625",1.70,0.00,1,,1,,Russian Federation
,2012,"16,410,425",2.17,0.14,62,,41,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,298,348",2.09,0.47,18,,8,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"7,237",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","8,597,982",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"5,478",2.70,0.00,1,,1,,Russian Federation
"950450 -Video game consoles and machines, other than those of subheading 9504.30","113,843",0.00,0.00,1,,,,Russian Federation
950490 - Other,"560,754",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"129,515",1.35,0.00,2,,1,,Russian Federation
950590 - Other,"82,815",2.70,0.00,1,,1,,Russian Federation
950611 -- Skis,"767,095",3.70,0.00,4,,4,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"19,949",3.70,0.00,1,,1,,Russian Federation
950619 -- Other,"377,558",2.70,0.00,1,,1,,Russian Federation
950621 -- Sailboards,,2.70,0.00,1,,1,,Russian Federation
950629 -- Other,"44,576",2.70,0.00,1,,1,,Russian Federation
"950631 -- Clubs, complete",257,2.70,0.00,1,,1,,Russian Federation
950632 -- Balls,643,2.70,0.00,1,,1,,Russian Federation
950639 -- Other,386,2.70,0.00,2,,2,,Russian Federation
950640 - Articles and equipment for table-tennis,"6,362",2.70,0.00,1,,1,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",578,4.70,0.00,1,,1,,Russian Federation
950659 -- Other,"1,105",2.70,0.00,1,,1,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Russian Federation
950662 -- Inflatable,246,2.70,0.00,1,,1,,Russian Federation
950669 -- Other,319,1.35,0.00,2,,1,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached",578,1.80,0.00,3,,2,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,003,162",2.70,0.00,2,,2,,Russian Federation
950699 -- Other,"1,942,761",1.35,0.00,2,,1,,Russian Federation
950710 - Fishing rods,"45,013",3.70,0.00,1,,1,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","15,746",2.70,0.00,2,,2,,Russian Federation
950730 - Fishing reels,"3,779",3.70,0.00,1,,1,,Russian Federation
950790 - Other,"121,770",3.70,0.00,1,,1,,Russian Federation
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Russian Federation
950890 - Other,"262,571",1.70,0.00,1,,1,,Russian Federation
,2011,"33,488,207",2.17,0.14,62,,41,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,092,440",2.09,0.47,18,,8,,Russian Federation
950410 - Video games of a kind used with a television receiver,"43,737",0.00,0.00,1,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"10,941",0.00,0.00,1,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","22,815,214",0.00,0.00,3,,,,Russian Federation
950440 - Playing cards,"6,779",2.70,0.00,1,,1,,Russian Federation
950490 - Other,"450,396",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"200,866",1.35,0.00,2,,1,,Russian Federation
950590 - Other,"80,694",2.70,0.00,1,,1,,Russian Federation
950611 -- Skis,"3,139,002",3.70,0.00,4,,4,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),"30,067",3.70,0.00,1,,1,,Russian Federation
950619 -- Other,"720,388",2.70,0.00,1,,1,,Russian Federation
950621 -- Sailboards,,2.70,0.00,1,,1,,Russian Federation
950629 -- Other,"6,849",2.70,0.00,1,,1,,Russian Federation
"950631 -- Clubs, complete","2,311",2.70,0.00,1,,1,,Russian Federation
950632 -- Balls,,2.70,0.00,1,,1,,Russian Federation
950639 -- Other,390,2.70,0.00,2,,2,,Russian Federation
950640 - Articles and equipment for table-tennis,292,2.70,0.00,1,,1,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Russian Federation
950659 -- Other,125,2.70,0.00,1,,1,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Russian Federation
950662 -- Inflatable,696,2.70,0.00,1,,1,,Russian Federation
950669 -- Other,125,1.35,0.00,2,,1,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","12,319",1.80,0.00,3,,2,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,394,506",2.70,0.00,2,,2,,Russian Federation
950699 -- Other,"2,189,198",1.35,0.00,2,,1,,Russian Federation
