Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Brazil,"961,002",,,,,,,India
,2018,,1.36,1.36,25,,,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,India
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,India
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,India
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,India
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,India
880330 - Other parts of aeroplanes or helicopters,,0.00,0.00,1,,,,India
880390 - Other,,0.00,0.00,1,,,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,India
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,India
880529 - - Other,,0.00,0.00,1,,,,India
,2017,"22,619",1.36,1.36,25,,,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,India
"880211 - - Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,India
"880212 - - Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,India
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,India
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,India
880330 - Other parts of aeroplanes or helicopters,"2,259",0.00,0.00,1,,,,India
880390 - Other,,0.00,0.00,1,,,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"20,360",14.00,14.00,1,,,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,India
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,India
880529 - - Other,,0.00,0.00,1,,,,India
,2016,,1.36,1.36,25,,,,India
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,20.00,20.00,1,,,,India
"880211 -- Of an unladen weight not exceeding 2,000 kg",,0.00,0.00,1,,,,India
"880212 -- Of an unladen weight exceeding 2,000 kg",,0.00,0.00,2,,,,India
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,0.00,0.00,4,,,,India
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,0.00,0.00,6,,,,India
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,0.00,0.00,2,,,,India
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,0.00,0.00,1,,,,India
880310 - Propellers and rotors and parts thereof,,0.00,0.00,1,,,,India
880320 - Under-carriages and parts thereof,,0.00,0.00,1,,,,India
880330 - Other parts of aeroplanes or helicopters,,0.00,0.00,1,,,,India
880390 - Other,,0.00,0.00,1,,,,India
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,14.00,14.00,1,,,,India
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,0.00,0.00,1,,,,India
880521 -- Air combat simulators and parts thereof,,0.00,0.00,1,,,,India
880529 -- Other,,0.00,0.00,1,,,,India
,2015,"118,114",1.36,1.36,25,,,,India
