Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
080910 - Apricots,,10.00,10.00,1,,,,Armenia
080921 -- Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,Armenia
080929 -- Other,,10.00,10.00,1,,,,Armenia
"080930 - Peaches, including nectarines",,10.00,10.00,2,,,,Armenia
080940 - Plums and sloes,,10.00,10.00,1,,,,Armenia
081010 - Strawberries,,10.00,10.00,1,,,,Armenia
"081020 - Raspberries, blackberries, mulberries and loganberries",,10.00,10.00,1,,,,Armenia
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,Armenia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,10.00,10.00,1,,,,Armenia
081050 - Kiwifruit,,10.00,10.00,1,,,,Armenia
081060 - Durians,,10.00,10.00,1,,,,Armenia
081070 - Persimmons,,10.00,10.00,1,,,,Armenia
081090 - Other,,10.00,10.00,1,,,,Armenia
081110 - Strawberries,,10.00,10.00,1,,,,Armenia
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,Armenia
081190 - Other,,10.00,10.00,1,,,,Armenia
081210 - Cherries,,10.00,10.00,1,,,,Armenia
081290 - Other,,10.00,10.00,1,,,,Armenia
081310 - Apricots,,10.00,10.00,1,,,,Armenia
081320 - Prunes,,10.00,10.00,2,,,,Armenia
081330 - Apples,,10.00,10.00,1,,,,Armenia
081340 - Other fruit,,10.00,10.00,2,,,,Armenia
081350 - Mixtures of nuts or dried fruits of this Chapter,,10.00,10.00,1,,,,Armenia
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,10.00,10.00,1,,,,Armenia
,2014,,10.50,10.50,74,,,,Armenia
080111 -- Desiccated,,32.50,32.50,2,,,,Armenia
080112 -- In the inner shell (endocarp),,10.00,10.00,1,,,,Armenia
080119 -- Other,,10.00,10.00,1,,,,Armenia
