Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
India,"50,605,506",,,,,,,Ukraine
,2018,,7.90,7.90,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Ukraine
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Ukraine
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Ukraine
880330 - Other parts of aeroplanes or helicopters,,3.00,3.00,1,,,,Ukraine
880390 - Other,,10.00,10.00,1,,,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Ukraine
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,Ukraine
880529 - - Other,,10.00,10.00,1,,,,Ukraine
,2017,,7.83,7.83,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
"880211 - - Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880212 - - Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Ukraine
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Ukraine
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Ukraine
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,Ukraine
880390 - Other,,10.00,10.00,1,,,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Ukraine
880521 - - Air combat simulators and parts thereof,,10.00,10.00,1,,,,Ukraine
880529 - - Other,,10.00,10.00,1,,,,Ukraine
,2016,"339,238",7.83,7.83,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Ukraine
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Ukraine
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Ukraine
880330 - Other parts of aeroplanes or helicopters,"339,238",2.50,2.50,1,,,,Ukraine
880390 - Other,,10.00,10.00,1,,,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Ukraine
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,Ukraine
880529 -- Other,,10.00,10.00,1,,,,Ukraine
,2015,"150,895",7.83,7.83,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Ukraine
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Ukraine
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Ukraine
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,Ukraine
880390 - Other,"150,594",10.00,10.00,1,,,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,301,10.00,10.00,2,,,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Ukraine
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,Ukraine
880529 -- Other,,10.00,10.00,1,,,,Ukraine
,2014,"1,688,523",7.83,7.83,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Ukraine
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Ukraine
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Ukraine
880330 - Other parts of aeroplanes or helicopters,,2.50,2.50,1,,,,Ukraine
880390 - Other,"1,688,523",10.00,10.00,1,,,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Ukraine
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,Ukraine
880529 -- Other,,10.00,10.00,1,,,,Ukraine
,2013,"214,120",7.83,7.83,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
"880211 -- Of an unladen weight not exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880212 -- Of an unladen weight exceeding 2,000 kg",,10.00,10.00,1,,,,Ukraine
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Ukraine
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Ukraine
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,10.00,10.00,1,,,,Ukraine
880310 - Propellers and rotors and parts thereof,,2.50,2.50,1,,,,Ukraine
880320 - Under-carriages and parts thereof,,2.50,2.50,1,,,,Ukraine
880330 - Other parts of aeroplanes or helicopters,"11,471",2.50,2.50,1,,,,Ukraine
880390 - Other,"202,649",10.00,10.00,1,,,,Ukraine
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,10.00,10.00,2,,,,Ukraine
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,10.00,10.00,3,,,,Ukraine
880521 -- Air combat simulators and parts thereof,,10.00,10.00,1,,,,Ukraine
880529 -- Other,,10.00,10.00,1,,,,Ukraine
,2012,"751,023",7.83,7.83,20,,,,Ukraine
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,10.00,10.00,3,,,,Ukraine
