Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"19,040,718,070",,,,,,,European Union
,2018,,10.05,10.05,414,,,,European Union
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,European Union
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,European Union
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,European Union
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,European Union
390190 - Other,,10.00,10.00,2,,,,European Union
390210 - Polypropylene,,10.00,10.00,1,,,,European Union
390220 - Polyisobutylene,,10.00,10.00,1,,,,European Union
390230 - Propylene copolymers,,10.00,10.00,1,,,,European Union
390290 - Other,,10.00,10.00,1,,,,European Union
390311 - - Expansible,,10.00,10.00,1,,,,European Union
390319 - - Other,,10.00,10.00,2,,,,European Union
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,European Union
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,European Union
390390 - Other,,10.00,10.00,3,,,,European Union
"390410 - Poly(vinyl chloride), not mixed with any other substances",,10.00,10.00,2,,,,European Union
390421 - - Non-plasticised,,10.00,10.00,2,,,,European Union
390422 - - Plasticised,,10.00,10.00,2,,,,European Union
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,European Union
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,European Union
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,European Union
390461 - - Polytetrafluoroethylene,,10.00,10.00,1,,,,European Union
390469 - - Other,,10.00,10.00,2,,,,European Union
390490 - Other,,10.00,10.00,1,,,,European Union
390512 - - In aqueous dispersion,,10.00,10.00,3,,,,European Union
390519 - - Other,,10.00,10.00,3,,,,European Union
390521 - - In aqueous dispersion,,10.00,10.00,1,,,,European Union
390529 - - Other,,10.00,10.00,1,,,,European Union
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,European Union
390591 - - Copolymers,,10.00,10.00,1,,,,European Union
390599 - - Other,,10.00,10.00,2,,,,European Union
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,European Union
390690 - Other,,10.00,10.00,4,,,,European Union
390710 - Polyacetals,,10.00,10.00,1,,,,European Union
390720 - Other polyethers,,10.00,10.00,2,,,,European Union
390730 - Epoxide resins,,10.00,10.00,2,,,,European Union
390740 - Polycarbonates,,10.00,10.00,1,,,,European Union
390750 - Alkyd resins,,10.00,10.00,1,,,,European Union
390761 - - Having a viscosity number of 78 ml/g or higher,,10.00,10.00,1,,,,European Union
390769 - - Other,,10.00,10.00,3,,,,European Union
390770 - Poly(lactic acid),,10.00,10.00,1,,,,European Union
390791 - - Unsaturated,,10.00,10.00,6,,,,European Union
390799 - - Other,,10.00,10.00,3,,,,European Union
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,European Union
390890 - Other,,10.00,10.00,3,,,,European Union
390910 - Urea resins; thiourea resins,,10.00,10.00,2,,,,European Union
390920 - Melamine resins,,10.00,10.00,2,,,,European Union
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,10.00,10.00,1,,,,European Union
390939 - - Other,,10.00,10.00,2,,,,European Union
390940 - Phenolic resins,,10.00,10.00,7,,,,European Union
390950 - Polyurethanes,,10.00,10.00,1,,,,European Union
391000 Silicones in primary forms.,,10.00,10.00,3,,,,European Union
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,2,,,,European Union
391190 - Other,,10.00,10.00,2,,,,European Union
391211 - - Non-plasticised,,10.00,10.00,5,,,,European Union
391212 - - Plasticised,,10.00,10.00,4,,,,European Union
