Importer,Year,Value,Ad val. duties,Number of lines,Costa Rica
,(US$),Simple average,MFN duties,Pref. duties,Costa Rica
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Costa Rica
European Union,"65,557,563",,,,,,,Costa Rica
,2018,,5.48,0.00,210,,179,,Costa Rica
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,0.00,2,,2,,Costa Rica
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.00,2,,1,,Costa Rica
390130 - Ethylene-vinyl acetate copolymers,,6.50,0.00,1,,1,,Costa Rica
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,0.00,1,,1,,Costa Rica
390190 - Other,,3.25,0.00,2,,1,,Costa Rica
390210 - Polypropylene,,6.50,0.00,1,,1,,Costa Rica
390220 - Polyisobutylene,,6.50,0.00,1,,1,,Costa Rica
390230 - Propylene copolymers,,6.50,0.00,1,,1,,Costa Rica
390290 - Other,,2.17,0.00,3,,1,,Costa Rica
390311 - - Expansible,,6.50,0.00,1,,1,,Costa Rica
390319 - - Other,,6.50,0.00,1,,1,,Costa Rica
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,Costa Rica
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,Costa Rica
390390 - Other,,2.17,0.00,3,,1,,Costa Rica
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,Costa Rica
390421 - - Non-plasticised,,6.50,0.00,1,,1,,Costa Rica
390422 - - Plasticised,,6.50,0.00,1,,1,,Costa Rica
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,Costa Rica
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,Costa Rica
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,Costa Rica
390461 - - Polytetrafluoroethylene,,6.50,0.00,1,,1,,Costa Rica
390469 - - Other,,4.33,0.00,3,,2,,Costa Rica
390490 - Other,,6.50,0.00,1,,1,,Costa Rica
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,Costa Rica
390519 - - Other,,6.50,0.00,1,,1,,Costa Rica
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,Costa Rica
390529 - - Other,,6.50,0.00,1,,1,,Costa Rica
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Costa Rica
390591 - - Copolymers,,6.50,0.00,1,,1,,Costa Rica
390599 - - Other,,3.25,0.00,2,,1,,Costa Rica
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,Costa Rica
390690 - Other,,0.93,0.00,7,,1,,Costa Rica
390710 - Polyacetals,,6.50,0.00,1,,1,,Costa Rica
390720 - Other polyethers,,4.88,0.00,4,,3,,Costa Rica
390730 - Epoxide resins,,6.50,0.00,1,,1,,Costa Rica
390740 - Polycarbonates,,6.50,0.00,1,,1,,Costa Rica
390750 - Alkyd resins,,6.50,0.00,1,,1,,Costa Rica
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,0.00,1,,1,,Costa Rica
390769 - - Other,,6.50,0.00,1,,1,,Costa Rica
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Costa Rica
390791 - - Unsaturated,,6.50,0.00,2,,2,,Costa Rica
390799 - - Other,,3.27,0.00,3,,2,,Costa Rica
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Costa Rica
390890 - Other,,6.50,0.00,1,,1,,Costa Rica
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Costa Rica
390920 - Melamine resins,,6.50,0.00,1,,1,,Costa Rica
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,Costa Rica
390939 - - Other,,6.50,0.00,1,,1,,Costa Rica
390940 - Phenolic resins,,6.50,0.00,1,,1,,Costa Rica
