Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
040900 Natural honey.,,,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,1.10,1,,,,Russian Federation
,2017,"790,887",12.05,12.05,258,133,,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Russian Federation
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Russian Federation
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Russian Federation
040221 - - Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 - - Other,,17.50,17.50,3,1,,,Russian Federation
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 - - Other,"102,597",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"24,054",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Russian Federation
040490 - Other,,12.50,12.50,5,2,,,Russian Federation
040510 - Butter,"5,751",,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,8.80,8,5,,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.42,9.42,21,9,,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.49,12.49,38,13,,,Russian Federation
"040630 - Processed cheese, not grated or powdered","27,557",12.04,12.04,36,13,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"122,908",11.22,11.22,50,15,,,Russian Federation
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Russian Federation
040719 - - Other,,,,1,1,,,Russian Federation
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Russian Federation
040729 - - Other,,,,1,1,,,Russian Federation
040790 - Others,,,,1,1,,,Russian Federation
040811 - - Dried,,,,1,1,,,Russian Federation
040819 - - Other,,,,1,1,,,Russian Federation
040891 - - Dried,,,,1,1,,,Russian Federation
040899 - - Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"508,020",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,1.10,1,,,,Russian Federation
,2016,"823,768",12.37,12.37,258,133,,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Russian Federation
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Russian Federation
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
040299 -- Other,"91,492",17.50,17.50,9,7,,,Russian Federation
040310 - Yogurt,"21,952",19.00,19.00,4,1,,,Russian Federation
040390 - Other,,19.00,19.00,20,17,,,Russian Federation
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,11.50,11.50,8,5,,,Russian Federation
040490 - Other,,12.50,12.50,5,2,,,Russian Federation
040510 - Butter,"6,800",,,3,3,,,Russian Federation
040520 - Dairy spreads,,8.80,8.80,8,5,,,Russian Federation
040590 - Other,,10.00,10.00,3,1,,,Russian Federation
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,9.88,9.88,21,9,,,Russian Federation
"040620 - Grated or powdered cheese, of all kinds",,12.93,12.93,38,13,,,Russian Federation
"040630 - Processed cheese, not grated or powdered","47,713",12.54,12.54,36,13,,,Russian Federation
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,13.38,13.38,9,1,,,Russian Federation
040690 - Other cheese,"55,563",11.59,11.59,50,15,,,Russian Federation
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Russian Federation
040719 -- Other,,,,1,1,,,Russian Federation
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Russian Federation
040729 -- Other,,,,1,1,,,Russian Federation
040790 - Others,,,,1,1,,,Russian Federation
040811 -- Dried,,,,1,1,,,Russian Federation
040819 -- Other,,,,1,1,,,Russian Federation
040891 -- Dried,,,,1,1,,,Russian Federation
040899 -- Other,,,,1,1,,,Russian Federation
040900 Natural honey.,"600,248",,,1,1,,,Russian Federation
"041000 Edible products of animal origin, not elsewhere specified or included.",,1.10,1.10,1,,,,Russian Federation
,2015,"768,698",12.29,12.29,258,133,,,Russian Federation
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,1,1,,,Russian Federation
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,2,2,,,Russian Federation
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,3,3,,,Russian Federation
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Russian Federation
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,3,3,,,Russian Federation
040221 -- Not containing added sugar or other sweetening matter,,,,9,9,,,Russian Federation
040229 -- Other,,17.50,17.50,3,1,,,Russian Federation
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Russian Federation
