Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
080522 - - Clementines,,10.00,10.00,1,,,,Cambodia
080529 - - Other,,10.00,10.00,1,,,,Cambodia
"080540 - Grapefruit, including pomelos",,10.00,10.00,1,,,,Cambodia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,10.00,10.00,1,,,,Cambodia
080590 - Other,,10.00,10.00,1,,,,Cambodia
080610 - Fresh,,10.00,10.00,1,,,,Cambodia
080620 - Dried,,10.00,10.00,1,,,,Cambodia
080711 - - Watermelons,,10.00,10.00,1,,,,Cambodia
080719 - - Other,,10.00,10.00,1,,,,Cambodia
080720 - Papaws (papayas),,10.00,10.00,1,,,,Cambodia
080810 - Apples,,10.00,10.00,1,,,,Cambodia
080830 - Pears,,10.00,10.00,1,,,,Cambodia
080840 - Quinces,,10.00,10.00,1,,,,Cambodia
080910 - Apricots,,10.00,10.00,1,,,,Cambodia
080921 - - Sour cherries (Prunus cerasus),,10.00,10.00,1,,,,Cambodia
080929 - - Other,,10.00,10.00,1,,,,Cambodia
"080930 - Peaches, including nectarines",,10.00,10.00,2,,,,Cambodia
080940 - Plums and sloes,,10.00,10.00,1,,,,Cambodia
081010 - Strawberries,,10.00,10.00,1,,,,Cambodia
"081020 - Raspberries, blackberries, mulberries and loganberries",,10.00,10.00,1,,,,Cambodia
"081030 - Black, white or red currants and gooseberries",,10.00,10.00,1,,,,Cambodia
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,10.00,10.00,1,,,,Cambodia
081050 - Kiwifruit,,10.00,10.00,1,,,,Cambodia
081060 - Durians,,10.00,10.00,1,,,,Cambodia
081070 - Persimmons,,10.00,10.00,1,,,,Cambodia
081090 - Other,,10.00,10.00,8,,,,Cambodia
081110 - Strawberries,,10.00,10.00,1,,,,Cambodia
