Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
170191 -- Containing added flavouring or colouring matter,871,16.00,16.00,1,,,,China
170199 -- Other,"5,298",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,"56,230",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,099,195",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","12,881",16.00,16.00,2,,,,China
170250 - Chemically pure fructose,"200,304",16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","56,738",16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","1,673,754",16.00,16.00,1,,,,China
170310 - Cane molasses,214,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","651,332",20.00,20.00,1,,,,China
170490 - Other,"4,631,782",20.00,20.00,3,,,,China
,2013,"9,062,781",16.70,16.70,23,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,China
170114 -- Other cane sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,128,16.00,16.00,1,,,,China
170199 -- Other,"6,762",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",150,16.00,16.00,1,,,,China
170219 -- Other,"45,730",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,793,672",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,"145,708",16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","20,431",16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","364,726",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","426,201",20.00,20.00,1,,,,China
170490 - Other,"5,259,273",20.00,20.00,3,,,,China
,2012,"8,386,941",16.70,16.70,23,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,16.00,16.00,1,,,,China
170114 -- Other cane sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,"4,149",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","93,600",16.00,16.00,1,,,,China
170219 -- Other,"43,074",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","2,269,528",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,"228,208",16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","3,709",16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","167,125",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","595,046",20.00,20.00,1,,,,China
170490 - Other,"4,982,502",20.00,20.00,3,,,,China
,2011,"5,012,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,"2,000",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,"31,000",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,582,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,"58,000",16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","1,000",16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","192,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","278,000",20.00,20.00,1,,,,China
170490 - Other,"2,868,000",20.00,20.00,3,,,,China
,2010,"2,419,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,"1,000",16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,"2,000",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,"31,000",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,003,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,"16,000",16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","79,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","175,000",20.00,20.00,1,,,,China
170490 - Other,"1,112,000",20.00,20.00,3,,,,China
,2009,"1,637,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,"1,000",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,"37,000",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","438,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar","11,000",16.00,16.00,2,,,,China
170250 - Chemically pure fructose,,16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","11,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","402,000",20.00,20.00,1,,,,China
170490 - Other,"737,000",20.00,20.00,3,,,,China
,2008,"3,982,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,,16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,"27,000",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","1,161,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,,16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","17,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,"1,016,000",16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","707,000",20.00,20.00,1,,,,China
170490 - Other,"1,054,000",20.00,20.00,3,,,,China
,2007,"2,038,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,"2,000",16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,"12,000",16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","768,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,,16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose",,16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,"573,000",16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","67,000",20.00,20.00,1,,,,China
170490 - Other,"616,000",20.00,20.00,3,,,,China
,2006,"1,120,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,,16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,,16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","723,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,,16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","84,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","38,000",20.00,20.00,1,,,,China
170490 - Other,"275,000",20.00,20.00,3,,,,China
,2005,"801,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,,16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,,16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","516,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,,16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","1,000",16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","109,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","62,000",20.00,20.00,1,,,,China
170490 - Other,"113,000",20.00,20.00,3,,,,China
,2004,"586,000",16.73,16.73,22,,,,China
170111 -- Cane sugar,,16.00,16.00,1,,,,China
170112 -- Beet sugar,,16.00,16.00,1,,,,China
170191 -- Containing added flavouring or colouring matter,,16.00,16.00,1,,,,China
170199 -- Other,,16.00,16.00,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,16.00,16.00,1,,,,China
170219 -- Other,,16.00,16.00,1,,,,China
170220 - Maple sugar and maple syrup,,16.00,16.00,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","442,000",16.00,16.00,3,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
170250 - Chemically pure fructose,,16.00,16.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",,16.00,16.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","34,000",16.00,16.00,1,,,,China
170310 - Cane molasses,,16.00,16.00,1,,,,China
170390 - Other,,16.00,16.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,20.00,20.00,1,,,,China
170490 - Other,"110,000",20.00,20.00,3,,,,China
,2003,"328,000",18.23,18.23,22,,,,China
170111 -- Cane sugar,,17.50,17.50,1,,,,China
170112 -- Beet sugar,,17.50,17.50,1,,,,China
170191 -- Containing added flavouring or colouring matter,,17.50,17.50,1,,,,China
170199 -- Other,,17.50,17.50,1,,,,China
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,17.50,17.50,1,,,,China
170219 -- Other,,17.50,17.50,1,,,,China
170220 - Maple sugar and maple syrup,,17.50,17.50,1,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","201,000",17.50,17.50,3,,,,China
