Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
European Union,"7,870,284",,,,,,,Cambodia
,2018,,6.67,0.00,125,24,106,,Cambodia
080111 - - Desiccated,,0.00,0.00,1,,,,Cambodia
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Cambodia
080119 - - Other,,0.00,0.00,1,,,,Cambodia
080121 - - In shell,,0.00,0.00,1,,,,Cambodia
080122 - - Shelled,,0.00,0.00,1,,,,Cambodia
080131 - - In shell,,0.00,0.00,1,,,,Cambodia
080132 - - Shelled,,0.00,0.00,1,,,,Cambodia
080211 - - In shell,,2.80,0.00,2,,1,,Cambodia
080212 - - Shelled,,1.75,0.00,2,,1,,Cambodia
080221 - - In shell,,3.20,0.00,1,,1,,Cambodia
080222 - - Shelled,,3.20,0.00,1,,1,,Cambodia
080231 - - In shell,,4.00,0.00,1,,1,,Cambodia
080232 - - Shelled,,5.10,0.00,1,,1,,Cambodia
080241 - - In shell,,5.60,0.00,1,,1,,Cambodia
080242 - - Shelled,,5.60,0.00,1,,1,,Cambodia
080251 - - In shell,,1.60,0.00,1,,1,,Cambodia
080252 - - Shelled,,1.60,0.00,1,,1,,Cambodia
080261 - - In shell,,2.00,0.00,1,,1,,Cambodia
080262 - - Shelled,,2.00,0.00,1,,1,,Cambodia
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Cambodia
080280 - Areca nuts,,0.00,0.00,1,,,,Cambodia
080290 - Other,,1.33,0.00,3,,2,,Cambodia
080310 - Plantains,,16.00,0.00,2,,2,,Cambodia
080390 - Other,,16.00,0.00,2,1,2,,Cambodia
080410 - Dates,,7.70,0.00,1,,1,,Cambodia
080420 - Figs,,6.80,0.00,2,,2,,Cambodia
080430 - Pineapples,,5.80,0.00,1,,1,,Cambodia
080440 - Avocados,,4.00,0.00,1,,1,,Cambodia
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Cambodia
080510 - Oranges,,16.00,0.00,4,3,4,,Cambodia
080521 - - Mandarins (including tangerines and satsumas),,,0.00,2,2,2,,Cambodia
080522 - - Clementines,,,0.00,1,1,1,,Cambodia
080529 - - Other,,,0.00,1,1,1,,Cambodia
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Cambodia
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,2,,Cambodia
080590 - Other,,12.80,0.00,1,,1,,Cambodia
080610 - Fresh,,14.40,0.00,2,1,2,,Cambodia
080620 - Dried,,2.40,0.00,3,,3,,Cambodia
080711 - - Watermelons,,8.80,0.00,1,,1,,Cambodia
080719 - - Other,,8.80,0.00,1,,1,,Cambodia
080720 - Papaws (papayas),,0.00,0.00,1,,,,Cambodia
080810 - Apples,,,0.00,2,2,2,,Cambodia
080830 - Pears,,,0.00,2,2,2,,Cambodia
080840 - Quinces,,7.20,0.00,1,,1,,Cambodia
080910 - Apricots,,,0.00,1,1,1,,Cambodia
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Cambodia
080929 - - Other,,,0.00,1,1,1,,Cambodia
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Cambodia
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Cambodia
081010 - Strawberries,,11.20,0.00,1,,1,,Cambodia
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Cambodia
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Cambodia
