Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
European Union,"28,125,350,160",,,,,,,South Africa
,2018,,6.65,0.00,199,,188,,South Africa
870110 - Single axle tractors,,3.00,0.00,1,,1,,South Africa
870120 - Road tractors for semi-trailers,,16.00,0.00,2,,2,,South Africa
870130 - Track-laying tractors,,0.00,0.00,1,,,,South Africa
870191 - - Not exceeding 18 kW,,3.50,0.00,2,,1,,South Africa
870192 - - Exceeding 18 kW but not exceeding 37 kW,,3.50,0.00,2,,1,,South Africa
870193 - - Exceeding 37 kW but not exceeding 75 kW,,3.50,0.00,2,,1,,South Africa
870194 - - Exceeding 75 kW but not exceeding 130 kW,,3.50,0.00,2,,1,,South Africa
870195 - - Exceeding 130 kW,,3.50,0.00,2,,1,,South Africa
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,0.00,4,,4,,South Africa
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,13.00,0.00,2,,2,,South Africa
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,13.00,0.00,2,,2,,South Africa
870240 - With only electric motor for propulsion,,10.00,0.00,1,,1,,South Africa
870290 - Other,,12.40,0.00,5,,5,,South Africa
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,0.00,2,,2,,South Africa
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,10.00,0.00,2,,2,,South Africa
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,0.00,2,,2,,South Africa
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,10.00,0.00,3,,3,,South Africa
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,10.00,0.00,2,,2,,South Africa
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,10.00,0.00,2,,2,,South Africa
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,0.00,3,,3,,South Africa
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,10.00,0.00,3,,3,,South Africa
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,0.00,2,,2,,South Africa
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,0.00,1,,1,,South Africa
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,0.00,2,,2,,South Africa
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,0.00,1,,1,,South Africa
"870380 - Other vehicles, with only electric motor for propulsion",,10.00,0.00,2,,2,,South Africa
870390 - Other,,10.00,0.00,1,,1,,South Africa
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,South Africa
870421 - - g.v.w. not exceeding 5 tonnes,,13.50,0.00,5,,5,,South Africa
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.83,0.00,3,,3,,South Africa
870423 - - g.v.w. exceeding 20 tonnes,,15.83,0.00,3,,3,,South Africa
870431 - - g.v.w. not exceeding 5 tonnes,,13.50,0.00,5,,5,,South Africa
870432 - - g.v.w. exceeding 5 tonnes,,15.83,0.00,3,,3,,South Africa
870490 - Other,,10.00,0.00,1,,1,,South Africa
870510 - Crane lorries,,3.70,0.00,1,,1,,South Africa
870520 - Mobile drilling derricks,,3.70,0.00,1,,1,,South Africa
870530 - Fire fighting vehicles,,3.70,0.00,1,,1,,South Africa
870540 - Concrete-mixer lorries,,3.70,0.00,1,,1,,South Africa
870590 - Other,,3.70,0.00,2,,2,,South Africa
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,0.00,4,,4,,South Africa
870710 - For the vehicles of heading 87.03,,4.50,0.00,2,,2,,South Africa
870790 - Other,,4.50,0.00,2,,2,,South Africa
870810 - Bumpers and parts thereof,,3.75,0.00,2,,2,,South Africa
870821 - - Safety seat belts,,3.75,0.00,2,,2,,South Africa
870829 - - Other,,3.75,0.00,2,,2,,South Africa
870830 - Brakes and servo-brakes; parts thereof,,4.00,0.00,3,,3,,South Africa
870840 - Gear boxes and parts thereof,,3.88,0.00,4,,4,,South Africa
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof",,4.00,0.00,5,,5,,South Africa
870870 - Road wheels and parts and accessories thereof,,3.75,0.00,4,,4,,South Africa
870880 - Suspension systems and parts thereof (including shock-absorbers),,3.80,0.00,5,,5,,South Africa
870891 - - Radiators and parts thereof,,3.88,0.00,4,,4,,South Africa
870892 - - Silencers (mufflers) and exhaust pipes; parts thereof,,3.88,0.00,4,,4,,South Africa
870893 - - Clutches and parts thereof,,3.75,0.00,2,,2,,South Africa
"870894 - - Steering wheels, steering columns and steering boxes; parts thereof",,3.88,0.00,4,,4,,South Africa
870895 - - Safety airbags with inflater system; parts thereof,,3.67,0.00,3,,3,,South Africa
870899 - - Other,,3.67,0.00,3,,3,,South Africa
870911 - - Electrical,,3.00,0.00,2,,2,,South Africa
870919 - - Other,,3.00,0.00,2,,2,,South Africa
870990 - Parts,,3.50,0.00,1,,1,,South Africa
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,0.00,1,,1,,South Africa
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,8.00,0.00,1,,1,,South Africa
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,0.00,3,,3,,South Africa
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,,6.00,0.00,2,,2,,South Africa
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,,6.00,0.00,1,,1,,South Africa
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,6.00,0.00,1,,1,,South Africa
871160 - With electric motor for propulsion,,6.00,0.00,2,,2,,South Africa
871190 - Other,,6.00,0.00,1,,1,,South Africa
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,14.50,0.00,2,,2,,South Africa
871310 - Not mechanically propelled,,0.00,0.00,1,,,,South Africa
871390 - Other,,0.00,0.00,1,,,,South Africa
871410 - Of motorcycles (including mopeds),,3.70,0.00,6,,6,,South Africa
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,South Africa
"871491 - - Frames and forks, and parts thereof",,4.70,0.00,3,,3,,South Africa
871492 - - Wheel rims and spokes,,4.70,0.00,2,,2,,South Africa
"871493 - - Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels",,4.70,0.00,1,,1,,South Africa
"871494 - - Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,0.00,2,,2,,South Africa
871495 - - Saddles,,4.70,0.00,1,,1,,South Africa
"871496 - - Pedals and crank-gear, and parts thereof",,4.70,0.00,3,,3,,South Africa
871499 - - Other,,4.70,0.00,4,,4,,South Africa
871500 Baby carriages and parts thereof.,,2.70,0.00,2,,2,,South Africa
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,0.00,2,,2,,South Africa
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,0.00,1,,1,,South Africa
871631 - - Tanker trailers and tanker semi-trailers,,2.70,0.00,1,,1,,South Africa
871639 - - Other,,2.70,0.00,4,,4,,South Africa
871640 - Other trailers and semi-trailers,,2.70,0.00,1,,1,,South Africa
871680 - Other vehicles,,1.70,0.00,1,,1,,South Africa
871690 - Parts,,1.70,0.00,4,,4,,South Africa
,2017,"4,682,777,673",6.65,0.00,199,,188,,South Africa
870110 - Single axle tractors,,3.00,0.00,1,,1,,South Africa
870120 - Road tractors for semi-trailers,8,16.00,0.00,2,,2,,South Africa
870130 - Track-laying tractors,"84,062",0.00,0.00,1,,,,South Africa
870191 - - Not exceeding 18 kW,"44,819",3.50,0.00,2,,1,,South Africa
870192 - - Exceeding 18 kW but not exceeding 37 kW,"14,629",3.50,0.00,2,,1,,South Africa
870193 - - Exceeding 37 kW but not exceeding 75 kW,205,3.50,0.00,2,,1,,South Africa
870194 - - Exceeding 75 kW but not exceeding 130 kW,"90,974",3.50,0.00,2,,1,,South Africa
870195 - - Exceeding 130 kW,,3.50,0.00,2,,1,,South Africa
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),3,13.00,0.00,4,,4,,South Africa
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,"6,383",13.00,0.00,2,,2,,South Africa
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,13.00,0.00,2,,2,,South Africa
870240 - With only electric motor for propulsion,56,10.00,0.00,1,,1,,South Africa
870290 - Other,"59,255",12.40,0.00,5,,5,,South Africa
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,194,7.50,0.00,2,,2,,South Africa
"870321 - - Of a cylinder capacity not exceeding 1,000 cc","196,210,035",10.00,0.00,2,,2,,South Africa
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc","360,719,944",10.00,0.00,2,,2,,South Africa
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","612,712,523",10.00,0.00,3,,3,,South Africa
"870324 - - Of a cylinder capacity exceeding 3,000 cc","1,595,504",10.00,0.00,2,,2,,South Africa
"870331 - - Of a cylinder capacity not exceeding 1,500 cc","113,061,605",10.00,0.00,2,,2,,South Africa
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","1,529,236,559",10.00,0.00,3,,3,,South Africa
"870333 - - Of a cylinder capacity exceeding 2,500 cc","779,037,938",10.00,0.00,3,,3,,South Africa
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power","7,790",10.00,0.00,2,,2,,South Africa
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power","11,686",10.00,0.00,1,,1,,South Africa
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power","71,571,492",10.00,0.00,2,,2,,South Africa
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power","1,608,587",10.00,0.00,1,,1,,South Africa
"870380 - Other vehicles, with only electric motor for propulsion",15,10.00,0.00,2,,2,,South Africa
870390 - Other,"89,263",10.00,0.00,1,,1,,South Africa
870410 - Dumpers designed for off-highway use,"62,489,343",0.00,0.00,2,,,,South Africa
870421 - - g.v.w. not exceeding 5 tonnes,"741,046,447",13.50,0.00,5,,5,,South Africa
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,"114,969",15.83,0.00,3,,3,,South Africa
870423 - - g.v.w. exceeding 20 tonnes,"1,084,639",15.83,0.00,3,,3,,South Africa
870431 - - g.v.w. not exceeding 5 tonnes,"499,555",13.50,0.00,5,,5,,South Africa
870432 - - g.v.w. exceeding 5 tonnes,,15.83,0.00,3,,3,,South Africa
870490 - Other,"3,558",10.00,0.00,1,,1,,South Africa
870510 - Crane lorries,"525,630",3.70,0.00,1,,1,,South Africa
870520 - Mobile drilling derricks,,3.70,0.00,1,,1,,South Africa
870530 - Fire fighting vehicles,,3.70,0.00,1,,1,,South Africa
870540 - Concrete-mixer lorries,,3.70,0.00,1,,1,,South Africa
870590 - Other,"1,472",3.70,0.00,2,,2,,South Africa
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",991,9.88,0.00,4,,4,,South Africa
870710 - For the vehicles of heading 87.03,"159,644",4.50,0.00,2,,2,,South Africa
870790 - Other,"7,543",4.50,0.00,2,,2,,South Africa
870810 - Bumpers and parts thereof,"15,065,119",3.75,0.00,2,,2,,South Africa
870821 - - Safety seat belts,"101,058",3.75,0.00,2,,2,,South Africa
870829 - - Other,"39,182,579",3.75,0.00,2,,2,,South Africa
870830 - Brakes and servo-brakes; parts thereof,"5,575,331",4.00,0.00,3,,3,,South Africa
870840 - Gear boxes and parts thereof,"1,732,713",3.88,0.00,4,,4,,South Africa
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof","5,386,750",4.00,0.00,5,,5,,South Africa
870870 - Road wheels and parts and accessories thereof,"16,461,426",3.75,0.00,4,,4,,South Africa
870880 - Suspension systems and parts thereof (including shock-absorbers),"27,929,636",3.80,0.00,5,,5,,South Africa
870891 - - Radiators and parts thereof,"8,514,598",3.88,0.00,4,,4,,South Africa
870892 - - Silencers (mufflers) and exhaust pipes; parts thereof,"31,862,377",3.88,0.00,4,,4,,South Africa
870893 - - Clutches and parts thereof,"25,584,186",3.75,0.00,2,,2,,South Africa
"870894 - - Steering wheels, steering columns and steering boxes; parts thereof","9,780,493",3.88,0.00,4,,4,,South Africa
870895 - - Safety airbags with inflater system; parts thereof,"294,600",3.67,0.00,3,,3,,South Africa
870899 - - Other,"16,678,103",3.67,0.00,3,,3,,South Africa
870911 - - Electrical,,3.00,0.00,2,,2,,South Africa
870919 - - Other,309,3.00,0.00,2,,2,,South Africa
870990 - Parts,30,3.50,0.00,1,,1,,South Africa
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.","142,069",1.70,0.00,1,,1,,South Africa
871110 - With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,14,8.00,0.00,1,,1,,South Africa
871120 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,"19,836",8.00,0.00,3,,3,,South Africa
871130 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,"70,467",6.00,0.00,2,,2,,South Africa
871140 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,"33,159",6.00,0.00,1,,1,,South Africa
871150 - With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,"652,194",6.00,0.00,1,,1,,South Africa
871160 - With electric motor for propulsion,"9,968",6.00,0.00,2,,2,,South Africa
871190 - Other,"2,144",6.00,0.00,1,,1,,South Africa
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.","66,180",14.50,0.00,2,,2,,South Africa
871310 - Not mechanically propelled,"1,503",0.00,0.00,1,,,,South Africa
871390 - Other,"5,270",0.00,0.00,1,,,,South Africa
871410 - Of motorcycles (including mopeds),"1,105,428",3.70,0.00,6,,6,,South Africa
871420 - Of carriages for disabled persons,473,0.00,0.00,1,,,,South Africa
"871491 - - Frames and forks, and parts thereof","501,234",4.70,0.00,3,,3,,South Africa
871492 - - Wheel rims and spokes,"623,892",4.70,0.00,2,,2,,South Africa
"871493 - - Hubs, other than coaster braking hubs and hub brakes, and free-wheel sprocket-wheels","10,747",4.70,0.00,1,,1,,South Africa
"871494 - - Brakes, including coaster braking hubs and hub brakes, and parts thereof",331,4.70,0.00,2,,2,,South Africa
871495 - - Saddles,467,4.70,0.00,1,,1,,South Africa
"871496 - - Pedals and crank-gear, and parts thereof","2,320",4.70,0.00,3,,3,,South Africa
871499 - - Other,"371,029",4.70,0.00,4,,4,,South Africa
871500 Baby carriages and parts thereof.,"12,630",2.70,0.00,2,,2,,South Africa
"871610 - Trailers and semi-trailers of the caravan type, for housing or camping","289,245",2.70,0.00,2,,2,,South Africa
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,0.00,1,,1,,South Africa
871631 - - Tanker trailers and tanker semi-trailers,"1,954,902",2.70,0.00,1,,1,,South Africa
