Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
Brazil,"344,787,011",,,,,,,South Africa
,2018,,22.38,22.38,156,,,,South Africa
870110 - Single axle tractors,,14.00,14.00,1,,,,South Africa
870120 - Road tractors for semi-trailers,,35.00,35.00,1,,,,South Africa
870130 - Track-laying tractors,,14.00,14.00,1,,,,South Africa
870191 - - Not exceeding 18 kW,,14.00,14.00,1,,,,South Africa
870192 - - Exceeding 18 kW but not exceeding 37 kW,,14.00,14.00,1,,,,South Africa
870193 - - Exceeding 37 kW but not exceeding 75 kW,,14.00,14.00,1,,,,South Africa
870194 - - Exceeding 75 kW but not exceeding 130 kW,,7.00,7.00,2,,,,South Africa
870195 - - Exceeding 130 kW,,7.00,7.00,2,,,,South Africa
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,35.00,35.00,1,,,,South Africa
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,35.00,35.00,1,,,,South Africa
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,35.00,35.00,1,,,,South Africa
870240 - With only electric motor for propulsion,,35.00,35.00,2,,,,South Africa
870290 - Other,,35.00,35.00,1,,,,South Africa
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,35.00,35.00,1,,,,South Africa
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,35.00,35.00,1,,,,South Africa
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,35.00,35.00,2,,,,South Africa
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,35.00,35.00,2,,,,South Africa
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,35.00,35.00,2,,,,South Africa
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,35.00,35.00,2,,,,South Africa
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,35.00,35.00,2,,,,South Africa
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,35.00,35.00,2,,,,South Africa
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,South Africa
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,South Africa
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,South Africa
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,35.00,35.00,1,,,,South Africa
"870380 - Other vehicles, with only electric motor for propulsion",,35.00,35.00,1,,,,South Africa
870390 - Other,,35.00,35.00,1,,,,South Africa
870410 - Dumpers designed for off-highway use,,7.00,7.00,2,,,,South Africa
870421 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,South Africa
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,35.00,35.00,4,,,,South Africa
870423 - - g.v.w. exceeding 20 tonnes,,27.80,27.80,5,,,,South Africa
870431 - - g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,South Africa
870432 - - g.v.w. exceeding 5 tonnes,,35.00,35.00,4,,,,South Africa
870490 - Other,,35.00,35.00,1,,,,South Africa
870510 - Crane lorries,,17.50,17.50,2,,,,South Africa
870520 - Mobile drilling derricks,,35.00,35.00,1,,,,South Africa
870530 - Fire fighting vehicles,,35.00,35.00,1,,,,South Africa
870540 - Concrete-mixer lorries,,35.00,35.00,1,,,,South Africa
870590 - Other,,18.50,18.50,2,,,,South Africa
