Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
Yemen,0,,,,,,,Cambodia
,2016,,10.00,10.00,106,,,,Cambodia
610120 - Of cotton,,10.00,10.00,1,,,,Cambodia
610130 - Of man-made fibres,,10.00,10.00,1,,,,Cambodia
610190 - Of other textile materials,,10.00,10.00,1,,,,Cambodia
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610220 - Of cotton,,10.00,10.00,1,,,,Cambodia
610230 - Of man-made fibres,,10.00,10.00,1,,,,Cambodia
610290 - Of other textile materials,,10.00,10.00,1,,,,Cambodia
610310 - Suits,,10.00,10.00,1,,,,Cambodia
610322 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610329 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610332 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610339 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610342 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610349 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610419 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610422 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610429 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610432 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610439 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610442 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610444 -- Of artificial fibres,,10.00,10.00,1,,,,Cambodia
610449 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610451 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610452 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610453 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610459 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610461 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Cambodia
610462 -- Of cotton,,10.00,10.00,1,,,,Cambodia
610463 -- Of synthetic fibres,,10.00,10.00,1,,,,Cambodia
610469 -- Of other textile materials,,10.00,10.00,1,,,,Cambodia
610510 - Of cotton,,10.00,10.00,1,,,,Cambodia
610520 - Of man-made fibres,,10.00,10.00,1,,,,Cambodia
610590 - Of other textile materials,,10.00,10.00,1,,,,Cambodia
610610 - Of cotton,,10.00,10.00,1,,,,Cambodia
610620 - Of man-made fibres,,10.00,10.00,1,,,,Cambodia
610690 - Of other textile materials,,10.00,10.00,1,,,,Cambodia
610711 -- Of cotton,,10.00,10.00,1,,,,Cambodia
