Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
Yemen,0,,,,,,,European Union
,2016,,1.97,1.97,33,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,5.00,5.00,1,,,,European Union
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,5.00,5.00,1,,,,European Union
950440 - Playing cards,,5.00,5.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,5.00,5.00,1,,,,European Union
950490 - Other,,2.50,2.50,2,,,,European Union
950510 - Articles for Christmas festivities,,5.00,5.00,1,,,,European Union
950590 - Other,,5.00,5.00,1,,,,European Union
950611 -- Skis,,0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,European Union
950619 -- Other,,0.00,0.00,1,,,,European Union
950621 -- Sailboards,,0.00,0.00,1,,,,European Union
950629 -- Other,,0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete",,0.00,0.00,1,,,,European Union
950632 -- Balls,,0.00,0.00,1,,,,European Union
950639 -- Other,,0.00,0.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,,0.00,0.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung",,0.00,0.00,1,,,,European Union
950659 -- Other,,0.00,0.00,1,,,,European Union
950661 -- Lawn-tennis balls,,0.00,0.00,1,,,,European Union
950662 -- Inflatable,,0.00,0.00,1,,,,European Union
950669 -- Other,,0.00,0.00,1,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached",,0.00,0.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,0.00,0.00,1,,,,European Union
950699 -- Other,,0.00,0.00,2,,,,European Union
950710 - Fishing rods,,5.00,5.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled",,5.00,5.00,1,,,,European Union
950730 - Fishing reels,,5.00,5.00,1,,,,European Union
950790 - Other,,5.00,5.00,1,,,,European Union
950810 - Travelling circuses and travelling menageries,,5.00,5.00,1,,,,European Union
950890 - Other,,5.00,5.00,1,,,,European Union
,2015,,1.97,1.97,33,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,5.00,5.00,1,,,,European Union
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,5.00,5.00,1,,,,European Union
950440 - Playing cards,,5.00,5.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,5.00,5.00,1,,,,European Union
950490 - Other,,2.50,2.50,2,,,,European Union
950510 - Articles for Christmas festivities,,5.00,5.00,1,,,,European Union
950590 - Other,,5.00,5.00,1,,,,European Union
950611 -- Skis,,0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,European Union
950619 -- Other,,0.00,0.00,1,,,,European Union
950621 -- Sailboards,,0.00,0.00,1,,,,European Union
950629 -- Other,,0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete",,0.00,0.00,1,,,,European Union
950632 -- Balls,,0.00,0.00,1,,,,European Union
950639 -- Other,,0.00,0.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,,0.00,0.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung",,0.00,0.00,1,,,,European Union
950659 -- Other,,0.00,0.00,1,,,,European Union
950661 -- Lawn-tennis balls,,0.00,0.00,1,,,,European Union
950662 -- Inflatable,,0.00,0.00,1,,,,European Union
950669 -- Other,,0.00,0.00,1,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached",,0.00,0.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,0.00,0.00,1,,,,European Union
950699 -- Other,,0.00,0.00,2,,,,European Union
950710 - Fishing rods,,5.00,5.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled",,5.00,5.00,1,,,,European Union
950730 - Fishing reels,,5.00,5.00,1,,,,European Union
950790 - Other,,5.00,5.00,1,,,,European Union
950810 - Travelling circuses and travelling menageries,,5.00,5.00,1,,,,European Union
950890 - Other,,5.00,5.00,1,,,,European Union
,2009,,2.87,2.87,48,1,,,European Union
"950100 Wheeled toys designed to be ridden by children (for example, tricycles, scooters, pedal cars); dolls' carriages.",,5.00,5.00,2,,,,European Union
"950210 - Dolls, whether or not dressed",,5.00,5.00,1,,,,European Union
"950291 -- Garments and accessories therefor, footwear and headgear",,5.00,5.00,1,,,,European Union
950299 -- Other,,5.00,5.00,1,,,,European Union
"950310 - Electric trains, including tracks, signals and other accessories therefor",,5.00,5.00,1,,,,European Union
"950320 - Reduced-size (""scale'') model assembly kits, whether or not working models, excluding those of subheading 9503.10",,5.00,5.00,1,,,,European Union
950330 - Other construction sets and constructional toys,,5.00,5.00,1,,,,European Union
950341 -- Stuffed,,5.00,5.00,1,,,,European Union
