Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
European Union,"1,614,105",,,,,,,Nepal
,2018,,2.75,0.00,23,,20,,Nepal
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Nepal
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Nepal
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Nepal
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Nepal
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Nepal
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Nepal
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Nepal
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Nepal
880390 - Other,,1.56,0.00,5,,4,,Nepal
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Nepal
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Nepal
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Nepal
880529 - - Other,,0.00,0.00,1,,,,Nepal
,2017,"44,385",2.80,0.00,23,,20,,Nepal
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Nepal
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Nepal
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Nepal
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Nepal
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Nepal
880310 - Propellers and rotors and parts thereof,1,2.70,0.00,1,,1,,Nepal
880320 - Under-carriages and parts thereof,"8,631",2.70,0.00,1,,1,,Nepal
880330 - Other parts of aeroplanes or helicopters,"34,709",2.70,0.00,1,,1,,Nepal
880390 - Other,499,1.56,0.00,5,,4,,Nepal
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,544,2.70,0.00,1,,1,,Nepal
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Nepal
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Nepal
880529 - - Other,,0.00,0.00,1,,,,Nepal
,2016,"17,904",3.07,0.00,21,,21,,Nepal
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Nepal
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Nepal
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Nepal
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Nepal
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Nepal
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Nepal
880320 - Under-carriages and parts thereof,"4,578",2.70,0.00,1,,1,,Nepal
880330 - Other parts of aeroplanes or helicopters,"11,501",2.70,0.00,1,,1,,Nepal
880390 - Other,"1,737",1.95,0.00,4,,4,,Nepal
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,88,2.70,0.00,1,,1,,Nepal
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Nepal
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Nepal
880529 -- Other,,1.70,0.00,1,,1,,Nepal
,2015,"95,739",3.07,0.00,21,,21,,Nepal
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Nepal
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Nepal
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Nepal
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Nepal
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Nepal
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Nepal
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Nepal
880320 - Under-carriages and parts thereof,"64,504",2.70,0.00,1,,1,,Nepal
880330 - Other parts of aeroplanes or helicopters,"30,251",2.70,0.00,1,,1,,Nepal
880390 - Other,373,1.95,0.00,4,,4,,Nepal
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,611,2.70,0.00,1,,1,,Nepal
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Nepal
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Nepal
880529 -- Other,,1.70,0.00,1,,1,,Nepal
,2014,"51,232",3.07,0.00,21,,21,,Nepal
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Nepal
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Nepal
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Nepal
