Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
Yemen,0,,,,,,,Brazil
,2016,,10.00,10.00,106,,,,Brazil
610120 - Of cotton,,10.00,10.00,1,,,,Brazil
610130 - Of man-made fibres,,10.00,10.00,1,,,,Brazil
610190 - Of other textile materials,,10.00,10.00,1,,,,Brazil
610210 - Of wool or fine animal hair,,10.00,10.00,1,,,,Brazil
610220 - Of cotton,,10.00,10.00,1,,,,Brazil
610230 - Of man-made fibres,,10.00,10.00,1,,,,Brazil
610290 - Of other textile materials,,10.00,10.00,1,,,,Brazil
610310 - Suits,,10.00,10.00,1,,,,Brazil
610322 -- Of cotton,,10.00,10.00,1,,,,Brazil
610323 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610329 -- Of other textile materials,,10.00,10.00,1,,,,Brazil
610331 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Brazil
610332 -- Of cotton,,10.00,10.00,1,,,,Brazil
610333 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610339 -- Of other textile materials,,10.00,10.00,1,,,,Brazil
610341 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Brazil
610342 -- Of cotton,,10.00,10.00,1,,,,Brazil
610343 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610349 -- Of other textile materials,,10.00,10.00,1,,,,Brazil
610413 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610419 -- Of other textile materials,,10.00,10.00,1,,,,Brazil
610422 -- Of cotton,,10.00,10.00,1,,,,Brazil
610423 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610429 -- Of other textile materials,,10.00,10.00,1,,,,Brazil
610431 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Brazil
610432 -- Of cotton,,10.00,10.00,1,,,,Brazil
610433 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610439 -- Of other textile materials,,10.00,10.00,1,,,,Brazil
610441 -- Of wool or fine animal hair,,10.00,10.00,1,,,,Brazil
610442 -- Of cotton,,10.00,10.00,1,,,,Brazil
610443 -- Of synthetic fibres,,10.00,10.00,1,,,,Brazil
610444 -- Of artificial fibres,,10.00,10.00,1,,,,Brazil
