Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
India,"125,668,066",,,,,,,China
,2018,,47.44,47.44,41,,,,China
170112 - - Beet sugar,,100.00,100.00,1,,,,China
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,100.00,100.00,3,,,,China
170114 - - Other cane sugar,,100.00,100.00,3,,,,China
170191 - - Containing added flavouring or colouring matter,,100.00,100.00,1,,,,China
170199 - - Other,,100.00,100.00,2,,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,30.00,30.00,2,,,,China
170219 - - Other,,30.00,30.00,2,,,,China
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,China
170250 - Chemically pure fructose,,30.00,30.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,China
170310 - Cane molasses,,30.00,30.00,1,,,,China
170390 - Other,,30.00,30.00,2,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,45.00,45.00,1,,,,China
170490 - Other,,30.00,30.00,4,,,,China
,2017,,35.37,35.37,41,,,,China
170112 - - Beet sugar,,60.00,60.00,1,,,,China
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,China
170114 - - Other cane sugar,,60.00,60.00,3,,,,China
170191 - - Containing added flavouring or colouring matter,,60.00,60.00,1,,,,China
170199 - - Other,,60.00,60.00,2,,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,China
170219 - - Other,,25.00,25.00,2,,,,China
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,30.00,30.00,4,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,4,,,,China
170250 - Chemically pure fructose,,30.00,30.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,30.00,30.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,30.00,30.00,6,,,,China
170310 - Cane molasses,,10.00,10.00,1,,,,China
170390 - Other,,10.00,10.00,2,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,30.00,30.00,1,,,,China
170490 - Other,,30.00,30.00,4,,,,China
,2016,"5,455,131",35.37,35.37,41,,,,China
170112 -- Beet sugar,,60.00,60.00,1,,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,China
170114 -- Other cane sugar,,60.00,60.00,3,,,,China
170191 -- Containing added flavouring or colouring matter,"97,885",60.00,60.00,1,,,,China
170199 -- Other,,60.00,60.00,2,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,China
170219 -- Other,,25.00,25.00,2,,,,China
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","630,460",30.00,30.00,4,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","340,216",30.00,30.00,4,,,,China
170250 - Chemically pure fructose,"91,288",30.00,30.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","2,424,599",30.00,30.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","34,150",30.00,30.00,6,,,,China
170310 - Cane molasses,,10.00,10.00,1,,,,China
170390 - Other,,10.00,10.00,2,,,,China
"170410 - Chewing gum, whether or not sugar-coated","212,411",30.00,30.00,1,,,,China
170490 - Other,"1,624,122",30.00,30.00,4,,,,China
,2015,"12,867,483",35.37,35.37,41,,,,China
170112 -- Beet sugar,,60.00,60.00,1,,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,China
170114 -- Other cane sugar,,60.00,60.00,3,,,,China
170191 -- Containing added flavouring or colouring matter,"309,149",60.00,60.00,1,,,,China
170199 -- Other,150,60.00,60.00,2,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,25.00,25.00,2,,,,China
170219 -- Other,,25.00,25.00,2,,,,China
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","1,237,291",30.00,30.00,4,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","336,600",30.00,30.00,4,,,,China
170250 - Chemically pure fructose,"285,391",30.00,30.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","8,868,997",30.00,30.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","259,208",30.00,30.00,6,,,,China
170310 - Cane molasses,,10.00,10.00,1,,,,China
170390 - Other,25,10.00,10.00,2,,,,China
"170410 - Chewing gum, whether or not sugar-coated","217,859",30.00,30.00,1,,,,China
170490 - Other,"1,352,813",30.00,30.00,4,,,,China
,2014,"9,636,608",35.37,35.37,41,,,,China
170112 -- Beet sugar,,60.00,60.00,1,,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,China
170114 -- Other cane sugar,,60.00,60.00,3,,,,China
170191 -- Containing added flavouring or colouring matter,"233,893",60.00,60.00,1,,,,China
170199 -- Other,359,60.00,60.00,2,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","37,863",25.00,25.00,2,,,,China
170219 -- Other,,25.00,25.00,2,,,,China
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","728,114",30.00,30.00,4,,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","842,136",30.00,30.00,4,,,,China
170250 - Chemically pure fructose,"180,931",30.00,30.00,1,,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","5,640,027",30.00,30.00,2,,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","31,785",30.00,30.00,6,,,,China
170310 - Cane molasses,,10.00,10.00,1,,,,China
170390 - Other,,10.00,10.00,2,,,,China
"170410 - Chewing gum, whether or not sugar-coated","258,108",30.00,30.00,1,,,,China
170490 - Other,"1,683,392",30.00,30.00,4,,,,China
,2013,"6,006,462",35.37,35.37,41,,,,China
170112 -- Beet sugar,,60.00,60.00,1,,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,60.00,60.00,3,,,,China
170114 -- Other cane sugar,,60.00,60.00,3,,,,China
170191 -- Containing added flavouring or colouring matter,"246,047",60.00,60.00,1,,,,China
170199 -- Other,,60.00,60.00,2,,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","182,563",25.00,25.00,2,,,,China
170219 -- Other,,25.00,25.00,2,,,,China
170220 - Maple sugar and maple syrup,,30.00,30.00,2,,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","982,464",30.00,30.00,4,,,,China
