Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"187,745,311",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,6.65,6.65,199,,,,"Saudi Arabia, Kingdom of"
870110 - Single axle tractors,,3.00,3.00,1,,,,"Saudi Arabia, Kingdom of"
870120 - Road tractors for semi-trailers,,16.00,16.00,2,,,,"Saudi Arabia, Kingdom of"
870130 - Track-laying tractors,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
870191 - - Not exceeding 18 kW,,3.50,3.50,2,,,,"Saudi Arabia, Kingdom of"
870192 - - Exceeding 18 kW but not exceeding 37 kW,,3.50,3.50,2,,,,"Saudi Arabia, Kingdom of"
870193 - - Exceeding 37 kW but not exceeding 75 kW,,3.50,3.50,2,,,,"Saudi Arabia, Kingdom of"
870194 - - Exceeding 75 kW but not exceeding 130 kW,,3.50,3.50,2,,,,"Saudi Arabia, Kingdom of"
870195 - - Exceeding 130 kW,,3.50,3.50,2,,,,"Saudi Arabia, Kingdom of"
870210 - With only compression-ignition internal combustion piston engine (diesel or semi-diesel),,13.00,13.00,4,,,,"Saudi Arabia, Kingdom of"
870220 - With both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion,,13.00,13.00,2,,,,"Saudi Arabia, Kingdom of"
870230 - With both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion,,13.00,13.00,2,,,,"Saudi Arabia, Kingdom of"
870240 - With only electric motor for propulsion,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
870290 - Other,,12.40,12.40,5,,,,"Saudi Arabia, Kingdom of"
870310 - Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,7.50,2,,,,"Saudi Arabia, Kingdom of"
"870321 - - Of a cylinder capacity not exceeding 1,000 cc",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"870322 - - Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"870323 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"870324 - - Of a cylinder capacity exceeding 3,000 cc",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"870331 - - Of a cylinder capacity not exceeding 1,500 cc",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"870332 - - Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"870333 - - Of a cylinder capacity exceeding 2,500 cc",,10.00,10.00,3,,,,"Saudi Arabia, Kingdom of"
"870340 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"870350 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, other than those capable of being charged by plugging to external source of electric power",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"870360 - Other vehicles, with both spark-ignition internal combustion reciprocating piston engine and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"870370 - Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi-diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power",,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
"870380 - Other vehicles, with only electric motor for propulsion",,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
870390 - Other,,10.00,10.00,1,,,,"Saudi Arabia, Kingdom of"
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,"Saudi Arabia, Kingdom of"
870421 - - g.v.w. not exceeding 5 tonnes,,13.50,13.50,5,,,,"Saudi Arabia, Kingdom of"
870422 - - g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,15.83,15.83,3,,,,"Saudi Arabia, Kingdom of"
