Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
European Union,"1,153,334,359",,,,,,,Japan
,2018,,2.75,2.75,23,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Japan
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Japan
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,3.50,3,,,,Japan
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,Japan
880390 - Other,,1.56,1.56,5,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Japan
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 - - Other,,0.00,0.00,1,,,,Japan
,2017,"112,055,898",2.80,2.80,23,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,125,852",3.20,3.20,2,,,,Japan
"880211 - - Of an unladen weight not exceeding 2,000 kg","109,228",7.50,7.50,1,,,,Japan
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",6,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",18,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","2,595",2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,3.87,3,,,,Japan
880310 - Propellers and rotors and parts thereof,"2,501,207",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"45,434,697",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"43,735,031",2.70,2.70,1,,,,Japan
880390 - Other,"18,724,120",1.56,1.56,5,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"72,385",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,243,2.20,2.20,2,,,,Japan
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Japan
880529 - - Other,"350,515",0.00,0.00,1,,,,Japan
,2016,"116,784,470",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,197,670",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","19,656",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","5,360",7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"42,075",4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"1,683,728",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"74,076,780",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"37,852,845",2.70,2.70,1,,,,Japan
880390 - Other,"1,411,078",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"27,999",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,561,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"466,717",1.70,1.70,1,,,,Japan
,2015,"63,447,962",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","970,222",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","43,239",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg","119,779",2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"117,019",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"20,540,929",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"38,341,376",2.70,2.70,1,,,,Japan
880390 - Other,"2,926,231",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"35,573",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"353,595",1.70,1.70,1,,,,Japan
,2014,"104,082,137",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","8,808,191",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","24,771",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","30,504",7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","41,972,286",2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"681,134",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"6,286,343",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"42,756,295",2.70,2.70,1,,,,Japan
880390 - Other,"2,752,318",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"73,062",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"697,232",1.70,1.70,1,,,,Japan
,2013,"87,944,247",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","8,925,445",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","1,912",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"639,973",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"10,198,939",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"64,706,679",2.70,2.70,1,,,,Japan
880390 - Other,"1,977,171",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"584,008",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"910,120",1.70,1.70,1,,,,Japan
,2012,"36,803,508",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,288,573",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","651,003",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","82,751",7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"519,280",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"7,115,987",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"24,094,024",2.70,2.70,1,,,,Japan
880390 - Other,"1,697,712",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"848,805",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"505,373",1.70,1.70,1,,,,Japan
,2011,"37,554,740",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","974,149",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","62,807",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg","1,510,167",2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"32,448",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"6,242,716",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"26,901,124",2.70,2.70,1,,,,Japan
880390 - Other,"877,907",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"571,500",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,"12,250",2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"369,673",1.70,1.70,1,,,,Japan
,2010,"38,233,307",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,306,464",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg","517,050",7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"107,673",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"10,008,173",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"25,021,368",2.70,2.70,1,,,,Japan
880390 - Other,"749,272",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"364,183",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Japan
880529 -- Other,"159,124",1.70,1.70,1,,,,Japan
,2009,"88,891,776",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,010,909",3.20,3.20,2,,,,Japan
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Japan
"880212 -- Of an unladen weight exceeding 2,000 kg","611,062",2.70,2.70,1,,,,Japan
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Japan
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","6,465,958",2.70,2.70,1,,,,Japan
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","45,064,189",2.70,2.70,1,,,,Japan
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Japan
880310 - Propellers and rotors and parts thereof,"36,446",2.70,2.70,1,,,,Japan
880320 - Under-carriages and parts thereof,"7,421,243",2.70,2.70,1,,,,Japan
880330 - Other parts of aeroplanes or helicopters,"27,267,085",2.70,2.70,1,,,,Japan
880390 - Other,"222,540",1.95,1.95,4,,,,Japan
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"498,794",2.70,2.70,1,,,,Japan
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,474,2.20,2.20,2,,,,Japan
880521 -- Air combat simulators and parts thereof,"43,922",1.70,1.70,1,,,,Japan
880529 -- Other,"249,153",1.70,1.70,1,,,,Japan
,2008,"146,978,870",3.07,3.07,21,,,,Japan
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","1,375,354",3.20,3.20,2,,,,Japan
