Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
India,"176,652,058",,,,,,,European Union
,2018,,38.17,38.17,103,2,,,European Union
080111 - - Desiccated,,70.00,70.00,1,,,,European Union
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,European Union
080119 - - Other,,70.00,70.00,3,,,,European Union
080121 - - In shell,,30.00,30.00,1,,,,European Union
080122 - - Shelled,,30.00,30.00,1,,,,European Union
080131 - - In shell,,30.00,30.00,1,,,,European Union
080132 - - Shelled,,30.00,30.00,3,,,,European Union
080211 - - In shell,,,,1,1,,,European Union
080212 - - Shelled,,,,1,1,,,European Union
080221 - - In shell,,30.00,30.00,1,,,,European Union
080222 - - Shelled,,30.00,30.00,1,,,,European Union
080231 - - In shell,,30.00,30.00,1,,,,European Union
080232 - - Shelled,,30.00,30.00,1,,,,European Union
080241 - - In shell,,30.00,30.00,1,,,,European Union
080242 - - Shelled,,30.00,30.00,1,,,,European Union
080251 - - In shell,,30.00,30.00,1,,,,European Union
080252 - - Shelled,,30.00,30.00,1,,,,European Union
080261 - - In shell,,30.00,30.00,1,,,,European Union
080262 - - Shelled,,30.00,30.00,1,,,,European Union
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,European Union
080280 - Areca nuts,,100.00,100.00,4,,,,European Union
080290 - Other,,100.00,100.00,1,,,,European Union
080310 - Plantains,,30.00,30.00,2,,,,European Union
080390 - Other,,30.00,30.00,2,,,,European Union
080410 - Dates,,30.00,30.00,4,,,,European Union
080420 - Figs,,30.00,30.00,2,,,,European Union
080430 - Pineapples,,30.00,30.00,1,,,,European Union
080440 - Avocados,,30.00,30.00,1,,,,European Union
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,European Union
080510 - Oranges,,40.00,40.00,1,,,,European Union
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,European Union
080522 - - Clementines,,30.00,30.00,1,,,,European Union
080529 - - Other,,30.00,30.00,1,,,,European Union
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,European Union
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,40.00,40.00,1,,,,European Union
080590 - Other,,30.00,30.00,1,,,,European Union
080610 - Fresh,,40.00,40.00,1,,,,European Union
080620 - Dried,,105.00,105.00,2,,,,European Union
080711 - - Watermelons,,30.00,30.00,1,,,,European Union
080719 - - Other,,30.00,30.00,1,,,,European Union
080720 - Papaws (papayas),,30.00,30.00,1,,,,European Union
080810 - Apples,,50.00,50.00,1,,,,European Union
080830 - Pears,,35.00,35.00,1,,,,European Union
080840 - Quinces,,35.00,35.00,1,,,,European Union
080910 - Apricots,,30.00,30.00,1,,,,European Union
080921 - - Sour cherries (Prunus cerasus),,30.00,30.00,1,,,,European Union
080929 - - Other,,30.00,30.00,1,,,,European Union
"080930 - Peaches, including nectarines",,30.00,30.00,1,,,,European Union
080940 - Plums and sloes,,25.00,25.00,1,,,,European Union
081010 - Strawberries,,30.00,30.00,1,,,,European Union
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,30.00,1,,,,European Union
"081030 - Black, white or red currants and gooseberries",,30.00,30.00,1,,,,European Union
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,30.00,1,,,,European Union
081050 - Kiwifruit,,30.00,30.00,1,,,,European Union
081060 - Durians,,30.00,30.00,1,,,,European Union
081070 - Persimmons,,30.00,30.00,1,,,,European Union
081090 - Other,,30.00,30.00,7,,,,European Union
081110 - Strawberries,,30.00,30.00,3,,,,European Union
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,30.00,3,,,,European Union
081190 - Other,,30.00,30.00,2,,,,European Union
081210 - Cherries,,30.00,30.00,1,,,,European Union
081290 - Other,,30.00,30.00,2,,,,European Union
081310 - Apricots,,30.00,30.00,1,,,,European Union
081320 - Prunes,,25.00,25.00,1,,,,European Union
081330 - Apples,,30.00,30.00,1,,,,European Union
081340 - Other fruit,,30.00,30.00,3,,,,European Union
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,30.00,2,,,,European Union
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,30.00,30.00,1,,,,European Union
,2017,,35.00,35.00,103,2,,,European Union
080111 - - Desiccated,,70.00,70.00,1,,,,European Union
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,European Union
080119 - - Other,,70.00,70.00,3,,,,European Union
080121 - - In shell,,30.00,30.00,1,,,,European Union
080122 - - Shelled,,30.00,30.00,1,,,,European Union
080131 - - In shell,,5.00,5.00,1,,,,European Union
080132 - - Shelled,,45.00,45.00,3,,,,European Union
080211 - - In shell,,,,1,1,,,European Union
080212 - - Shelled,,,,1,1,,,European Union
080221 - - In shell,,10.00,10.00,1,,,,European Union
080222 - - Shelled,,10.00,10.00,1,,,,European Union
080231 - - In shell,,30.00,30.00,1,,,,European Union
080232 - - Shelled,,30.00,30.00,1,,,,European Union
080241 - - In shell,,30.00,30.00,1,,,,European Union
080242 - - Shelled,,30.00,30.00,1,,,,European Union
080251 - - In shell,,10.00,10.00,1,,,,European Union
080252 - - Shelled,,10.00,10.00,1,,,,European Union
080261 - - In shell,,30.00,30.00,1,,,,European Union
080262 - - Shelled,,30.00,30.00,1,,,,European Union
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,European Union
080280 - Areca nuts,,100.00,100.00,4,,,,European Union
080290 - Other,,30.00,30.00,1,,,,European Union
080310 - Plantains,,30.00,30.00,2,,,,European Union
080390 - Other,,30.00,30.00,2,,,,European Union
080410 - Dates,,25.00,25.00,4,,,,European Union
080420 - Figs,,30.00,30.00,2,,,,European Union
080430 - Pineapples,,30.00,30.00,1,,,,European Union
080440 - Avocados,,30.00,30.00,1,,,,European Union
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,European Union
080510 - Oranges,,30.00,30.00,1,,,,European Union
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,European Union
080522 - - Clementines,,30.00,30.00,1,,,,European Union
080529 - - Other,,30.00,30.00,1,,,,European Union
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,European Union
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,30.00,30.00,1,,,,European Union
080590 - Other,,30.00,30.00,1,,,,European Union
080610 - Fresh,,30.00,30.00,1,,,,European Union
080620 - Dried,,100.00,100.00,2,,,,European Union
080711 - - Watermelons,,30.00,30.00,1,,,,European Union
080719 - - Other,,30.00,30.00,1,,,,European Union
080720 - Papaws (papayas),,30.00,30.00,1,,,,European Union
080810 - Apples,,50.00,50.00,1,,,,European Union
080830 - Pears,,30.00,30.00,1,,,,European Union
080840 - Quinces,,30.00,30.00,1,,,,European Union
080910 - Apricots,,30.00,30.00,1,,,,European Union
080921 - - Sour cherries (Prunus cerasus),,30.00,30.00,1,,,,European Union
080929 - - Other,,30.00,30.00,1,,,,European Union
"080930 - Peaches, including nectarines",,30.00,30.00,1,,,,European Union
080940 - Plums and sloes,,25.00,25.00,1,,,,European Union
081010 - Strawberries,,30.00,30.00,1,,,,European Union
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,30.00,1,,,,European Union
"081030 - Black, white or red currants and gooseberries",,30.00,30.00,1,,,,European Union
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,30.00,1,,,,European Union
081050 - Kiwifruit,,30.00,30.00,1,,,,European Union
081060 - Durians,,15.00,15.00,1,,,,European Union
081070 - Persimmons,,30.00,30.00,1,,,,European Union
081090 - Other,,15.00,15.00,7,,,,European Union
081110 - Strawberries,,30.00,30.00,3,,,,European Union
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,30.00,30.00,3,,,,European Union
081190 - Other,,30.00,30.00,2,,,,European Union
081210 - Cherries,,30.00,30.00,1,,,,European Union
081290 - Other,,30.00,30.00,2,,,,European Union
081310 - Apricots,,30.00,30.00,1,,,,European Union
081320 - Prunes,,25.00,25.00,1,,,,European Union
081330 - Apples,,30.00,30.00,1,,,,European Union
081340 - Other fruit,,30.00,30.00,3,,,,European Union
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,30.00,2,,,,European Union
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,30.00,30.00,1,,,,European Union
,2016,"48,885,691",35.10,35.10,101,2,,,European Union
080111 -- Desiccated,,70.00,70.00,1,,,,European Union
080112 -- In the inner shell (endocarp),,70.00,70.00,3,,,,European Union
080119 -- Other,,70.00,70.00,3,,,,European Union
080121 -- In shell,,30.00,30.00,1,,,,European Union
080122 -- Shelled,,30.00,30.00,1,,,,European Union
080131 -- In shell,,5.00,5.00,1,,,,European Union
080132 -- Shelled,"1,302",45.00,45.00,3,,,,European Union
080211 -- In shell,,,,1,1,,,European Union
080212 -- Shelled,"44,799",,,1,1,,,European Union
080221 -- In shell,,10.00,10.00,1,,,,European Union
080222 -- Shelled,,10.00,10.00,1,,,,European Union
080231 -- In shell,407,30.00,30.00,1,,,,European Union
080232 -- Shelled,976,30.00,30.00,1,,,,European Union
080241 -- In shell,,30.00,30.00,1,,,,European Union
080242 -- Shelled,,30.00,30.00,1,,,,European Union
080251 -- In shell,,10.00,10.00,1,,,,European Union
080252 -- Shelled,,10.00,10.00,1,,,,European Union
080261 -- In shell,,30.00,30.00,1,,,,European Union
080262 -- Shelled,,30.00,30.00,1,,,,European Union
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,European Union
080280 - Areca nuts,"45,104",100.00,100.00,4,,,,European Union
080290 - Other,,30.00,30.00,1,,,,European Union
080310 - Plantains,,30.00,30.00,2,,,,European Union
080390 - Other,,30.00,30.00,2,,,,European Union
080410 - Dates,,25.00,25.00,4,,,,European Union
080420 - Figs,,30.00,30.00,2,,,,European Union
080430 - Pineapples,,30.00,30.00,1,,,,European Union
080440 - Avocados,"143,876",30.00,30.00,1,,,,European Union
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,European Union
080510 - Oranges,"25,174",30.00,30.00,1,,,,European Union
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","19,753",30.00,30.00,1,,,,European Union
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,European Union
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",799,30.00,30.00,1,,,,European Union
080590 - Other,"5,757",30.00,30.00,1,,,,European Union
080610 - Fresh,"248,252",30.00,30.00,1,,,,European Union
080620 - Dried,"64,865",100.00,100.00,2,,,,European Union
080711 -- Watermelons,,30.00,30.00,1,,,,European Union
080719 -- Other,,30.00,30.00,1,,,,European Union
080720 - Papaws (papayas),,30.00,30.00,1,,,,European Union
080810 - Apples,"31,668,134",50.00,50.00,1,,,,European Union
080830 - Pears,"868,233",30.00,30.00,1,,,,European Union
080840 - Quinces,,30.00,30.00,1,,,,European Union
080910 - Apricots,"3,215",30.00,30.00,1,,,,European Union
080921 -- Sour cherries (Prunus cerasus),"1,580",30.00,30.00,1,,,,European Union
080929 -- Other,"49,896",30.00,30.00,1,,,,European Union
"080930 - Peaches, including nectarines","141,296",30.00,30.00,1,,,,European Union
080940 - Plums and sloes,"2,517,048",25.00,25.00,1,,,,European Union
081010 - Strawberries,,30.00,30.00,1,,,,European Union
"081020 - Raspberries, blackberries, mulberries and loganberries",,30.00,30.00,1,,,,European Union
"081030 - Black, white or red currants and gooseberries",,30.00,30.00,1,,,,European Union
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,30.00,30.00,1,,,,European Union
081050 - Kiwifruit,"11,795,616",30.00,30.00,1,,,,European Union
081060 - Durians,,15.00,15.00,1,,,,European Union
081070 - Persimmons,"14,855",30.00,30.00,1,,,,European Union
081090 - Other,"48,715",15.00,15.00,7,,,,European Union
081110 - Strawberries,"17,752",30.00,30.00,3,,,,European Union
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","128,347",30.00,30.00,3,,,,European Union
081190 - Other,"116,688",30.00,30.00,2,,,,European Union
081210 - Cherries,"5,813",30.00,30.00,1,,,,European Union
081290 - Other,,30.00,30.00,2,,,,European Union
081310 - Apricots,,30.00,30.00,1,,,,European Union
081320 - Prunes,,25.00,25.00,1,,,,European Union
081330 - Apples,"862,275",30.00,30.00,1,,,,European Union
081340 - Other fruit,"32,377",30.00,30.00,3,,,,European Union
081350 - Mixtures of nuts or dried fruits of this Chapter,,30.00,30.00,2,,,,European Union
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","12,787",30.00,30.00,1,,,,European Union
,2015,"29,868,513",35.05,35.05,101,2,,,European Union
080111 -- Desiccated,,70.00,70.00,1,,,,European Union
080112 -- In the inner shell (endocarp),,70.00,70.00,3,,,,European Union
080119 -- Other,,70.00,70.00,3,,,,European Union
080121 -- In shell,,30.00,30.00,1,,,,European Union
080122 -- Shelled,,30.00,30.00,1,,,,European Union
080131 -- In shell,,0.00,0.00,1,,,,European Union
080132 -- Shelled,"8,817",45.00,45.00,3,,,,European Union
080211 -- In shell,"147,796",,,1,1,,,European Union
080212 -- Shelled,"2,332",,,1,1,,,European Union
080221 -- In shell,,10.00,10.00,1,,,,European Union
080222 -- Shelled,,10.00,10.00,1,,,,European Union
080231 -- In shell,,30.00,30.00,1,,,,European Union
080232 -- Shelled,,30.00,30.00,1,,,,European Union
080241 -- In shell,,30.00,30.00,1,,,,European Union
080242 -- Shelled,,30.00,30.00,1,,,,European Union
080251 -- In shell,187,10.00,10.00,1,,,,European Union
080252 -- Shelled,,10.00,10.00,1,,,,European Union
080261 -- In shell,,30.00,30.00,1,,,,European Union
080262 -- Shelled,,30.00,30.00,1,,,,European Union
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,European Union
080280 - Areca nuts,,100.00,100.00,4,,,,European Union
080290 - Other,,30.00,30.00,1,,,,European Union
080310 - Plantains,,30.00,30.00,2,,,,European Union
080390 - Other,,30.00,30.00,2,,,,European Union
080410 - Dates,,25.00,25.00,4,,,,European Union
080420 - Figs,,30.00,30.00,2,,,,European Union
080430 - Pineapples,,30.00,30.00,1,,,,European Union
080440 - Avocados,"4,691",30.00,30.00,1,,,,European Union
"080450 - Guavas, mangoes and mangosteens","17,391",30.00,30.00,5,,,,European Union
080510 - Oranges,"4,653",30.00,30.00,1,,,,European Union
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","16,335",30.00,30.00,1,,,,European Union
"080540 - Grapefruit, including pomelos",181,25.00,25.00,1,,,,European Union
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",494,30.00,30.00,1,,,,European Union
080590 - Other,,30.00,30.00,1,,,,European Union
080610 - Fresh,"129,567",30.00,30.00,1,,,,European Union
080620 - Dried,"87,987",100.00,100.00,2,,,,European Union
080711 -- Watermelons,,30.00,30.00,1,,,,European Union
080719 -- Other,,30.00,30.00,1,,,,European Union
080720 - Papaws (papayas),,30.00,30.00,1,,,,European Union
080810 - Apples,"18,067,317",50.00,50.00,1,,,,European Union
080830 - Pears,"376,460",30.00,30.00,1,,,,European Union
080840 - Quinces,,30.00,30.00,1,,,,European Union
080910 - Apricots,"4,814",30.00,30.00,1,,,,European Union
080921 -- Sour cherries (Prunus cerasus),"32,719",30.00,30.00,1,,,,European Union
080929 -- Other,"45,925",30.00,30.00,1,,,,European Union
"080930 - Peaches, including nectarines","57,281",30.00,30.00,1,,,,European Union
080940 - Plums and sloes,"1,439,889",25.00,25.00,1,,,,European Union
081010 - Strawberries,"10,152",30.00,30.00,1,,,,European Union
"081020 - Raspberries, blackberries, mulberries and loganberries",209,30.00,30.00,1,,,,European Union
"081030 - Black, white or red currants and gooseberries",,30.00,30.00,1,,,,European Union
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","4,753",30.00,30.00,1,,,,European Union
081050 - Kiwifruit,"8,221,361",30.00,30.00,1,,,,European Union
081060 - Durians,,15.00,15.00,1,,,,European Union
081070 - Persimmons,,30.00,30.00,1,,,,European Union
081090 - Other,"35,224",15.00,15.00,7,,,,European Union
081110 - Strawberries,"41,964",30.00,30.00,3,,,,European Union
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","128,332",30.00,30.00,3,,,,European Union
081190 - Other,"111,388",30.00,30.00,2,,,,European Union
081210 - Cherries,,30.00,30.00,1,,,,European Union
081290 - Other,,30.00,30.00,2,,,,European Union
081310 - Apricots,,30.00,30.00,1,,,,European Union
081320 - Prunes,"5,580",25.00,25.00,1,,,,European Union
081330 - Apples,"830,632",30.00,30.00,1,,,,European Union
081340 - Other fruit,"31,679",30.00,30.00,3,,,,European Union
081350 - Mixtures of nuts or dried fruits of this Chapter,928,30.00,30.00,2,,,,European Union
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","1,475",30.00,30.00,1,,,,European Union
,2014,"20,161,154",35.45,35.45,101,2,,,European Union
080111 -- Desiccated,,70.00,70.00,1,,,,European Union
080112 -- In the inner shell (endocarp),,70.00,70.00,3,,,,European Union
080119 -- Other,,70.00,70.00,3,,,,European Union
080121 -- In shell,,30.00,30.00,1,,,,European Union
080122 -- Shelled,,30.00,30.00,1,,,,European Union
080131 -- In shell,,0.00,0.00,1,,,,European Union
080132 -- Shelled,,40.00,40.00,3,,,,European Union
080211 -- In shell,,,,1,1,,,European Union
080212 -- Shelled,"137,738",,,1,1,,,European Union
080221 -- In shell,,10.00,10.00,1,,,,European Union
080222 -- Shelled,,10.00,10.00,1,,,,European Union
080231 -- In shell,"1,123",30.00,30.00,1,,,,European Union
080232 -- Shelled,"4,154",30.00,30.00,1,,,,European Union
080241 -- In shell,"28,490",30.00,30.00,1,,,,European Union
