Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
European Union,"1,525,812,924",,,,,,,Ukraine
,2018,,6.67,0.00,125,24,94,,Ukraine
080111 - - Desiccated,,0.00,0.00,1,,,,Ukraine
080112 - - In the inner shell (endocarp),,0.00,0.00,1,,,,Ukraine
080119 - - Other,,0.00,0.00,1,,,,Ukraine
080121 - - In shell,,0.00,0.00,1,,,,Ukraine
080122 - - Shelled,,0.00,0.00,1,,,,Ukraine
080131 - - In shell,,0.00,0.00,1,,,,Ukraine
080132 - - Shelled,,0.00,0.00,1,,,,Ukraine
080211 - - In shell,,2.80,0.00,2,,1,,Ukraine
080212 - - Shelled,,1.75,0.00,2,,1,,Ukraine
080221 - - In shell,,3.20,0.00,1,,1,,Ukraine
080222 - - Shelled,,3.20,0.00,1,,1,,Ukraine
080231 - - In shell,,4.00,0.00,1,,1,,Ukraine
080232 - - Shelled,,5.10,0.00,1,,1,,Ukraine
080241 - - In shell,,5.60,0.00,1,,1,,Ukraine
080242 - - Shelled,,5.60,0.00,1,,1,,Ukraine
080251 - - In shell,,1.60,0.00,1,,1,,Ukraine
080252 - - Shelled,,1.60,0.00,1,,1,,Ukraine
080261 - - In shell,,2.00,0.00,1,,1,,Ukraine
080262 - - Shelled,,2.00,0.00,1,,1,,Ukraine
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,Ukraine
080280 - Areca nuts,,0.00,0.00,1,,,,Ukraine
080290 - Other,,1.33,0.00,3,,2,,Ukraine
080310 - Plantains,,16.00,0.00,2,,2,,Ukraine
080390 - Other,,16.00,0.00,2,1,2,,Ukraine
080410 - Dates,,7.70,0.00,1,,1,,Ukraine
080420 - Figs,,6.80,0.00,2,,2,,Ukraine
080430 - Pineapples,,5.80,0.00,1,,1,,Ukraine
080440 - Avocados,,4.00,0.00,1,,1,,Ukraine
"080450 - Guavas, mangoes and mangosteens",,0.00,0.00,1,,,,Ukraine
080510 - Oranges,,16.00,0.00,4,3,1,,Ukraine
080521 - - Mandarins (including tangerines and satsumas),,,,2,2,,,Ukraine
080522 - - Clementines,,,,1,1,,,Ukraine
080529 - - Other,,,,1,1,,,Ukraine
"080540 - Grapefruit, including pomelos",,1.50,0.00,1,,1,,Ukraine
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,12.80,0.00,2,1,1,,Ukraine
080590 - Other,,12.80,0.00,1,,1,,Ukraine
080610 - Fresh,,14.40,0.00,2,1,2,,Ukraine
080620 - Dried,,2.40,0.00,3,,3,,Ukraine
080711 - - Watermelons,,8.80,0.00,1,,1,,Ukraine
080719 - - Other,,8.80,0.00,1,,1,,Ukraine
080720 - Papaws (papayas),,0.00,0.00,1,,,,Ukraine
080810 - Apples,,,,2,2,,,Ukraine
080830 - Pears,,,,2,2,,,Ukraine
080840 - Quinces,,7.20,0.00,1,,1,,Ukraine
080910 - Apricots,,,0.00,1,1,1,,Ukraine
080921 - - Sour cherries (Prunus cerasus),,,0.00,1,1,1,,Ukraine
080929 - - Other,,,0.00,1,1,1,,Ukraine
"080930 - Peaches, including nectarines",,,0.00,2,2,2,,Ukraine
080940 - Plums and sloes,,12.00,0.00,2,1,2,,Ukraine
081010 - Strawberries,,11.20,0.00,1,,1,,Ukraine
"081020 - Raspberries, blackberries, mulberries and loganberries",,9.20,0.00,2,,2,,Ukraine
"081030 - Black, white or red currants and gooseberries",,9.07,0.00,3,,3,,Ukraine
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium",,4.00,0.00,4,,3,,Ukraine
081050 - Kiwifruit,,8.80,0.00,1,,1,,Ukraine
081060 - Durians,,8.80,0.00,1,,1,,Ukraine
081070 - Persimmons,,8.80,0.00,1,,1,,Ukraine
081090 - Other,,4.40,0.00,2,,1,,Ukraine
081110 - Strawberries,,17.60,0.00,3,1,3,,Ukraine
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,14.67,0.00,7,1,7,,Ukraine
081190 - Other,,10.75,0.00,10,2,8,,Ukraine
081210 - Cherries,,8.80,0.00,1,,1,,Ukraine
081290 - Other,,7.16,0.00,5,,5,,Ukraine
081310 - Apricots,,5.60,0.00,1,,1,,Ukraine
081320 - Prunes,,9.60,0.00,1,,1,,Ukraine
081330 - Apples,,3.20,0.00,1,,1,,Ukraine
081340 - Other fruit,,3.28,0.00,5,,4,,Ukraine
081350 - Mixtures of nuts or dried fruits of this Chapter,,6.86,0.00,7,,7,,Ukraine
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",,1.60,0.00,1,,1,,Ukraine
,2017,"168,202,092",6.67,0.00,125,24,94,,Ukraine
080111 - - Desiccated,109,0.00,0.00,1,,,,Ukraine
080112 - - In the inner shell (endocarp),41,0.00,0.00,1,,,,Ukraine
080119 - - Other,122,0.00,0.00,1,,,,Ukraine
080121 - - In shell,1,0.00,0.00,1,,,,Ukraine
080122 - - Shelled,23,0.00,0.00,1,,,,Ukraine
080131 - - In shell,,0.00,0.00,1,,,,Ukraine
080132 - - Shelled,"1,910",0.00,0.00,1,,,,Ukraine
080211 - - In shell,33,2.80,0.00,2,,1,,Ukraine
080212 - - Shelled,"70,763",1.75,0.00,2,,1,,Ukraine
080221 - - In shell,,3.20,0.00,1,,1,,Ukraine
080222 - - Shelled,295,3.20,0.00,1,,1,,Ukraine
080231 - - In shell,"882,345",4.00,0.00,1,,1,,Ukraine
