Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
Brazil,"99,731,893,302",,,,,,,China
,2018,,11.99,11.99,654,,,,China
850110 - Motors of an output not exceeding 37.5 W,,14.40,14.40,5,,,,China
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,18.00,18.00,1,,,,China
850131 - - Of an output not exceeding 750 W,,18.00,18.00,2,,,,China
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,18.00,18.00,2,,,,China
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,14.00,14.00,2,,,,China
850134 - - Of an output exceeding 375 kW,,9.33,9.33,3,,,,China
"850140 - Other AC motors, single-phase",,16.00,16.00,4,,,,China
850151 - - Of an output not exceeding 750 W,,14.00,14.00,3,,,,China
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,14.00,14.00,3,,,,China
850153 - - Of an output exceeding 75 kW,,10.50,10.50,4,,,,China
850161 - - Of an output not exceeding 75 kVA,,14.00,14.00,1,,,,China
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,1,,,,China
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,14.00,14.00,1,,,,China
850164 - - Of an output exceeding 750 kVA,,14.00,14.00,1,,,,China
850211 - - Of an output not exceeding 75 kVA,,14.00,14.00,2,,,,China
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,2,,,,China
850213 - - Of an output exceeding 375 kVA,,14.00,14.00,3,,,,China
850220 - Generating sets with spark-ignition internal combustion piston engines,,9.33,9.33,3,,,,China
850231 - - Wind-powered,,0.00,0.00,1,,,,China
850239 - - Other,,0.00,0.00,1,,,,China
850240 - Electric rotary converters,,14.00,14.00,2,,,,China
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,14.00,14.00,2,,,,China
850410 - Ballasts for discharge lamps or tubes,,18.00,18.00,1,,,,China
850421 - - Having a power handling capacity not exceeding 650 kVA,,14.00,14.00,1,,,,China
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,14.00,14.00,1,,,,China
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,14.00,14.00,1,,,,China
850431 - - Having a power handling capacity not exceeding 1 kVA,,14.40,14.40,5,,,,China
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,18.00,18.00,4,,,,China
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,14.00,14.00,1,,,,China
850434 - - Having a power handling capacity exceeding 500 kVA,,14.00,14.00,1,,,,China
850440 - Static converters,,16.22,16.22,9,,,,China
850450 - Other inductors,,18.00,18.00,1,,,,China
850490 - Parts,,15.20,15.20,5,,,,China
850511 - - Of metal,,16.00,16.00,1,,,,China
850519 - - Other,,16.00,16.00,2,,,,China
"850520 - Electro-magnetic couplings, clutches and brakes",,7.00,7.00,2,,,,China
"850590 - Other, including parts",,14.67,14.67,3,,,,China
850610 - Manganese dioxide,,16.00,16.00,3,,,,China
850630 - Mercuric oxide,,8.00,8.00,2,,,,China
850640 - Silver oxide,,8.00,8.00,2,,,,China
850650 - Lithium,,8.00,8.00,2,,,,China
850660 - Air-zinc,,8.00,8.00,2,,,,China
850680 - Other primary cells and primary batteries,,8.00,8.00,2,,,,China
850690 - Parts,,14.00,14.00,1,,,,China
"850710 - Lead-acid, of a kind used for starting piston engines",,18.00,18.00,2,,,,China
850720 - Other lead-acid accumulators,,18.00,18.00,2,,,,China
850730 - Nickel-cadmium,,18.00,18.00,3,,,,China
850740 - Nickel-iron,,18.00,18.00,1,,,,China
850750 - Nickel-metal hydride,,18.00,18.00,1,,,,China
850760 - Lithium-ion,,18.00,18.00,1,,,,China
850780 - Other accumulators,,18.00,18.00,1,,,,China
850790 - Parts,,16.00,16.00,3,,,,China
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,20.00,20.00,1,,,,China
850819 - - Other,,20.00,20.00,1,,,,China
850860 - Other vacuum cleaners,,14.00,14.00,1,,,,China
850870 - Parts,,14.00,14.00,1,,,,China
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,20.00,20.00,6,,,,China
850980 - Other appliances,,20.00,20.00,2,,,,China
850990 - Parts,,16.00,16.00,1,,,,China
851010 - Shavers,,20.00,20.00,1,,,,China
851020 - Hair clippers,,0.00,0.00,1,,,,China
851030 - Hair-removing appliances,,20.00,20.00,1,,,,China
851090 - Parts,,11.50,11.50,4,,,,China
851110 - Sparking plugs,,18.00,18.00,1,,,,China
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,18.00,18.00,2,,,,China
851130 - Distributors; ignition coils,,18.00,18.00,2,,,,China
851140 - Starter motors and dual purpose starter-generators,,18.00,18.00,1,,,,China
851150 - Other generators,,18.00,18.00,2,,,,China
851180 - Other equipment,,17.50,17.50,4,,,,China
851190 - Parts,,16.00,16.00,1,,,,China
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,18.00,18.00,1,,,,China
851220 - Other lighting or visual signalling equipment,,18.00,18.00,6,,,,China
851230 - Sound signalling equipment,,18.00,18.00,1,,,,China
"851240 - Windscreen wipers, defrosters and demisters",,18.00,18.00,2,,,,China
851290 - Parts,,16.00,16.00,1,,,,China
851310 - Lamps,,18.00,18.00,2,,,,China
851390 - Parts,,16.00,16.00,1,,,,China
851410 - Resistance heated furnaces and ovens,,14.00,14.00,2,,,,China
851420 - Furnaces and ovens functioning by induction or dielectric loss,,14.00,14.00,3,,,,China
851430 - Other furnaces and ovens,,14.00,14.00,5,,,,China
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,14.00,14.00,1,,,,China
851490 - Parts,,14.00,14.00,1,,,,China
851511 - - Soldering irons and guns,,14.00,14.00,1,,,,China
851519 - - Other,,14.00,14.00,1,,,,China
851521 - - Fully or partly automatic,,14.00,14.00,1,,,,China
851529 - - Other,,14.00,14.00,1,,,,China
851531 - - Fully or partly automatic,,7.00,7.00,2,,,,China
851539 - - Other,,14.00,14.00,1,,,,China
851580 - Other machines and apparatus,,7.00,7.00,2,,,,China
851590 - Parts,,14.00,14.00,1,,,,China
851610 - Electric instantaneous or storage water heaters and immersion heaters,,20.00,20.00,1,,,,China
851621 - - Storage heating radiators,,20.00,20.00,1,,,,China
851629 - - Other,,20.00,20.00,1,,,,China
851631 - - Hair dryers,,20.00,20.00,1,,,,China
851632 - - Other hair-dressing apparatus,,20.00,20.00,1,,,,China
851633 - - Hand-drying apparatus,,20.00,20.00,1,,,,China
851640 - Electric smoothing irons,,20.00,20.00,1,,,,China
851650 - Microwave ovens,,20.00,20.00,1,,,,China
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,20.00,20.00,1,,,,China
851671 - - Coffee or tea makers,,20.00,20.00,1,,,,China
851672 - - Toasters,,20.00,20.00,1,,,,China
851679 - - Other,,20.00,20.00,3,,,,China
851680 - Electric heating resistors,,16.00,16.00,2,,,,China
851690 - Parts,,16.00,16.00,1,,,,China
851711 - - Line telephone sets with cordless handsets,,20.00,20.00,1,,,,China
851712 - - Telephones for cellular networks or for other wireless networks,,10.67,10.67,15,,,,China
851718 - - Other,,18.50,18.50,4,,,,China
851761 - - Base stations,,6.91,6.91,11,,,,China
"851762 - - Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,11.23,11.23,39,,,,China
851769 - - Other,,14.00,14.00,1,,,,China
851770 - Parts,,9.00,9.00,6,,,,China
851810 - Microphones and stands therefor,,11.00,11.00,2,,,,China
"851821 - - Single loudspeakers, mounted in their enclosures",,20.00,20.00,1,,,,China
"851822 - - Multiple loudspeakers, mounted in the same enclosure",,20.00,20.00,1,,,,China
851829 - - Other,,11.00,11.00,2,,,,China
"851830 - Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",,20.00,20.00,1,,,,China
851840 - Audio-frequency electric amplifiers,,20.00,20.00,1,,,,China
851850 - Electric sound amplifier sets,,20.00,20.00,1,,,,China
851890 - Parts,,16.00,16.00,2,,,,China
"851920 - Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment",,20.00,20.00,1,,,,China
851930 - Turntables (record-decks),,20.00,20.00,1,,,,China
851950 - Telephone answering machines,,20.00,20.00,1,,,,China
"851981 - - Using magnetic, optical or semiconductor media",,13.33,13.33,3,,,,China
851989 - - Other,,20.00,20.00,1,,,,China
852110 - Magnetic tape-type,,10.00,10.00,4,,,,China
852190 - Other,,10.00,10.00,2,,,,China
852210 - Pick-up cartridges,,18.00,18.00,1,,,,China
852290 - Other,,16.00,16.00,6,,,,China
852321 - - Cards incorporating a magnetic stripe,,16.00,16.00,2,,,,China
852329 - - Other,,14.67,14.67,12,,,,China
852341 - - Unrecorded,,16.00,16.00,2,,,,China
852349 - - Other,,16.00,16.00,3,,,,China
