Importer,Year,Value,Ad val. duties,Number of lines,Cambodia
,(US$),Simple average,MFN duties,Pref. duties,Cambodia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Cambodia
European Union,"30,683,312",,,,,,,Cambodia
,2018,,2.14,0.00,63,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.00,19,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,Cambodia
950440 - Playing cards,,2.70,0.00,1,,1,,Cambodia
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Cambodia
950490 - Other,,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Cambodia
950590 - Other,,2.70,0.00,1,,1,,Cambodia
950611 - - Skis,,3.70,0.00,4,,4,,Cambodia
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 - - Other,,2.70,0.00,1,,1,,Cambodia
950621 - - Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 - - Other,,2.70,0.00,1,,1,,Cambodia
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,Cambodia
950632 - - Balls,,2.70,0.00,1,,1,,Cambodia
950639 - - Other,,2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Cambodia
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Cambodia
950659 - - Other,,2.70,0.00,1,,1,,Cambodia
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,Cambodia
950662 - - Inflatable,,2.70,0.00,1,,1,,Cambodia
950669 - - Other,,1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Cambodia
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Cambodia
950699 - - Other,,1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,,3.70,0.00,1,,1,,Cambodia
950790 - Other,,3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2017,"8,393,087",2.14,0.00,63,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","8,102,067",1.98,0.00,19,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",122,0.00,0.00,3,,,,Cambodia
950440 - Playing cards,3,2.70,0.00,1,,1,,Cambodia
"950450 - Video game consoles and machines, other than those of subheading 9504.30",367,0.00,0.00,1,,,,Cambodia
950490 - Other,77,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,391,1.35,0.00,2,,1,,Cambodia
950590 - Other,"31,417",2.70,0.00,1,,1,,Cambodia
950611 - - Skis,,3.70,0.00,4,,4,,Cambodia
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 - - Other,7,2.70,0.00,1,,1,,Cambodia
950621 - - Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 - - Other,"140,252",2.70,0.00,1,,1,,Cambodia
"950631 - - Clubs, complete",304,2.70,0.00,1,,1,,Cambodia
950632 - - Balls,95,2.70,0.00,1,,1,,Cambodia
950639 - - Other,563,2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,11,2.70,0.00,1,,1,,Cambodia
"950651 - - Lawn-tennis rackets, whether or not strung",1,4.70,0.00,1,,1,,Cambodia
950659 - - Other,21,2.70,0.00,1,,1,,Cambodia
950661 - - Lawn-tennis balls,26,2.70,0.00,1,,1,,Cambodia
950662 - - Inflatable,"6,415",2.70,0.00,1,,1,,Cambodia
950669 - - Other,"11,382",1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",48,1.80,0.00,3,,2,,Cambodia
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","32,315",2.70,0.00,2,,2,,Cambodia
950699 - - Other,"45,452",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,34,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",25,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,66,3.70,0.00,1,,1,,Cambodia
950790 - Other,"21,626",3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2016,"6,571,811",2.17,0.00,62,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,251,712",2.09,0.00,18,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","1,448",0.00,0.00,3,,,,Cambodia
950440 - Playing cards,"1,543",2.70,0.00,1,,1,,Cambodia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Cambodia
950490 - Other,,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Cambodia
950590 - Other,"5,547",2.70,0.00,1,,1,,Cambodia
950611 -- Skis,,3.70,0.00,4,,4,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 -- Other,,2.70,0.00,1,,1,,Cambodia
950621 -- Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 -- Other,"246,464",2.70,0.00,1,,1,,Cambodia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Cambodia
950632 -- Balls,,2.70,0.00,1,,1,,Cambodia
950639 -- Other,,2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,9,2.70,0.00,1,,1,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Cambodia
950659 -- Other,,2.70,0.00,1,,1,,Cambodia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Cambodia
950662 -- Inflatable,42,2.70,0.00,1,,1,,Cambodia
950669 -- Other,"1,390",1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,357",2.70,0.00,2,,2,,Cambodia
950699 -- Other,"12,267",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,"1,342",3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,"1,536",3.70,0.00,1,,1,,Cambodia
950790 - Other,"47,153",3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2015,"7,229,448",2.17,0.00,62,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,994,373",2.09,0.00,18,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","4,037",0.00,0.00,3,,,,Cambodia
950440 - Playing cards,,2.70,0.00,1,,1,,Cambodia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Cambodia
950490 - Other,,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,"77,587",1.35,0.00,2,,1,,Cambodia
950590 - Other,"21,937",2.70,0.00,1,,1,,Cambodia
950611 -- Skis,,3.70,0.00,4,,4,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 -- Other,,2.70,0.00,1,,1,,Cambodia
950621 -- Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 -- Other,"48,183",2.70,0.00,1,,1,,Cambodia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Cambodia
950632 -- Balls,,2.70,0.00,1,,1,,Cambodia
950639 -- Other,"5,550",2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung","2,808",4.70,0.00,1,,1,,Cambodia
950659 -- Other,,2.70,0.00,1,,1,,Cambodia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Cambodia
950662 -- Inflatable,"3,070",2.70,0.00,1,,1,,Cambodia
950669 -- Other,,1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",497,2.70,0.00,2,,2,,Cambodia
950699 -- Other,"7,331",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,433,3.70,0.00,1,,1,,Cambodia
950790 - Other,"63,643",3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2014,"4,748,925",2.17,0.00,62,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","4,439,673",2.09,0.00,18,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",210,0.00,0.00,3,,,,Cambodia
950440 - Playing cards,,2.70,0.00,1,,1,,Cambodia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Cambodia
950490 - Other,"2,424",0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,"141,383",1.35,0.00,2,,1,,Cambodia
950590 - Other,28,2.70,0.00,1,,1,,Cambodia
950611 -- Skis,,3.70,0.00,4,,4,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 -- Other,,2.70,0.00,1,,1,,Cambodia
950621 -- Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 -- Other,"30,580",2.70,0.00,1,,1,,Cambodia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Cambodia
950632 -- Balls,,2.70,0.00,1,,1,,Cambodia
950639 -- Other,17,2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Cambodia
950659 -- Other,629,2.70,0.00,1,,1,,Cambodia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Cambodia
950662 -- Inflatable,"93,442",2.70,0.00,1,,1,,Cambodia
950669 -- Other,,1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",967,2.70,0.00,2,,2,,Cambodia
950699 -- Other,"13,957",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled","2,742",2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,,3.70,0.00,1,,1,,Cambodia
950790 - Other,"22,873",3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2013,"977,849",2.17,0.00,62,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","861,850",2.09,0.00,18,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","37,570",0.00,0.00,3,,,,Cambodia
950440 - Playing cards,,2.70,0.00,1,,1,,Cambodia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Cambodia
950490 - Other,,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,"1,169",1.35,0.00,2,,1,,Cambodia
950590 - Other,"8,072",2.70,0.00,1,,1,,Cambodia
950611 -- Skis,,3.70,0.00,4,,4,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 -- Other,,2.70,0.00,1,,1,,Cambodia
950621 -- Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 -- Other,"56,985",2.70,0.00,1,,1,,Cambodia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Cambodia
950632 -- Balls,,2.70,0.00,1,,1,,Cambodia
950639 -- Other,,2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Cambodia
950659 -- Other,"1,049",2.70,0.00,1,,1,,Cambodia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Cambodia
950662 -- Inflatable,,2.70,0.00,1,,1,,Cambodia
950669 -- Other,27,1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",770,2.70,0.00,2,,2,,Cambodia
950699 -- Other,"10,344",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,,3.70,0.00,1,,1,,Cambodia
950790 - Other,13,3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2012,"473,816",2.17,0.00,62,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","115,681",2.09,0.00,18,,8,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",77,0.00,0.00,3,,,,Cambodia
950440 - Playing cards,,2.70,0.00,1,,1,,Cambodia
"950450 -Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,Cambodia
950490 - Other,,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,Cambodia
950590 - Other,"7,494",2.70,0.00,1,,1,,Cambodia
950611 -- Skis,,3.70,0.00,4,,4,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,Cambodia
950619 -- Other,116,2.70,0.00,1,,1,,Cambodia
950621 -- Sailboards,"241,864",2.70,0.00,1,,1,,Cambodia
950629 -- Other,"51,864",2.70,0.00,1,,1,,Cambodia
"950631 -- Clubs, complete",488,2.70,0.00,1,,1,,Cambodia
950632 -- Balls,,2.70,0.00,1,,1,,Cambodia
950639 -- Other,,2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Cambodia
950659 -- Other,"3,072",2.70,0.00,1,,1,,Cambodia
950661 -- Lawn-tennis balls,12,2.70,0.00,1,,1,,Cambodia
950662 -- Inflatable,,2.70,0.00,1,,1,,Cambodia
950669 -- Other,,1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached","14,923",1.80,0.00,3,,2,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","1,992",2.70,0.00,2,,2,,Cambodia
950699 -- Other,"32,468",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,,3.70,0.00,1,,1,,Cambodia
950790 - Other,"3,766",3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,,1.70,0.00,1,,1,,Cambodia
,2011,"155,222",2.17,0.00,62,,41,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","9,535",2.09,0.00,18,,8,,Cambodia
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","69,600",0.00,0.00,3,,,,Cambodia
950440 - Playing cards,,2.70,0.00,1,,1,,Cambodia
950490 - Other,,0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,418,1.35,0.00,2,,1,,Cambodia
950590 - Other,,2.70,0.00,1,,1,,Cambodia
950611 -- Skis,,3.70,0.00,4,,4,,Cambodia
950612 -- Ski-fastenings (ski-bindings),97,3.70,0.00,1,,1,,Cambodia
950619 -- Other,,2.70,0.00,1,,1,,Cambodia
950621 -- Sailboards,,2.70,0.00,1,,1,,Cambodia
950629 -- Other,"50,168",2.70,0.00,1,,1,,Cambodia
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Cambodia
950632 -- Balls,56,2.70,0.00,1,,1,,Cambodia
950639 -- Other,"1,517",2.70,0.00,2,,2,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,Cambodia
950659 -- Other,,2.70,0.00,1,,1,,Cambodia
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Cambodia
950662 -- Inflatable,,2.70,0.00,1,,1,,Cambodia
950669 -- Other,,1.35,0.00,2,,1,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,Cambodia
950699 -- Other,"17,873",1.35,0.00,2,,1,,Cambodia
950710 - Fishing rods,,3.70,0.00,1,,1,,Cambodia
"950720 - Fish-hooks, whether or not snelled",905,2.70,0.00,2,,2,,Cambodia
950730 - Fishing reels,,3.70,0.00,1,,1,,Cambodia
950790 - Other,,3.70,0.00,1,,1,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Cambodia
950890 - Other,"5,053",1.70,0.00,1,,1,,Cambodia
,2010,"77,713",2.12,2.12,66,,,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","49,700",2.09,2.09,18,,,,Cambodia
950410 - Video games of a kind used with a television receiver,,0.00,0.00,1,,,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment",,0.00,0.00,4,,,,Cambodia
950440 - Playing cards,,2.70,2.70,1,,,,Cambodia
950490 - Other,"3,076",0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,"2,280",1.35,1.35,2,,,,Cambodia
950590 - Other,"3,076",2.70,2.70,1,,,,Cambodia
950611 -- Skis,,3.70,3.70,4,,,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Cambodia
950619 -- Other,,2.70,2.70,1,,,,Cambodia
950621 -- Sailboards,,2.70,2.70,1,,,,Cambodia
950629 -- Other,"14,755",2.70,2.70,1,,,,Cambodia
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Cambodia
950632 -- Balls,,2.70,2.70,1,,,,Cambodia
950639 -- Other,,2.70,2.70,2,,,,Cambodia
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Cambodia
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Cambodia
950659 -- Other,,2.70,2.70,1,,,,Cambodia
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Cambodia
950662 -- Inflatable,"2,678",2.70,2.70,2,,,,Cambodia
950669 -- Other,,1.35,1.35,2,,,,Cambodia
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,1.80,3,,,,Cambodia
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics",66,2.70,2.70,2,,,,Cambodia
950699 -- Other,"2,081",1.35,1.35,2,,,,Cambodia
950710 - Fishing rods,,3.70,3.70,1,,,,Cambodia
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Cambodia
950730 - Fishing reels,,3.70,3.70,1,,,,Cambodia
950790 - Other,,3.70,3.70,1,,,,Cambodia
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Cambodia
950890 - Other,,1.70,1.70,1,,,,Cambodia
,2009,"115,936",2.12,2.12,66,,,,Cambodia
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","10,852",2.09,2.09,18,,,,Cambodia
950410 - Video games of a kind used with a television receiver,279,0.00,0.00,1,,,,Cambodia
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,2,,,,Cambodia
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","97,399",0.00,0.00,4,,,,Cambodia
950440 - Playing cards,,2.70,2.70,1,,,,Cambodia
950490 - Other,"2,427",0.00,0.00,2,,,,Cambodia
950510 - Articles for Christmas festivities,"4,101",1.35,1.35,2,,,,Cambodia
950590 - Other,,2.70,2.70,1,,,,Cambodia
950611 -- Skis,,3.70,3.70,4,,,,Cambodia
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Cambodia
950619 -- Other,,2.70,2.70,1,,,,Cambodia
950621 -- Sailboards,,2.70,2.70,1,,,,Cambodia
950629 -- Other,,2.70,2.70,1,,,,Cambodia
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Cambodia
950632 -- Balls,,2.70,2.70,1,,,,Cambodia
950639 -- Other,,2.70,2.70,2,,,,Cambodia
